PANAMA C	ROSARIO A	UCAM	UCO
COMILLAS A	SEMS	PANAMA B	ROSARIO E
UPES	ROSARIO H	AMCUDE B	COMPLUTENSE
UAM	MURCIA	ANTIOQUIA B	UMCE B
VIRTUAL	UNMSM C	ITESM Toluca B	VITORIA C
ITESM CEM C	UPB B	SWING A	USMA C
ZACATECAS	CANOVAS B	UNIANDES F	SICODI
FINANZAS	UMCE A	CUCEA	UABC
JAVERIANA A	COMILLAS B	CANOVAS A	LIBRE C
PUCC A	USMA D	UCV	MANIZALES
BABEL - UGR	UNIANDES A	EXTERNADO	UFM A
UNIANDES G	UNIANDES C	USMA A	VITORIA B
ANTIOQUIA C	JAVERIANA B	PUCP D	USFQ A
UNMSM A	LOYOLA	ULACIT	ITESM CEM B
LIBRE A	PUCP A	USMA E	UP
CUCSH B	ITESM CEM A	UNAL A	ITESM Toluca A
COLGATE	ITAM B	PUCMM	UNIANDES B
ROSARIO D	AMCUDE A	ITAM A	ITAM C
USMA F	DENVER	USFQ B	VITORIA A
OCCASSIO A	ROSARIO F	CORNELL A	CORNELL B
PANAMA A	UFM B	UPB A	LIBRE B
UNAL D	ROSARIO B	USAC	ANTIOQUIA A
UNMSM B	OCCASIO B	UNIANDES E	ESAN
SWING D	UNAL B	CALPOLY	UCR
UNIANDES D	ROSARIO G	USMA B	UNAL C
PUCP C	PUCP B	ROSARIO C	CUCSH A
CUCSH C	ITESM Toluca C	UVG	USFQ C
