PUCP B	PUCP D	PUCC A	UCO
UNIANDES F	UNMSM B	ITAM B	AMCUDE B
UNIANDES C	ITAM A	COMILLAS A	ANTIOQUIA B
UNIANDES E	LIBRE A	ITESM CEM B	ITESM CEM C
UNMSM C	UAM	CUCSH B	CUCSH C
CUCEA	CANOVAS A	SICODI	BABEL - UGR
LOYOLA	USFQ A	JAVERIANA A	FINANZAS
UNAL C	ROSARIO H	UNIANDES B	UNAL B
ANTIOQUIA A	PUCMM	ROSARIO A	UCAM
ITESM CEM A	VIRTUAL	CORNELL B	MURCIA
ROSARIO B	ANTIOQUIA C	ITAM C	ROSARIO F
UCV	UPES	VITORIA B	PANAMA B
COMILLAS B	UNMSM A	OCCASSIO A	UNAL A
COMPLUTENSE	ROSARIO C	VITORIA C	USFQ B
UVG	PUCP C	LIBRE C	ROSARIO D
UNIANDES A	PANAMA C	UNAL D	VITORIA A
JAVERIANA B	SWING A	CUCSH A	USMA F
UMCE B	EXTERNADO	PUCP A	USMA B
USFQ C	ITESM Toluca B	AMCUDE A	CANOVAS B
UFM B	LIBRE B	DENVER	USMA D
SEMS	ROSARIO E	UCR	UNIANDES D
MANIZALES	USAC	ROSARIO G	CALPOLY
UPB A	UABC	UFM A	USMA A
USMA E	ESAN	UP	CORNELL A
OCCASIO B	UMCE A	USMA C	ITESM Toluca C
ZACATECAS	ITESM Toluca A	UPB B	PANAMA A
COLGATE	SWING D	UNIANDES G	ULACIT
