CUCEA	UCO	PUCP D	BABEL - UGR
ITESM CEM C	FINANZAS	COMILLAS B	COMILLAS A
JAVERIANA A	UNIANDES B	ITESM CEM B	AMCUDE B
UCAM	UNIANDES C	SICODI	UAM
UFM A	UNMSM C	UMCE B	UNIANDES G
MURCIA	ANTIOQUIA B	UNIANDES E	ROSARIO H
CANOVAS A	USFQ A	ROSARIO D	UNAL A
ROSARIO A	DENVER	CUCSH B	LIBRE A
ROSARIO F	VITORIA C	VITORIA B	ITAM B
PUCP B	UNIANDES A	UNMSM B	PUCC A
ITESM CEM A	CORNELL A	MANIZALES	ANTIOQUIA C
OCCASSIO A	JAVERIANA B	ANTIOQUIA A	UNIANDES F
CORNELL B	UPB A	USMA D	PANAMA B
VITORIA A	ROSARIO G	ROSARIO B	ROSARIO E
PUCP A	CUCSH A	CUCSH C	UNMSM A
UMCE A	COMPLUTENSE	ROSARIO C	UPES
UP	UFM B	ITAM A	VIRTUAL
LIBRE C	PUCMM	LOYOLA	UNAL B
USMA B	UVG	CANOVAS B	UNAL C
USMA F	UPB B	USFQ B	UCR
ITAM C	AMCUDE A	PANAMA C	PUCP C
LIBRE B	UNIANDES D	UCV	UNAL D
USMA A	ZACATECAS	SEMS	CALPOLY
ITESM Toluca C	USAC	ESAN	USFQ C
USMA C	USMA E	ULACIT	EXTERNADO
ITESM Toluca A	SWING C	UABC	SWING D
PANAMA A	ITESM Toluca B	COLGATE	OCCASIO B
