BABEL - UGR	COMILLAS A	UCO	CUCEA
AMCUDE B	UAM	FINANZAS	VITORIA B
UNAL A	SICODI	ITESM CEM C	ITESM CEM B
UNAL C	COMILLAS B	UNMSM C	UNMSM B
ROSARIO H	LIBRE A	ANTIOQUIA B	UNIANDES A
UFM B	UNAL B	CANOVAS A	ITAM A
ROSARIO F	CUCSH B	PUCC A	JAVERIANA A
USFQ B	MURCIA	UNIANDES C	CUCSH A
MANIZALES	ROSARIO E	ROSARIO A	UNIANDES F
ANTIOQUIA C	EXTERNADO	UPES	UMCE A
LOYOLA	UCAM	PUCP A	ROSARIO D
VIRTUAL	VITORIA A	COMPLUTENSE	PUCP D
UNIANDES B	UNAL D	VITORIA C	USAC
USFQ A	ITAM C	ITAM B	ROSARIO G
USFQ C	ESAN	PANAMA B	CORNELL A
LIBRE C	PUCP B	UNIANDES D	ROSARIO C
CUCSH C	CANOVAS B	DENVER	USMA D
USMA F	UNMSM A	OCCASSIO A	UVG
UPB B	USMA B	CORNELL B	ANTIOQUIA A
UNIANDES G	PUCP C	ITESM CEM A	JAVERIANA B
ROSARIO B	SEMS	UPB A	UCV
PANAMA C	USMA A	UCR	UMCE B
PUCMM	UNIANDES E	UP	UFM A
UABC	LIBRE B	ULACIT	COLGATE
USMA C	ITESM Toluca A	ITESM Toluca B	ITESM Toluca C
OCCASIO B	AMCUDE A	USMA E	ZACATECAS
SWING D	PANAMA A	CALPOLY	SWING C
