COMILLAS A	UCO	ANTIOQUIA B	ITESM CEM C
PUCC A	LOYOLA	AMCUDE B	FINANZAS
LIBRE A	COMPLUTENSE	UAM	SICODI
ROSARIO D	UNMSM C	UNIANDES F	JAVERIANA A
CANOVAS A	ITESM CEM B	VITORIA A	MURCIA
ROSARIO C	ROSARIO H	UNAL D	ITESM CEM A
UNIANDES B	BABEL - UGR	CUCEA	UNAL A
PUCP A	COMILLAS B	ROSARIO A	UFM B
VITORIA B	VITORIA C	ITAM B	ROSARIO F
PUCP B	VIRTUAL	ANTIOQUIA C	UP
UNIANDES A	UNIANDES C	PUCP D	CANOVAS B
CUCSH B	ROSARIO B	UCAM	UNAL C
PANAMA C	UPES	UFM A	PANAMA B
USMA D	LIBRE B	CUCSH A	USMA F
CORNELL B	UPB A	LIBRE C	PUCMM
ESAN	UNMSM B	ITAM C	UABC
ROSARIO E	UNAL B	CUCSH C	OCCASSIO A
EXTERNADO	UNIANDES G	ROSARIO G	JAVERIANA B
UVG	USMA A	UNIANDES D	ITESM Toluca C
USMA E	DENVER	ITAM A	UNIANDES E
SEMS	ANTIOQUIA A	CORNELL A	UNMSM A
USFQ B	PUCP C	USFQ A	MANIZALES
UMCE A	USAC	UPB B	UCV
OCCASIO B	ULACIT	UCR	CALPOLY
USFQ C	COLGATE	SWING C	AMCUDE A
USMA C	ZACATECAS	ITESM Toluca A	USMA B
UMCE B	SWING D	PANAMA A	ITESM Toluca B
