ITESM CEM C	16	2,0,1,3	1
UCO	16	1,2,1,2	1
COMILLAS A	15	2,2,1,1	1
AMCUDE B	14	1,1,2,2	1
BABEL - UGR	14	2,2,0,2	1
FINANZAS	13	1,2,1,2	1
LIBRE A	13	2,2,1,1	1
MURCIA	13	1,2,1,2	1
PUCC A	13	2,1,2,1	1
UAM	13	1,2,1,2	1
UNMSM C	13	1,3,2,0	1
ANTIOQUIA B	12	0,2,3,1	1
CANOVAS A	12	2,1,2,1	1
CANOVAS B	12	0,2,2,2	1
CUCEA	12	2,1,2,1	1
JAVERIANA A	12	2,0,1,3	1
ROSARIO A	12	1,1,3,1	1
ROSARIO H	12	1,3,0,2	1
SICODI	12	0,2,2,2	1
UNAL A	12	2,0,1,3	1
VITORIA C	12	0,3,2,1	1
ANTIOQUIA C	11	2,1,2,1	1
COMILLAS B	11	1,3,1,1	1
COMPLUTENSE	11	1,3,1,1	1
ITESM CEM A	11	2,1,2,1	1
LOYOLA	11	2,2,1,1	1
PUCP D	11	0,1,3,2	1
ROSARIO E	11	2,2,0,2	1
UNAL C	11	2,0,1,3	1
UNIANDES F	11	1,1,2,2	1
VITORIA A	11	1,1,2,2	1
VITORIA B	11	2,0,2,2	1
CUCSH A	10	1,1,2,2	1
CUCSH C	10	2,1,2,1	1
ITAM B	10	0,1,3,2	1
ITAM C	10	1,2,2,1	1
ITESM CEM B	10	0,2,2,2	1
LIBRE C	10	3,0,2,1	1
MANIZALES	10	2,1,1,2	1
PUCP A	10	3,1,2,0	1
PUCP B	10	3,2,0,1	1
ROSARIO D	10	2,0,2,2	1
UCAM	10	1,2,2,1	1
UNAL B	10	0,3,1,2	1
UNIANDES B	10	3,1,1,1	1
UNIANDES C	10	1,3,2,0	1
CORNELL B	9	2,0,2,2	1
ITAM A	9	0,1,3,2	1
PUCP C	9	1,3,0,2	1
ROSARIO C	9	1,1,2,2	1
ROSARIO F	9	2,1,1,2	1
ROSARIO G	9	1,2,2,1	1
UFM B	9	2,2,1,1	1
UMCE A	9	3,2,0,1	1
UNAL D	9	1,1,3,1	1
UNIANDES A	9	2,2,1,1	1
UNIANDES D	9	1,2,2,1	1
USMA F	9	3,1,0,2	1
VIRTUAL	9	2,2,0,2	1
CUCSH B	8	2,2,2,0	1
DENVER	8	0,3,2,1	1
JAVERIANA B	8	1,2,1,2	1
LIBRE B	8	2,3,0,1	1
OCCASIO B	8	3,1,1,1	1
OCCASSIO A	8	2,0,2,2	1
PUCMM	8	1,2,1,2	1
ROSARIO B	8	2,2,2,0	1
UABC	8	1,1,2,2	1
UCR	8	1,0,3,2	1
UFM A	8	2,0,2,2	1
UNIANDES G	8	2,1,2,1	1
UNMSM A	8	1,2,0,3	1
UNMSM B	8	1,2,1,2	1
UP	8	2,0,2,2	1
UPB B	8	2,2,2,0	1
USFQ B	8	3,0,2,1	1
USMA A	8	1,3,1,1	1
ANTIOQUIA A	7	1,1,2,2	1
COLGATE	7	2,2,1,1	1
ESAN	7	2,2,1,1	1
EXTERNADO	7	2,2,1,1	1
ITESM Toluca C	7	2,1,0,3	1
PANAMA B	7	1,0,2,3	1
UCV	7	1,0,2,3	1
UNIANDES E	7	1,1,2,2	1
UPB A	7	1,3,2,0	1
USFQ A	7	1,2,2,1	1
USMA D	7	2,1,1,2	1
ZACATECAS	7	2,3,0,1	1
SEMS	6	3,2,1,0	1
ULACIT	6	0,2,3,1	1
UPES	6	1,2,1,2	1
USAC	6	0,3,1,2	1
USMA B	6	2,1,1,2	1
USMA E	6	3,1,2,0	1
UVG	6	3,1,1,1	1
AMCUDE A	5	1,3,1,1	1
CALPOLY	5	0,1,2,3	1
CORNELL A	5	0,2,2,2	1
ITESM Toluca B	5	0,2,2,2	1
PANAMA C	5	3,1,1,1	1
USFQ C	5	3,0,1,2	1
USMA C	5	3,1,1,1	1
PANAMA A	4	2,1,2,1	1
ITESM Toluca A	3	1,2,2,1	1
SWING C	3	0,1,1,1	0
UMCE B	3	2,0,2,2	1
SWING A	2	1,1,1,0	0
SWING D	1	2,2,1,1	1
SWING B	0	0,0,0,0	1
