ITESM CEM C	COMILLAS A	UCO	AMCUDE B
BABEL - UGR	PUCC A	FINANZAS	UNMSM C
ROSARIO A	LIBRE A	MURCIA	UAM
COMILLAS B	ITESM CEM A	ROSARIO H	VITORIA A
CANOVAS B	ANTIOQUIA B	UNAL A	SICODI
VITORIA C	CUCEA	JAVERIANA A	CANOVAS A
ROSARIO E	PUCP D	LOYOLA	VITORIA B
UNIANDES F	UNAL C	COMPLUTENSE	ANTIOQUIA C
ITAM A	UFM B	ITESM CEM B	UNIANDES B
MANIZALES	PUCP A	UNIANDES C	ITAM B
PUCP C	UCAM	PUCP B	LIBRE C
UNAL B	ITAM C	ROSARIO D	CUCSH A
PANAMA B	UNIANDES E	ZACATECAS	UPB A
CUCSH C	USMA F	CUCSH B	UNIANDES D
UNAL D	ROSARIO C	ROSARIO F	VIRTUAL
UNIANDES A	UMCE A	ROSARIO G	CORNELL B
COLGATE	USFQ A	USMA D	ROSARIO B
UP	UABC	USMA A	UCR
LIBRE B	UNIANDES G	UNMSM B	OCCASIO B
UPB B	UFM A	UNMSM A	PUCMM
JAVERIANA B	OCCASSIO A	DENVER	USFQ B
UCV	ESAN	EXTERNADO	ITESM Toluca C
ANTIOQUIA A	USMA E	USAC	ULACIT
USMA B	SEMS	UPES	UVG
ITESM Toluca B	CALPOLY	PANAMA A	USMA C
CORNELL A	USFQ C	PANAMA C	AMCUDE A
ITESM Toluca A	SWING B	UMCE B	SWING D
