UNMSM C	AMCUDE B	UCO	COMILLAS A
SICODI	CANOVAS A	UAM	ITESM CEM C
FINANZAS	BABEL - UGR	ANTIOQUIA C	ROSARIO H
ANTIOQUIA B	MURCIA	LIBRE A	ROSARIO A
JAVERIANA A	VITORIA B	PANAMA B	PUCC A
CUCEA	UNIANDES F	PUCP A	COMPLUTENSE
COMILLAS B	ITAM B	ROSARIO D	UCAM
PUCP D	UNAL A	VITORIA C	ITESM CEM B
CANOVAS B	LOYOLA	CORNELL B	USMA F
VITORIA A	LIBRE C	VIRTUAL	ITAM C
UNAL C	UNIANDES D	ROSARIO C	UNAL B
ROSARIO B	UPB B	DENVER	USMA A
UNIANDES C	ROSARIO G	ITESM CEM A	ROSARIO E
UNMSM B	UNMSM A	UFM B	UP
ITESM Toluca C	UNAL D	UNIANDES B	UMCE A
USFQ B	CUCSH A	LIBRE B	PUCP C
PUCP B	CUCSH C	MANIZALES	ITAM A
UNIANDES E	ROSARIO F	USFQ A	USMA E
UCV	CUCSH B	OCCASIO B	PUCMM
OCCASSIO A	UNIANDES A	SEMS	UABC
CALPOLY	ULACIT	UPB A	UFM A
UPES	UCR	JAVERIANA B	EXTERNADO
UNIANDES G	UVG	AMCUDE A	COLGATE
ANTIOQUIA A	USFQ C	ESAN	PANAMA C
ZACATECAS	ITESM Toluca B	USMA C	USAC
CORNELL A	SWING D	USMA B	USMA D
ITESM Toluca A	UMCE B	SWING B	PANAMA A
