grmy krbyn	14	1,1,1,2	0
UCD Law A	11	2,1,1,1	0
"Briefly..."	10	2,1,1,1	0
Cracking open a cold one with the goys	10	1,1,1,2	0
GUU ML	10	2,1,1,1	0
tbc	10	1,1,2,1	0
Ah, I see you've played knifey spooney before	9	0,2,1,2	0
Continuity Irish Debating Council	9	1,1,2,1	0
*Say in a Kiwi Accent* Incentive Structures	8	1,1,2,1	0
Cambridge E	8	1,2,1,1	0
I came here to take over Irish debating and miss the break on speaks, and I've to leave before the break	8	1,2,1,1	0
Ocsferday	8	1,1,2,1	0
Synergistic Management Solutions and Chill	8	1,2,1,1	0
Daddy and his fidget spinner	7	1,1,1,2	0
Comey hold me closer in the backseat of your congressional special inquiry	6	2,1,1,1	0
Oxford Wonunain	6	1,1,1,2	0
TCD Phil C	6	2,1,1,1	0
Our Auditor is so middle class that he eats Supermac's Chicken tenders with a knife and fork	5	1,1,2,1	0
Theresa May presents: Lady in the Streets, Freak in the Wheat	5	0,2,1,2	0
Eat Sleep Debate Repeat	4	2,1,1,1	0
I'm Ashaned to admit it, but our case is Jack shit	4	1,1,2,1	0
Nicest legs in the Hist	4	2,1,1,1	0
Nothing like a hot cup of covfefe in the morning	4	1,2,1,1	0
Alpha Badgers	0	2,1,1,1	0
