Low crime doesn't mean no crime	you vs the fresher they told you not to worry about	?? Cans In OG	Trickle out economy
Darth Vader 4 EUDC Convenor	Opposites Attract	Oodles of noodles	[Name redacted by Shitposting Admins]
Oxford LS	Haram Memes for Non-Hijab-Wearing Teens	Auckland A	Third Time Lucky
Last Night I Dreamt of San Pedro	Gender Quotas? Oh shit	LSE A(gain)	SSDC NAMDA Emigres A
Old-fashioned Call Out	Hot Gay Time Machine	Need to get a life	Beautiful Heterosexual Couple
EUDC's briefest semi-finalists	Katherines' Angels	QM Team FC	Policy Exchange A
Балтия наша	Women of Cambridge A's Past	White Noise	Öresund A
We Have 99 Accents and RP isn't one of them	No need to give high speaks, we're still undergraduates	What would Kallina do	This is our last tournament
Deam Team and the Appreciation of Memes Society	The Team From CG	Denver NO	Maastricht A
UWU A	Oxford Asian Persuasion	Hagelslag	The Team From OG
We're here for your jobs	Peaked at reg downhill from there	Warwick RL	The Adventures of Tim Tim
Judy's leg	Oxford DS	2 long boiiizz	Covfefe
ESL Open	Jonny Heywood Fan Club A	The Sunken Place	We can make Chennai jokes
Lumina A	Richard's idea of a valentines date	QM Team AS	Stahlhof
FinnCzech Intellectuals	UtrechtJE	The Only Way is Essex	Denver WB
More or less Raluca Vacaru	Sophistry	The Team From OO	Swing C
The Team From CO	Two Sweet African Boys	QM Team TM	Middlesex B
