Hart House A	Berlin B	Weill Cornell Qatar B	Seoul B
Asia Pacific A	Harvard A	Stockholm A	Hanyang A
Visoka škola PEP A	New South Wales C	UC Roosevelt A	Aoyama A
Northeastern (Boston) A	Sydney Union B	Sheffield A	UCC Philosoph B
Canterbury B	Ginling A	Gadjah Mada A	Auckland A
Splitska A	OpenU A	London Union B	Lund B
Cape Town A	Nagoya A	Swarthmore A	De La Salle A
NTU Athens A	American A	Ateneo A	Sydney Union A
Otgontenger A	Princeton B	Tel Aviv A	Nazarbayev B
TCD Hist A	Western Australia B	Bard A	UMF Carol Davila A
Athens A	Haifa B	FSU Jena A	Princeton A
IDC Herzliya Recanati A	Australian Natl A	Moscow IPT A	Radboud A
Chicago A	NIBM (India) A	IIT Bombay B	Queensland A
Regis A	UT Mara A	United Intl A	British Columbia B
UMF Iuliu Hațieganu A	Columbia A	Moscow State A	Oxford A
Macedonia A	IUT B	McGill B	Seoul A
LCLS (Dhaka) A	UCD Law B	Dartmouth A	Auckland B
UT Sydney A	PUCP Perú B	Lancaster A	Pennsylvania A
Hart House B	Boston A	TCD Hist B	Columbia B
Queen's A	Yale A	Melbourne B	IIM Ahmedabad A
Macquarie B	Bates A	Durham A	Stanford B
Independent Bangladesh A	Sciences Po A	Yale B	Bucharest A
Muenster A	Bangladesh UET A	IIU Malaysia A	Osaka A
Turku A	Western Australia A	Deree A	Melbourne A
Belgrade A	LSE A	China Petroleum A	Ewha A
Nth British Columbia A	UWI Western Jamaica A	Bielefeld A	Durham B
MGIMO (Moscow) A	NE Qinhuangdao A	UCD L&H B	RWTH Aachen A
Belgrade B	Nanyang TU A	Hebrew Jerusalem A	Central de Venezuela A
Tel Aviv B	US Air Force A	Ewha B	IBA Dhaka A
Tribhuvan A	Otago A	TCD Phil A	Ottawa A
Megatrend A	Indonesia B	IIU Malaysia B	Sydney Union C
Queensland C	Tübingen A	Cologne B	CU Hong Kong A
Midlands State A	Brown A	Vermont A	Oxford C
Cambridge A	Binus Intl A	UCD Law A	Hong Kong UST B
Paris Tech A	Swing B	UT Jamaica B	Leiden A
NLS India B	Alaska A	Queensland UT A	Willamette A
Karachi A	Leiden B	Kutafin MSLU A	Western Sydney A
IIT Bombay A	Alberta A	Queen's B	Harvard B
Tartu A	COSTAATT A	Porto A	Indonesia A
Lumina A	TU Dresden A	Munich A	Mumbai A
Victoria Wellington A	UCC Law A	King's London A	UWI Mona B
London Union A	Keio A	Glasgow A	Colgate A
SolBridge A	Oxford B	Laurier A	Brawijaya A
Hitotsubashi A	Cambridge B	Nacl Colombia A	Southern Illinois B
Chittagong A	UKIM Skopje A	Sophia A	Hawaii A
ITESM CSF A	UT Sydney B	Macquarie A	Bangladesh UET B
Uniciencia A	Free State A	New South Wales A	LSE B
Texas A&M Qatar A	Duke A	Fordham B	Glasgow B
Porto B	Tufts A	Yonsei Underwood A	Ben-Gurion A
Warsaw A	BPP A	New South Wales B	Macau A
De La Salle B	Bates B	Stockholm B	St Andrews A
UC London B	Otago B	Jyväskylä A	Cape Town B
Zagreb Law A	Pacific A	Shanghai UFE A	Montréal A
COMAS A	Berlin A	Nanyang TU B	Ghulam Ishaq Khan A
Northwest (USA) A	Natl Defense Tech A	Cornell B	Manchester A
Cornell A	UC London A	Muenster B	Tokyo IT A
SOAS London A	USMA West Point A	ASE Bucharest A	TCD Phil B
PUCP Perú A	Erasmus A	Nottingham A	Inner Temple A
Dhaka A	CU Hong Kong B	Jagiellonian A	IDC Herzliya Recanati B
Loyola Marymount A	Montréal B	Göttingen A	Ottawa B
BRAC B	Cambridge C	CityU Hong Kong A	UCD L&H A
Sogang A	Fort Hare A	Carleton A	PS Bucharest A
Utrecht A	St Petersburg SEU A	Monash A	Extremadura A
Beijing FSU A	NU Singapore B	Malaya B	UT Cluj-Napoca A
Brandeis A	Yale C	Amherst A	Groningen A
Akita A	Yale-NUS A	St Andrews B	Haifa A
Linkopings A	Babeș-Bolyai A	Monash C	New Jersey A
NYU Shanghai A	Birmingham A	NUI Galway A	Queensland B
Clemson A	UCC Philosoph A	Santa María La Antigua A	Babeș-Bolyai B
SSE Riga A	BiTS Iserlohn A	Coimbra A	Wollongong A
Monash B	Lisbon A	TEC Mexico A	CMU Qatar A
Kapitza A	Hong Kong A	Warwick A	Aberdeen A
Bogazici A	Western Ontario A	Singapore MU A	Westminster A
Brandeis B	IBA Karachi A	Wageningen A	Bates C
Vassar A	Fudan A	George Washington A	Galatasaray A
IDC Herzliya B	Padjadjaran A	Dalhousie A	Tsinghua A
Stanford A	British Columbia A	Middlebury A	Intl Christian A
McGill A	Athens UEB A	Moscow IPT B	Victoria Wellington B
NU Singapore A	Midlands State B	Otago C	Kiel A
Belgrade C	Fordham A	Helsinki A	Vienna A
Warwick B	Cologne A	La Verne A	Yogyakarta State A
IDC Herzliya A	Intl Christian B	Claremont A	North West (RSA) A
Melbourne C	IUT A	Visoka škola PEP B	Weill Cornell Qatar A
North South A	Amherst B	New York A	King's (New York) A
Nottingham Ningbo A	Franklin & Marshall A	Ben-Gurion B	Tokyo A
UWI Mona A	Morehouse A	Southern Illinois A	Tokyo IT B
NLS India A	Denver A	Duke B	KIMEP A
Peking A	Nazarbayev A	Clemson B	Ghulam Ishaq Khan B
Harvard C	Australian Natl B	Lund A	UT Jamaica A
Ljubljana A	BRAC A	King's London B	York A
Hong Kong UST A	Western Washington A	HWS A	Al. I. Cuza A
Yaroslav Mudryi NLU A	IBA Dhaka B	Morehouse B	Hull A
Romanian-American A	Curtin Sarawak A	Odessa NU A	Zagreb A
Kyoto A	Aberystwyth A	Kathmandu A	Atma Jaya A
Waseda A	CMU Qatar B	Malaya A	Imperial A
Singapore IM A	Canterbury A	Rosario A	Autónomo México A
