Aberdeen A	3	0,0,0,1	1
American A	3	0,1,0,0	1
Atma Jaya A	3	0,0,0,1	1
Auckland A	3	0,0,0,1	1
Australian Natl B	3	0,1,0,0	1
Autónomo México A	3	0,0,0,1	1
BPP A	3	0,1,0,0	1
Bangladesh UET A	3	0,1,0,0	1
Bates C	3	0,0,0,1	1
Belgrade C	3	1,0,0,0	1
Cambridge A	3	1,0,0,0	1
Cambridge B	3	0,1,0,0	1
Cambridge C	3	0,1,0,0	1
Cape Town B	3	0,0,0,1	1
Carleton A	3	0,0,1,0	1
Clemson B	3	0,0,1,0	1
Dalhousie A	3	0,0,1,0	1
De La Salle A	3	0,0,0,1	1
Denver A	3	0,1,0,0	1
Duke A	3	0,1,0,0	1
Durham A	3	0,0,1,0	1
Durham B	3	0,0,0,1	1
Franklin & Marshall A	3	0,1,0,0	1
George Washington A	3	0,0,1,0	1
HWS A	3	0,0,1,0	1
Hart House A	3	1,0,0,0	1
Hart House B	3	1,0,0,0	1
Harvard A	3	0,1,0,0	1
Hawaii A	3	0,0,0,1	1
Hull A	3	0,0,0,1	1
IBA Dhaka A	3	0,0,0,1	1
IDC Herzliya Recanati B	3	0,0,0,1	1
Imperial A	3	0,0,0,1	1
Indonesia A	3	0,0,0,1	1
King's (New York) A	3	0,0,0,1	1
King's London A	3	0,0,1,0	1
King's London B	3	0,0,1,0	1
LSE A	3	0,1,0,0	1
La Verne A	3	0,0,1,0	1
Laurier A	3	0,0,1,0	1
Leiden A	3	0,0,0,1	1
Leiden B	3	0,1,0,0	1
Linkopings A	3	1,0,0,0	1
London Union A	3	1,0,0,0	1
London Union B	3	0,0,1,0	1
Macquarie A	3	0,0,1,0	1
Manchester A	3	0,0,0,1	1
McGill B	3	0,0,1,0	1
Melbourne C	3	1,0,0,0	1
Monash A	3	0,0,1,0	1
Monash B	3	1,0,0,0	1
Montréal A	3	0,0,0,1	1
Morehouse A	3	0,1,0,0	1
Munich A	3	0,0,1,0	1
NIBM (India) A	3	0,1,0,0	1
Nanyang TU A	3	0,1,0,0	1
Nanyang TU B	3	0,0,1,0	1
New South Wales A	3	0,0,1,0	1
North West (RSA) A	3	0,0,0,1	1
Nottingham A	3	0,0,1,0	1
Otago A	3	0,1,0,0	1
Otago C	3	0,0,1,0	1
Ottawa B	3	0,0,0,1	1
Oxford A	3	0,0,0,1	1
Oxford C	3	0,0,0,1	1
Pennsylvania A	3	0,0,0,1	1
Princeton A	3	0,0,0,1	1
Queen's B	3	0,0,1,0	1
Queensland B	3	0,0,0,1	1
Queensland C	3	1,0,0,0	1
Queensland UT A	3	0,0,1,0	1
Radboud A	3	0,0,0,1	1
Romanian-American A	3	1,0,0,0	1
St Andrews A	3	0,0,0,1	1
Stanford A	3	1,0,0,0	1
Sydney Union B	3	0,1,0,0	1
Sydney Union C	3	0,0,0,1	1
TCD Hist A	3	1,0,0,0	1
TCD Phil B	3	0,0,0,1	1
Tel Aviv A	3	0,0,1,0	1
Tufts A	3	0,1,0,0	1
UC London A	3	0,1,0,0	1
UCC Philosoph A	3	0,1,0,0	1
UCD L&H B	3	0,0,1,0	1
UCD Law B	3	0,1,0,0	1
UT Cluj-Napoca A	3	0,0,0,1	1
UT Mara A	3	0,1,0,0	1
Victoria Wellington B	3	0,0,0,1	1
Visoka škola PEP A	3	1,0,0,0	1
Western Australia A	3	0,1,0,0	1
Western Ontario A	3	0,1,0,0	1
Wollongong A	3	0,0,0,1	1
Yale A	3	0,1,0,0	1
Yale B	3	0,0,1,0	1
Yale C	3	0,1,0,0	1
Yale-NUS A	3	0,1,0,0	1
Alaska A	2	0,1,0,0	1
Amherst B	2	0,1,0,0	1
Ateneo A	2	0,0,1,0	1
Auckland B	2	0,0,0,1	1
Australian Natl A	2	0,1,0,0	1
Babeș-Bolyai B	2	0,0,0,1	1
Bates A	2	0,1,0,0	1
Bates B	2	0,1,0,0	1
Belgrade A	2	1,0,0,0	1
Belgrade B	2	1,0,0,0	1
Ben-Gurion A	2	0,0,0,1	1
Ben-Gurion B	2	0,0,1,0	1
Berlin A	2	0,1,0,0	1
Berlin B	2	0,1,0,0	1
BiTS Iserlohn A	2	0,1,0,0	1
Birmingham A	2	0,1,0,0	1
Boston A	2	0,1,0,0	1
British Columbia A	2	0,1,0,0	1
British Columbia B	2	0,0,0,1	1
Claremont A	2	0,0,1,0	1
Columbia A	2	0,1,0,0	1
Cornell A	2	1,0,0,0	1
Cornell B	2	0,0,1,0	1
Deree A	2	0,0,1,0	1
Gadjah Mada A	2	0,0,1,0	1
Ghulam Ishaq Khan B	2	0,0,0,1	1
Glasgow A	2	0,0,1,0	1
Glasgow B	2	0,0,0,1	1
Groningen A	2	0,0,0,1	1
Haifa B	2	0,1,0,0	1
Harvard B	2	0,0,0,1	1
Harvard C	2	1,0,0,0	1
Helsinki A	2	0,0,1,0	1
IBA Dhaka B	2	0,1,0,0	1
IBA Karachi A	2	0,1,0,0	1
IIU Malaysia A	2	0,0,1,0	1
ITESM CSF A	2	1,0,0,0	1
Indonesia B	2	0,1,0,0	1
