Bangladesh UET A	TCD Hist A	Hart House A	London Union A
Nanyang TU B	Leiden A	IBA Dhaka A	Harvard A
McGill B	Durham A	Visoka škola PEP A	Melbourne C
Otago C	Oxford C	Cape Town B	Sydney Union B
La Verne A	Indonesia A	Auckland A	Yale C
Morehouse A	London Union B	Duke A	UC London A
Cambridge C	Romanian-American A	IDC Herzliya Recanati B	Tel Aviv A
Wollongong A	De La Salle A	Victoria Wellington B	Carleton A
Sydney Union A	Stockholm B	BRAC A	Beijing FSU A
Monash A	Queensland C	UT Cluj-Napoca A	NIBM (India) A
Yale A	HWS A	Radboud A	Nanyang TU A
Princeton A	George Washington A	LSE A	Australian Natl B
American A	Oxford A	UT Mara A	King's London A
Seoul A	ITESM CSF A	OpenU A	Nacl Colombia A
USMA West Point A	NU Singapore A	Columbia A	Indonesia B
Pennsylvania A	Cambridge A	BPP A	Linkopings A
Western Ontario A	Laurier A	Belgrade C	Yale B
Autónomo México A	Hart House B	Aberdeen A	Queensland UT A
Lancaster A	Babeș-Bolyai B	IBA Dhaka B	IIU Malaysia A
Bates B	Vassar A	Auckland B	IBA Karachi A
Ottawa B	North West (RSA) A	Durham B	UCD Law B
RWTH Aachen A	Queensland A	Australian Natl A	Tübingen A
Ewha A	United Intl A	LCLS (Dhaka) A	Tel Aviv B
Erasmus A	Hebrew Jerusalem A	Aberystwyth A	Brown A
Bielefeld A	Melbourne A	Intl Christian B	Athens UEB A
Montréal A	Sydney Union C	Queensland B	Leiden B
Otago A	Dalhousie A	Atma Jaya A	Nottingham A
UCD L&H A	TCD Phil A	Harvard B	BiTS Iserlohn A
New South Wales C	Queen's A	Berlin B	Otago B
Birmingham A	Stockholm A	Berlin A	New South Wales B
Bates A	Belgrade B	Sciences Po A	Jagiellonian A
Princeton B	Lumina A	NU Singapore B	Western Washington A
Alaska A	Singapore IM A	LSE B	Victoria Wellington A
Western Australia B	Swarthmore A	Glasgow B	Belgrade A
IIU Malaysia B	UMF Carol Davila A	Columbia B	Southern Illinois A
Cambridge B	Hull A	Western Australia A	UCD L&H B
Monash C	Gadjah Mada A	Kyoto A	UKIM Skopje A
Inner Temple A	York A	Oxford B	Boston A
UT Sydney B	Hong Kong UST B	Lisbon A	IUT A
Sheffield A	Willamette A	Brawijaya A	De La Salle B
Central de Venezuela A	Ljubljana A	Malaya A	NTU Athens A
St Andrews A	Manchester A	Denver A	Monash B
UCC Philosoph A	Stanford A	Yale-NUS A	Tufts A
Imperial A	New South Wales A	Franklin & Marshall A	Munich A
TCD Phil B	Queen's B	Hawaii A	Macquarie A
Warwick A	Cornell B	UCC Philosoph B	UCD Law A
