Harvard A	Princeton A	NIBM (India) A	Hart House A
Sydney Union C	Oxford A	Sydney Union B	Otago A
Glasgow B	Visoka škola PEP B	Romanian-American A	Visoka škola PEP A
Auckland A	Victoria Wellington A	Australian Natl B	Queensland C
Yale B	Monash B	Tufts A	London Union B
King's (New York) A	Tel Aviv A	Melbourne C	Hart House B
King's London B	Sydney Union A	UC London A	Hong Kong A
De La Salle A	Osaka A	IBA Karachi A	Belgrade B
Victoria Wellington B	Radboud A	Linkopings A	New South Wales A
UT Mara A	Monash A	Cambridge A	Cornell B
Yale C	St Andrews B	TCD Hist A	Bates A
Columbia A	Groningen A	Stanford A	Ben-Gurion B
Leiden B	New South Wales B	Seoul A	Denver A
Franklin & Marshall A	King's London A	Bates C	IIU Malaysia A
Durham B	Queensland UT A	Pennsylvania A	Duke A
Auckland B	Cornell A	Amherst B	Queen's B
Durham A	Belgrade A	Oxford C	NU Singapore A
UC Roosevelt A	Middlebury A	Yale A	St Petersburg SEU A
Australian Natl A	Nottingham A	Queen's A	Otago C
Leiden A	Monash C	Queensland A	ITESM CSF A
LSE A	Chicago A	Hull A	Dalhousie A
Western Washington A	Tel Aviv B	IIT Bombay A	Loyola Marymount A
Hebrew Jerusalem A	Imperial A	American A	Sheffield A
Columbia B	Montréal A	Melbourne A	Binus Intl A
PS Bucharest A	IIU Malaysia B	RWTH Aachen A	Cologne B
Stockholm A	Porto A	Brown A	Haifa B
Claremont A	UT Sydney A	UCD Law B	TCD Phil A
Oxford B	Harvard B	Cambridge B	Glasgow A
Singapore MU A	IBA Dhaka A	UKIM Skopje A	Sciences Po A
Tübingen A	Midlands State A	Indonesia A	UCC Law A
BPP A	TCD Hist B	IIM Ahmedabad A	Bangladesh UET A
Ben-Gurion A	New York A	Beijing FSU A	Alaska A
Nazarbayev A	Chittagong A	Lumina A	Warwick B
UCD Law A	London Union A	Western Ontario A	Princeton B
Queensland B	Brandeis A	UT Sydney B	Bates B
Seoul B	UMF Iuliu Hațieganu A	NTU Athens A	Wageningen A
Brawijaya A	New Jersey A	IUT B	Paris Tech A
Macquarie A	UCD L&H B	Ottawa B	La Verne A
British Columbia A	Carleton A	Nanyang TU A	Karachi A
Deree A	Dhaka A	Cape Town A	Nth British Columbia A
Ghulam Ishaq Khan A	Lancaster A	Cambridge C	CMU Qatar B
Laurier A	UCC Philosoph B	TCD Phil B	North South A
Moscow IPT B	Macau A	Otago B	Nanyang TU B
York A	Clemson B	St Andrews A	Swarthmore A
Lund A	Cape Town B	Haifa A	Western Australia A
Cologne A	IDC Herzliya A	Hong Kong UST A	FSU Jena A
LSE B	Yonsei Underwood A	Kapitza A	IDC Herzliya Recanati A
Shanghai UFE A	Zagreb A	Muenster A	Montréal B
Berlin B	Wollongong A	Boston A	Fort Hare A
Hawaii A	NLS India B	Free State A	McGill A
Munich A	Western Sydney A	UCC Philosoph A	Vermont A
Kutafin MSLU A	UCD L&H A	Brandeis B	Curtin Sarawak A
Yale-NUS A	Texas A&M Qatar A	Atma Jaya A	Northwest (USA) A
George Washington A	SSE Riga A	British Columbia B	Utrecht A
Jyväskylä A	Göttingen A	Vassar A	Fordham B
Indonesia B	Jagiellonian A	Inner Temple A	Western Australia B
Swing B	UT Cluj-Napoca A	Alberta A	NU Singapore B
HWS A	Amherst A	Macquarie B	Aberdeen A
IBA Dhaka B	Vienna A	Morehouse A	Gadjah Mada A
BRAC A	IIT Bombay B	Clemson A	Kyoto A
Willamette A	Asia Pacific A	New South Wales C	Fordham A
ASE Bucharest A	Malaya A	BiTS Iserlohn A	TU Dresden A
Pacific A	Bard A	Bangladesh UET B	Sophia A
Galatasaray A	Mumbai A	Stanford B	Erasmus A
Athens UEB A	Autónomo México A	Singapore IM A	Northeastern (Boston) A
Hanyang A	Belgrade C	Tsinghua A	Manchester A
Keio A	SolBridge A	Ottawa A	UC London B
US Air Force A	Colgate A	NLS India A	Peking A
North West (RSA) A	Ateneo A	Birmingham A	LCLS (Dhaka) A
Melbourne B	Lund B	Harvard C	Ljubljana A
Tokyo A	Independent Bangladesh A	Extremadura A	Warwick A
UWI Mona B	SOAS London A	Nottingham Ningbo A	Akita A
Stockholm B	BRAC B	Hitotsubashi A	Weill Cornell Qatar B
Moscow State A	Tokyo IT A	Southern Illinois B	United Intl A
Southern Illinois A	Bielefeld A	Canterbury B	Midlands State B
TEC Mexico A	Duke B	USMA West Point A	Lisbon A
OpenU A	IDC Herzliya B	Porto B	Megatrend A
IDC Herzliya Recanati B	McGill B	Regis A	COMAS A
Nacl Colombia A	UT Jamaica B	Bucharest A	Helsinki A
Fudan A	China Petroleum A	Ewha A	Babeș-Bolyai A
Intl Christian B	Moscow IPT A	MGIMO (Moscow) A	Berlin A
Aberystwyth A	Ghulam Ishaq Khan B	Babeș-Bolyai B	COSTAATT A
Weill Cornell Qatar A	CityU Hong Kong A	IUT A	CU Hong Kong A
Nazarbayev B	Athens A	CMU Qatar A	NYU Shanghai A
KIMEP A	Dartmouth A	Turku A	Warsaw A
Aoyama A	Tartu A	Yaroslav Mudryi NLU A	Waseda A
Muenster B	Sogang A	UWI Mona A	Malaya B
UT Jamaica A	Morehouse B	Padjadjaran A	Coimbra A
Kathmandu A	Odessa NU A	Hong Kong UST B	Canterbury A
UWI Western Jamaica A	De La Salle B	Kiel A	Tribhuvan A
NE Qinhuangdao A	Bogazici A	Tokyo IT B	NUI Galway A
PUCP Perú B	Rosario A	Ginling A	Uniciencia A
CU Hong Kong B	PUCP Perú A	Zagreb Law A	Santa María La Antigua A
Natl Defense Tech A	Splitska A	Yogyakarta State A	Ewha B
Westminster A	Al. I. Cuza A	Intl Christian A	Nagoya A
UMF Carol Davila A	Otgontenger A	Central de Venezuela A	Macedonia A
