Sydney Union B	Hart House A	Sydney Union C	London Union B
Denver A	La Verne A	Harvard A	Stanford A
New South Wales A	Visoka škola PEP A	Hart House B	UCD L&H B
UC London A	Auckland A	Princeton B	Porto B
Tel Aviv A	Linkopings A	Cornell A	Glasgow A
UCD Law B	Ottawa B	Sydney Union A	Durham A
Melbourne A	Munich A	De La Salle A	Lancaster A
Queen's B	NIBM (India) A	Oxford A	TCD Hist A
Radboud A	Auckland B	Athens UEB A	Tartu A
Carleton A	St Andrews A	Princeton A	Cape Town A
UCC Philosoph B	King's (New York) A	Tübingen A	UT Mara A
Queensland A	Seoul A	Wollongong A	Monash A
Tufts A	Victoria Wellington B	Manchester A	Columbia A
Nottingham A	Yale B	British Columbia A	Franklin & Marshall A
Brown A	Yale A	Loyola Marymount A	Cambridge B
UKIM Skopje A	Pennsylvania A	Dhaka A	Queen's A
New York A	IIU Malaysia A	Northeastern (Boston) A	New South Wales C
Nanyang TU A	Melbourne C	Autónomo México A	LSE A
IBA Dhaka A	Durham B	Otago A	McGill B
Visoka škola PEP B	Queensland B	Tel Aviv B	Duke B
Berlin A	Inner Temple A	Bangladesh UET A	Australian Natl A
Tsinghua A	RWTH Aachen A	Ljubljana A	Lumina A
Coimbra A	Uniciencia A	SSE Riga A	Hebrew Jerusalem A
Queensland UT A	UCD Law A	Queensland C	Sciences Po A
TCD Phil A	Bates C	Bates A	Belgrade C
Harvard B	Otago C	Alaska A	Stockholm A
Oxford C	Harvard C	Fort Hare A	Alberta A
Cornell B	TEC Mexico A	Belgrade A	American A
Indonesia A	IIT Bombay A	UC London B	Singapore MU A
Hull A	North South A	Leiden A	OpenU A
COSTAATT A	Karachi A	Leiden B	Melbourne B
Swarthmore A	Warwick A	IDC Herzliya A	IIU Malaysia B
Gadjah Mada A	Canterbury B	Cologne A	Cambridge A
Vermont A	London Union A	Victoria Wellington A	Cambridge C
King's London A	Glasgow B	McGill A	UT Sydney B
St Petersburg SEU A	Regis A	UT Sydney A	Oxford B
Dalhousie A	NTU Athens A	Western Sydney A	Kutafin MSLU A
Lund B	Brawijaya A	Asia Pacific A	Lund A
New South Wales B	IBA Dhaka B	Imperial A	Ateneo A
Vienna A	LCLS (Dhaka) A	Belgrade B	UCC Philosoph A
Australian Natl B	Ben-Gurion B	Brandeis A	Romanian-American A
Cape Town B	Western Ontario A	Duke A	Texas A&M Qatar A
Helsinki A	LSE B	Haifa B	IIT Bombay B
NU Singapore B	Nanyang TU B	Babeș-Bolyai A	Bard A
Clemson B	TCD Phil B	Bates B	St Andrews B
Ghulam Ishaq Khan B	MGIMO (Moscow) A	TU Dresden A	BPP A
FSU Jena A	Shanghai UFE A	IDC Herzliya B	UWI Mona A
Curtin Sarawak A	Beijing FSU A	Binus Intl A	Odessa NU A
IIM Ahmedabad A	British Columbia B	Monash B	Chicago A
Otago B	Macquarie B	SolBridge A	Middlebury A
Western Australia A	NLS India A	UCD L&H A	Yale-NUS A
Groningen A	Macquarie A	ITESM CSF A	Free State A
Hong Kong UST B	Columbia B	Padjadjaran A	Malaya A
UT Cluj-Napoca A	Ghulam Ishaq Khan A	George Washington A	Deree A
Hong Kong A	Ewha A	Vassar A	Amherst A
Boston A	Brandeis B	Warwick B	NLS India B
Bangladesh UET B	Hanyang A	Yale C	US Air Force A
NU Singapore A	Claremont A	Western Washington A	IDC Herzliya Recanati A
Malaya B	Waseda A	Macau A	Amherst B
Fordham A	Akita A	CMU Qatar B	UT Jamaica B
Fordham B	Kyoto A	Northwest (USA) A	Singapore IM A
Canterbury A	Stanford B	Osaka A	Moscow State A
IUT B	Ben-Gurion A	Nth British Columbia A	King's London B
Ewha B	Haifa A	Sogang A	Monash C
NUI Galway A	ASE Bucharest A	Western Australia B	Muenster A
Jagiellonian A	Keio A	BRAC A	Laurier A
BRAC B	Zagreb Law A	Indonesia B	Clemson A
BiTS Iserlohn A	Weill Cornell Qatar B	Erasmus A	Intl Christian B
Babeș-Bolyai B	IDC Herzliya Recanati B	Peking A	Stockholm B
Moscow IPT A	Sheffield A	Aoyama A	Independent Bangladesh A
Aberdeen A	Nazarbayev B	Montréal A	Fudan A
Atma Jaya A	Westminster A	York A	USMA West Point A
Midlands State B	Weill Cornell Qatar A	De La Salle B	HWS A
Yonsei Underwood A	Bucharest A	Splitska A	Yaroslav Mudryi NLU A
Sophia A	PS Bucharest A	Tokyo IT A	Morehouse A
Cologne B	Southern Illinois A	Willamette A	CU Hong Kong B
Morehouse B	Megatrend A	UCC Law A	Berlin B
IUT A	Hawaii A	Utrecht A	TCD Hist B
Lisbon A	Ottawa A	North West (RSA) A	Porto A
Mumbai A	Central de Venezuela A	Nazarbayev A	Dartmouth A
Athens A	Intl Christian A	Pacific A	Rosario A
China Petroleum A	Nacl Colombia A	New Jersey A	Aberystwyth A
Göttingen A	Southern Illinois B	NE Qinhuangdao A	Muenster B
Extremadura A	Wageningen A	Colgate A	Jyväskylä A
Tokyo IT B	Birmingham A	SOAS London A	Midlands State A
IBA Karachi A	CMU Qatar A	COMAS A	Moscow IPT B
CU Hong Kong A	Turku A	UT Jamaica A	Natl Defense Tech A
Al. I. Cuza A	Nottingham Ningbo A	UMF Carol Davila A	Hong Kong UST A
Montréal B	Yogyakarta State A	Seoul B	CityU Hong Kong A
Tribhuvan A	Kiel A	Tokyo A	Otgontenger A
Zagreb A	Kathmandu A	Chittagong A	Kapitza A
KIMEP A	Paris Tech A	Galatasaray A	PUCP Perú A
United Intl A	UWI Mona B	Bogazici A	Ginling A
Bielefeld A	Hitotsubashi A	NYU Shanghai A	PUCP Perú B
UWI Western Jamaica A	Santa María La Antigua A	Nagoya A	Macedonia A
