London Union B	Yale B	Hart House A	Linkopings A
Visoka škola PEP A	Hart House B	Harvard A	UCD Law A
Sydney Union B	TCD Hist A	London Union A	British Columbia B
Auckland A	Princeton A	Yale-NUS A	Oxford A
Pennsylvania A	British Columbia A	Sydney Union A	Tufts A
Queen's A	UCD L&H B	Cambridge C	Tel Aviv A
Victoria Wellington B	Victoria Wellington A	Independent Bangladesh A	De La Salle A
Macquarie A	Queensland B	Nottingham A	UT Mara A
NIBM (India) A	Swarthmore A	Regis A	Princeton B
Radboud A	Nazarbayev B	Kutafin MSLU A	Nanyang TU B
LSE A	Seoul A	Queensland C	Loyola Marymount A
Vermont A	Ewha A	Bates A	Columbia A
McGill A	Glasgow A	Monash A	Yale A
Melbourne A	Harvard B	Durham A	Glasgow B
Auckland B	Durham B	TCD Phil A	Macquarie B
IIU Malaysia A	Leiden B	Lancaster A	Queensland UT A
Harvard C	IIT Bombay A	Tel Aviv B	Queensland A
Australian Natl A	Western Sydney A	Vienna A	Munich A
Tübingen A	Warwick A	RWTH Aachen A	Jyväskylä A
Megatrend A	Cornell B	Hebrew Jerusalem A	Birmingham A
Sydney Union C	La Verne A	Ateneo A	Oxford C
Monash C	Otago A	NU Singapore A	Hull A
COMAS A	Beijing FSU A	Helsinki A	Stockholm A
Melbourne C	Stanford A	New South Wales A	Sciences Po A
Amherst B	Alaska A	OpenU A	Dhaka A
Malaya A	Romanian-American A	IIU Malaysia B	Oxford B
New South Wales B	LSE B	Indonesia A	Melbourne B
Lumina A	Alberta A	Berlin B	Malaya B
Bates C	Amherst A	LCLS (Dhaka) A	Cambridge A
Ben-Gurion A	Monash B	Belgrade A	George Washington A
De La Salle B	Bangladesh UET A	Leiden A	Australian Natl B
UCD Law B	King's London A	St Andrews A	Inner Temple A
Cape Town B	Free State A	Cambridge B	NLS India B
UCC Philosoph B	UKIM Skopje A	Berlin A	UT Sydney B
Brawijaya A	Yonsei Underwood A	IDC Herzliya Recanati A	Keio A
Fordham B	NTU Athens A	Coimbra A	New South Wales C
Denver A	McGill B	Nanyang TU A	Cornell A
Autónomo México A	Ottawa B	Stanford B	Bates B
Stockholm B	Carleton A	Hawaii A	Brandeis A
