Sydney Union A	Yale B	Visoka škola PEP A	Hart House A
Harvard A	Yale A	Stanford A	TCD Hist A
Dhaka A	Glasgow B	Princeton B	Sydney Union B
Duke A	Macquarie A	Auckland A	Malaya A
London Union B	Queensland UT A	London Union A	New South Wales A
British Columbia A	Oxford B	Tel Aviv A	Carleton A
De La Salle A	McGill A	Northeastern (Boston) A	McGill B
Princeton A	UT Mara A	UCD L&H B	Seoul A
UT Sydney B	Radboud A	Melbourne A	Yale-NUS A
OpenU A	Denver A	NIBM (India) A	Lancaster A
Cornell A	UC London A	Columbia A	Sydney Union C
Oxford C	Durham A	Pennsylvania A	Hart House B
Loyola Marymount A	Auckland B	Queensland B	NLS India A
IIU Malaysia A	Chicago A	Harvard C	Cornell B
IBA Dhaka B	Queensland A	UCD Law A	Cambridge B
Alaska A	Monash C	Monash B	LSE A
Gadjah Mada A	Karachi A	SolBridge A	Australian Natl A
Kyoto A	BPP A	British Columbia B	Durham B
RWTH Aachen A	US Air Force A	Franklin & Marshall A	Ewha A
Midlands State A	Claremont A	Southern Illinois A	Hebrew Jerusalem A
Colgate A	Tel Aviv B	Fordham A	Berlin B
Sciences Po A	Glasgow A	Linkopings A	TCD Phil A
Monash A	Oxford A	King's London A	King's (New York) A
UCD L&H A	Vermont A	UKIM Skopje A	Otago A
Wollongong A	Queen's A	LSE B	IIU Malaysia B
Manchester A	Stockholm A	Amherst B	Swarthmore A
Deree A	Nanyang TU A	Western Ontario A	Queensland C
Malaya B	Bates B	Leiden B	Brown A
Cambridge A	Queen's B	Tufts A	Melbourne C
UC London B	Belgrade A	Victoria Wellington A	Visoka škola PEP B
Sheffield A	Brandeis A	Yale C	Harvard B
Bates A	New South Wales C	Bangladesh UET A	Stockholm B
Indonesia A	North South A	Bates C	Moscow IPT A
Melbourne B	Nacl Colombia A	Tübingen A	Lumina A
IBA Karachi A	Muenster A	SOAS London A	Leiden A
Belgrade C	Brawijaya A	Jagiellonian A	PS Bucharest A
Cologne B	Seoul B	IDC Herzliya B	NTU Athens A
Macquarie B	Nottingham A	Free State A	St Andrews A
Otago B	Cambridge C	Cape Town B	Hanyang A
Ben-Gurion B	New South Wales B	Nanyang TU B	Boston A
Singapore IM A	UCC Philosoph B	Asia Pacific A	Cape Town A
York A	Singapore MU A	Victoria Wellington B	Beijing FSU A
Birmingham A	TCD Phil B	Odessa NU A	Independent Bangladesh A
Lund A	Berlin A	Belgrade B	Coimbra A
Lund B	FSU Jena A	Moscow State A	Ghulam Ishaq Khan B
COSTAATT A	Western Washington A	IDC Herzliya Recanati A	Shanghai UFE A
La Verne A	American A	IIT Bombay A	Middlebury A
Ateneo A	Inner Temple A	North West (RSA) A	Amherst A
IBA Dhaka A	Stanford B	Western Australia A	Alberta A
Bucharest A	George Washington A	Hong Kong UST B	Warwick A
UCC Philosoph A	Tartu A	IUT B	UT Sydney A
Clemson A	Vassar A	Babeș-Bolyai B	Vienna A
Romanian-American A	IIT Bombay B	Akita A	Hong Kong A
Dalhousie A	HWS A	UT Cluj-Napoca A	Montréal A
Regis A	King's London B	NU Singapore A	Duke B
UC Roosevelt A	LCLS (Dhaka) A	Curtin Sarawak A	Columbia B
IIM Ahmedabad A	ITESM CSF A	UCD Law B	Autónomo México A
Nazarbayev B	Western Australia B	BiTS Iserlohn A	Osaka A
Padjadjaran A	Australian Natl B	Warwick B	Ghulam Ishaq Khan A
Ottawa B	Kutafin MSLU A	Northwest (USA) A	USMA West Point A
Indonesia B	Ben-Gurion A	Munich A	Otago C
Babeș-Bolyai A	Helsinki A	Bard A	St Andrews B
NLS India B	Ottawa A	MGIMO (Moscow) A	Keio A
Intl Christian A	Rosario A	Fort Hare A	Porto B
Porto A	Texas A&M Qatar A	Weill Cornell Qatar B	SSE Riga A
UT Jamaica B	BRAC A	New Jersey A	Mumbai A
Bangladesh UET B	COMAS A	Tsinghua A	Yonsei Underwood A
Tokyo IT A	Fordham B	Brandeis B	Kiel A
IDC Herzliya Recanati B	Aberdeen A	UWI Mona A	Muenster B
Morehouse A	St Petersburg SEU A	Chittagong A	Clemson B
ASE Bucharest A	Jyväskylä A	Nazarbayev A	Macau A
PUCP Perú A	Haifa B	Yaroslav Mudryi NLU A	Cologne A
Hull A	Laurier A	Groningen A	NE Qinhuangdao A
Athens UEB A	CU Hong Kong A	Dartmouth A	IUT A
Hawaii A	Southern Illinois B	Ljubljana A	TU Dresden A
Western Sydney A	Pacific A	CU Hong Kong B	Haifa A
TCD Hist B	Peking A	New York A	Willamette A
Imperial A	Hong Kong UST A	Megatrend A	Tokyo IT B
NU Singapore B	China Petroleum A	Canterbury B	Canterbury A
Tokyo A	BRAC B	UCC Law A	TEC Mexico A
IDC Herzliya A	NUI Galway A	Fudan A	Hitotsubashi A
Extremadura A	Montréal B	Weill Cornell Qatar A	Aberystwyth A
Warsaw A	Central de Venezuela A	Athens A	CMU Qatar A
Sogang A	Waseda A	Kapitza A	Natl Defense Tech A
UWI Mona B	Binus Intl A	Midlands State B	NYU Shanghai A
UMF Iuliu Hațieganu A	CMU Qatar B	De La Salle B	Nth British Columbia A
Atma Jaya A	Zagreb Law A	Lisbon A	Splitska A
Ewha B	Göttingen A	Al. I. Cuza A	Erasmus A
Bogazici A	Morehouse B	Aoyama A	Westminster A
Intl Christian B	UT Jamaica A	Bielefeld A	Turku A
Macedonia A	Ginling A	Yogyakarta State A	KIMEP A
United Intl A	Utrecht A	Wageningen A	Sophia A
CityU Hong Kong A	Santa María La Antigua A	Tribhuvan A	Nottingham Ningbo A
