UCD L&H B	Harvard A	Hart House A	Yale A
Oxford A	Tel Aviv A	Oxford C	Visoka škola PEP A
UT Mara A	Sydney Union B	TCD Hist A	Auckland B
Leiden B	Auckland A	Carleton A	Franklin & Marshall A
Alberta A	London Union B	King's (New York) A	Cambridge C
Linkopings A	Cambridge B	Sydney Union C	Sydney Union A
NLS India A	LSE A	De La Salle A	Queen's A
Stanford A	Columbia A	Princeton A	Queensland A
Durham A	Cambridge A	Brown A	Radboud A
Belgrade A	Fordham A	Cornell A	NIBM (India) A
UCD Law A	IIU Malaysia B	Seoul A	Yale-NUS A
London Union A	Pennsylvania A	Glasgow A	Yale B
Oxford B	Princeton B	Hart House B	Victoria Wellington A
Durham B	Middlebury A	IIU Malaysia A	Northeastern (Boston) A
TCD Phil A	Australian Natl A	Queensland UT A	Stanford B
Monash B	RWTH Aachen A	Boston A	Western Australia B
Hebrew Jerusalem A	Warwick B	British Columbia A	Vassar A
Ewha A	Tufts A	Waseda A	Melbourne A
Tel Aviv B	UCD Law B	Macquarie A	Belgrade C
Swarthmore A	Queensland C	Loyola Marymount A	UKIM Skopje A
Stockholm A	Bates C	Glasgow B	Queensland B
Otago A	UT Sydney A	IIT Bombay B	Claremont A
Sciences Po A	Dhaka A	Melbourne C	St Andrews A
Harvard B	Duke A	Gadjah Mada A	Ottawa A
Bangladesh UET A	Melbourne B	Tartu A	TCD Phil B
McGill B	Cape Town A	Alaska A	LCLS (Dhaka) A
Columbia B	Indonesia A	Natl Defense Tech A	OpenU A
Leiden A	Osaka A	US Air Force A	Brandeis B
Curtin Sarawak A	De La Salle B	Lumina A	Lisbon A
American A	New South Wales A	Vermont A	King's London A
Nottingham A	UT Sydney B	Autónomo México A	IBA Dhaka B
NTU Athens A	Colgate A	UC Roosevelt A	NUI Galway A
St Petersburg SEU A	Padjadjaran A	Moscow IPT A	Brawijaya A
Amherst A	Cape Town B	UC London A	New South Wales B
Brandeis A	Macquarie B	Monash C	Monash A
BPP A	Ateneo A	McGill A	UCC Philosoph B
LSE B	BiTS Iserlohn A	Bates B	Chicago A
New South Wales C	Hong Kong A	Cornell B	IIT Bombay A
Vienna A	Nanyang TU B	Keio A	Kutafin MSLU A
Independent Bangladesh A	Southern Illinois A	Deree A	Belgrade B
CU Hong Kong B	FSU Jena A	Nazarbayev B	Indonesia B
IUT B	Midlands State A	Beijing FSU A	Ottawa B
IUT A	Shanghai UFE A	Hong Kong UST A	Göttingen A
George Washington A	Victoria Wellington B	Queen's B	Nanyang TU A
Dartmouth A	NU Singapore A	Bucharest A	La Verne A
Western Ontario A	Visoka škola PEP B	St Andrews B	Berlin A
Western Australia A	Malaya B	UCD L&H A	Sheffield A
Inner Temple A	Wollongong A	Otago B	York A
Hanyang A	Yale C	Romanian-American A	Babeș-Bolyai B
Northwest (USA) A	Harvard C	UCC Philosoph A	Imperial A
Australian Natl B	IBA Dhaka A	Karachi A	Laurier A
