Yale B	Hart House A	UT Mara A	Harvard A
Visoka škola PEP A	Sydney Union A	Yale A	London Union A
Queensland C	Glasgow A	Sydney Union B	Auckland A
Western Australia B	Fort Hare A	London Union B	Visoka škola PEP B
Tel Aviv A	Sydney Union C	Oxford B	Durham A
Victoria Wellington A	De La Salle A	UCC Philosoph B	American A
NIBM (India) A	IIT Bombay A	Swarthmore A	RWTH Aachen A
Stanford B	Radboud A	New South Wales B	Nottingham A
TCD Hist A	NLS India A	Australian Natl A	McGill A
Princeton B	Hebrew Jerusalem A	Durham B	Princeton A
Columbia A	IIU Malaysia A	LSE A	Monash C
Seoul A	George Washington A	UT Sydney B	Monash B
New South Wales A	Yale-NUS A	Auckland B	Pennsylvania A
Hart House B	UCD Law A	Singapore MU A	Victoria Wellington B
Queensland B	Oxford C	Queensland A	Vermont A
King's (New York) A	Melbourne A	Belgrade A	Dartmouth A
Bates B	Brown A	Tel Aviv B	Gadjah Mada A
Oxford A	St Andrews A	Cambridge A	Cambridge B
King's London A	TCD Phil A	Queen's A	Stanford A
Nanyang TU B	Franklin & Marshall A	Otago A	UCD L&H A
Hong Kong A	Manchester A	Stockholm A	Wollongong A
UCD L&H B	Linkopings A	Harvard B	Cape Town B
IIU Malaysia B	Sciences Po A	Dhaka A	Leiden B
LCLS (Dhaka) A	Monash A	Bangladesh UET A	British Columbia A
Southern Illinois A	Leiden A	TCD Phil B	Tübingen A
Northeastern (Boston) A	St Andrews B	Denver A	Alaska A
New Jersey A	IDC Herzliya Recanati A	BPP A	Indonesia A
Natl Defense Tech A	Lumina A	Shanghai UFE A	Bucharest A
UKIM Skopje A	Melbourne C	NLS India B	Fordham A
Rosario A	USMA West Point A	NTU Athens A	Western Sydney A
Helsinki A	Singapore IM A	Brawijaya A	New York A
Cambridge C	Queen's B	Brandeis A	LSE B
Tufts A	Jagiellonian A	Clemson B	Otago B
Carleton A	Queensland UT A	Amherst A	IBA Dhaka A
Cornell B	Loyola Marymount A	HWS A	North South A
