Hart House A	Visoka škola PEP A	Oxford A	UT Mara A
De La Salle A	Harvard A	King's London A	Harvard B
Sydney Union B	New South Wales A	Hebrew Jerusalem A	Oxford C
Auckland A	LSE A	Cambridge A	London Union A
London Union B	Singapore MU A	Stanford B	UT Sydney A
Auckland B	Sydney Union A	Yale B	Queen's A
NU Singapore A	Tel Aviv A	Alberta A	Alaska A
NIBM (India) A	Cambridge B	Sydney Union C	Cambridge C
LSE B	British Columbia A	Radboud A	Princeton A
Yale-NUS A	St Andrews A	TCD Hist A	Stockholm A
Nottingham A	Yale A	Durham A	Columbia A
Monash C	Leiden A	Queensland A	Seoul A
Oxford B	UT Sydney B	Swarthmore A	Pennsylvania A
IIU Malaysia A	Otago A	Cape Town B	Western Ontario A
Wollongong A	Hart House B	Karachi A	Durham B
Australian Natl A	UCD L&H B	IIU Malaysia B	TCD Phil A
Stanford A	Bates B	Queensland C	Melbourne A
Yale C	UCC Philosoph B	Loyola Marymount A	Tel Aviv B
Melbourne B	Victoria Wellington A	RWTH Aachen A	Queensland UT A
Dhaka A	Carleton A	Bates A	Bangladesh UET A
Glasgow A	Brandeis A	Sciences Po A	McGill A
Fordham A	Vermont A	Nanyang TU B	Belgrade A
Leiden B	Glasgow B	Vassar A	NLS India A
Babeș-Bolyai A	Ottawa A	Indonesia A	Clemson A
Warwick A	Lumina A	Visoka škola PEP B	Belgrade C
Imperial A	Montréal B	Amherst B	Brawijaya A
Canterbury A	UKIM Skopje A	IIM Ahmedabad A	IDC Herzliya A
Seoul B	NTU Athens A	Utrecht A	Midlands State B
Tufts A	Cornell A	IIT Bombay A	Middlebury A
Cape Town A	Franklin & Marshall A	Brown A	La Verne A
Linkopings A	British Columbia B	Otago C	BPP A
Clemson B	Ottawa B	TCD Phil B	Boston A
Queen's B	King's (New York) A	Hong Kong A	Cornell B
Columbia B	Monash A	Northeastern (Boston) A	Northwest (USA) A
Queensland B	Ben-Gurion A	New South Wales B	York A
Melbourne C	Princeton B	IBA Dhaka B	George Washington A
Beijing FSU A	Aberdeen A	Tübingen A	North South A
Nth British Columbia A	Amherst A	Duke A	Shanghai UFE A
Cologne A	Denver A	Ateneo A	Belgrade B
Jyväskylä A	Munich A	Ljubljana A	FSU Jena A
Helsinki A	Inner Temple A	Gadjah Mada A	BRAC A
Ben-Gurion B	Dalhousie A	New South Wales C	Chicago A
NLS India B	Macquarie B	Macquarie A	Southern Illinois B
UCD L&H A	American A	LCLS (Dhaka) A	Manchester A
Australian Natl B	McGill B	BiTS Iserlohn A	UC London A
Dartmouth A	Claremont A	Monash B	Stockholm B
Montréal A	Bard A	IDC Herzliya Recanati A	UCC Philosoph A
St Andrews B	Victoria Wellington B	Ewha A	Western Australia A
Lancaster A	Western Australia B	Ghulam Ishaq Khan A	Bates C
Vienna A	Haifa B	IBA Dhaka A	Keio A
OpenU A	HWS A	UCD Law B	Autónomo México A
Malaya A	Harvard C	North West (RSA) A	Indonesia B
Lund A	USMA West Point A	Southern Illinois A	Otago B
