IITB A	SNUDA A	UFS A	BLCU A
Imperial A	USU C	Berlin C	Hit-u A
Amherst B	Harvard C	Bates A	Bates D
Harvard B	KSAL A	Stanford A	UT MARA A
Brown A	Oxford A	Sheff B	BINUS A
Cambridge B	VUW B	Clemson B	CUNY A
Nazarbayev B	Tel Aviv A	SWORDS A	Stanford C
FCC A	Yale C	AKL A	FDU A
USU A	Malaya A	UWADU A	Ateneo A
Tampere A	Waseda B	SMU B	Cambridge A
Koç A	UCD LawSoc A	HKU A	SolBridge A
Sheff A	UTECH A	USU B	Zagreb A
NEU B	LSE A	Harvard A	STIPRam A
GUU B	UCC Phil A	Yale A	MAD C
KCL A	IIUM B	MAD D	PCU A
Belgrade A	Tec CEM C	UT MARA B	Oxford B
DRUMS B	EDS UGM A	Duke A	McGill B
UQDS C	DCB A	KHDS A	Vermont A
GWU B	Stanford F	UChicago A	Oxford C
MEDUNSA A	UBC B	HWS A	USU E
McGill A	Nazarbayev A	IIUM A	VUW A
UWI MONA B	LSE B	arts A	YNC A
TCD Phil B	TDS B	Warwick A	Durham A
LEIDEN C	SdDUP A	Melbourne C	LLC A
Duke B	URDU A	Hart House A	UCT A
Kyushu A	SKT A	Keio A	USU D
Edinburgh A	ECP A	Lund B	Tel Aviv B
DLSU A	Tec CEM B	GUU A	St Andrews B
Melbourne A	Melbourne B	Carleton A	NUIG B
CardiffUni A	NTU A	Tokai A	LEIDEN B
DAE A	UQDS B	BPP A	UVic A
Brandeis A	Berlin B	UNSW A	Clemson A
QDU A	UCL A	UT MARA C	TDS A
APU A	Stanford E	HKCityU A	U.LISBON A
UAM A	Kiel A	MAD A	Swarthmore B
GSU B	HKUST EDT A	Bard A	Penn A
UCD LawSoc B	DCBayreuth A	Princeton C	IIUM C
QUTDS A	CDS A	USDV B	UMB A
Cambridge D	DC Ms A	Hawaii A	DKWien C
NLSIU A	IBA DU A	McGill C	SKT B
Keio B	UWADU B	LEIDEN A	Cornell A
ANU B	Aalto A	Taylor's A	USU F
Rosario B	UoB A	HUJI A	YUU A
ANU A	SDU A	Durham B	Swing C
NWU-PUKKE A	Yale B	BINUS B	UMacau A
FDS A	Oxford D	UFV A	Bates B
Stanford B	D U A	HUJI B	USMA A
Yale D	Cambridge C	LLA A	Singidunum A
ASDV A	MAD B	Princeton A	Alaska A
BBU A	BGU B	NUS A	UQDS A
Point Loma A	Indonesia C	UTECH B	ANU C
Alaska B	UCL B	Middlebury B	MDS B
Team 399	McGill D	Team 400	Vermont B
UCT B	UdeM A	E.D.S B	GWU A
UWODS A	CDS B	Swing D	Comillas A
QDU B	Morehouse A	TUCN A	Stanford D
Titech A	OpenU A	Cornell B	NEU A
CMUQ A	IDC A	Bauman A	Belgrade B
WDU A	Tokyo A	BOGUN A	OCAD A
ASAFA A	E.D.S A	SUFE A	GSU A
Stockholm A	Otago A	DRUMS A	CUHKEDT A
Swarthmore A	UT Sydney A	St Andrews A	Tilbury A
Hopkins A	EDS UGM B	NorthwestU A	MDS A
Cornell D	ITB A	Middlebury A	PEP A
Princeton B	DKWien B	Brandeis B	Indonesia A
DEREE A	Tec CEM A	Bates C	Warsaw A
UCV B	IUT A	Swing A	ULV B
WSDU B	Belgrade C	SMU A	WCM C
ULV A	TCWM A	Swarthmore C	NUIG A
TCD Hist A	Tribhuvan A	UCL C	FDU B
Nagoya A	SUFE B	MDU A	wdebating A
Waseda A	UNSW B	UCD LnH A	TCD Phil A
BUET A	Tokyo B	NSU A	Sodales A
WCM A	TAMUQ A	AUDS A	MQU A
NYU LY A	KOREA A	RRIS A	Otago B
Warsaw C	St Andrews C	BUET B	Hart House B
UWI MONA A	Brawijaya A	ASAFA B	UBC A
TKC A	UdeS A	UCV A	Berkeley A
Kyoto B	ZUD A	PUCP A	UChicago C
GODS A	BDS A	HSE A	BRIS A
HKU B	UoN A	Inner A	Rosario A
Warsaw B	Hart House C	Hit-u B	CUPB A
A U A	Utrecht A	USDV A	Technion A
Brown B	IBA DU B	BGU A	LSE C
Durham C	UADS A	KU Nepal A	TCD Hist B
Tilbury B	Morehouse B	Lund A	Krakow A
Cornell C	Swing B	Indonesia B	FDS B
Aberdeen A	RRIS B	MQU B	DKWien A
IPB A	Kyoto A	WSDU A	UoG A
Clemson C	HWS B	HKUST EDT B	LEIDEN D
UFH A	A U B	Alaska C	WCM B
Amherst A	Vermont C	BBU B	MSU BD A
Berlin A	UChicago B	NUDT A	DCGA A
BFSU A	UCO A	SIM A	BIPEDS A
