USU C	CUPB A	Penn A	VUW B
Belgrade C	Alaska C	UT MARA A	IUT A
Bates A	Durham A	LSE B	Morehouse B
Taylor's A	Kyushu A	IITB A	Tec CEM C
AKL A	GWU A	Yale B	UCL A
Oxford A	USMA A	Otago A	IIUM B
Stanford A	St Andrews B	ANU B	Tel Aviv A
DRUMS A	YNC A	Brown B	Cambridge B
UFV A	Clemson B	Brown A	UAM A
Harvard A	Cambridge A	Ateneo A	HWS B
Stanford C	USU E	CDS B	UCD LawSoc A
TCWM A	Oxford B	FDS B	Durham B
Yale A	PEP A	Cambridge D	Vermont C
USU B	IIUM C	Indonesia C	Melbourne B
DCB A	wdebating A	Amherst A	USU A
UT Sydney A	Hopkins A	Oxford C	WDU A
SKT A	Warsaw A	UdeS A	LSE A
IIUM A	USDV A	Alaska A	Kyoto A
D U A	UWODS A	UFH A	Duke A
UCL C	BBU B	UQDS C	SUFE B
UCL B	Tel Aviv B	MAD B	UFS A
UQDS B	Bates B	USU D	MDU A
Bates C	MAD A	UQDS A	Hart House A
Clemson A	Vermont B	BDS A	GUU A
TDS B	LEIDEN B	Aberdeen A	SMU B
Swarthmore B	Belgrade A	Zagreb A	LEIDEN C
Brawijaya A	Melbourne A	ULV A	Harvard C
Middlebury A	APU A	SNUDA A	SUFE A
BINUS A	RRIS A	TDS A	Edinburgh A
Princeton C	Bauman A	BGU B	NEU B
HKU A	GUU B	Technion A	Brandeis A
Tribhuvan A	QDU A	DKWien B	Princeton A
LLA A	UWADU A	WCM A	KHDS A
LLC A	NLSIU A	UChicago B	Morehouse A
YUU A	NEU A	McGill B	UoN A
E.D.S A	Cornell A	USU F	ZUD A
IDC A	BRIS A	Oxford D	ANU A
LEIDEN A	Cornell C	Comillas A	BPP A
MDS B	QUTDS A	FDS A	McGill D
Vermont A	DKWien A	LSE C	Cambridge C
KOREA A	TCD Phil A	Belgrade B	TCD Hist A
UCT A	Berkeley A	Hart House C	Utrecht A
Malaya A	Berlin A	Yale D	McGill C
Cornell B	Rosario A	Tokyo A	Stanford F
SIM A	MDS A	Hart House B	HUJI A
VUW A	Krakow A	TKC A	UoB A
Waseda B	Stanford B	FCC A	EDS UGM B
Melbourne C	HKU B	NUIG A	SWORDS A
HKCityU A	Swarthmore A	QDU B	Aalto A
UT MARA B	PUCP A	Clemson C	Harvard B
FDU B	McGill A	IBA DU B	Brandeis B
Kiel A	Nazarbayev B	Tampere A	BBU A
Indonesia A	Sodales A	UoG A	CDS A
Team 400	NUS A	UVic A	SMU A
Keio A	KCL A	CardiffUni A	Warsaw B
USDV B	Alaska B	UCT B	Bard A
HKUST EDT B	MQU A	TCD Hist B	Princeton B
OCAD A	Point Loma A	ASAFA A	ECP A
URDU A	DKWien C	Amherst B	UChicago A
Singidunum A	BLCU A	TCD Phil B	RRIS B
Tec CEM A	Hawaii A	MAD C	ASDV A
MQU B	STIPRam A	Waseda A	GWU B
Nazarbayev A	BIPEDS A	NTU A	AUDS A
St Andrews C	UBC A	Stanford E	UADS A
UNSW B	SolBridge A	Stanford D	UNSW A
St Andrews A	UCD LawSoc B	UCC Phil A	Yale C
IBA DU A	DLSU A	Warsaw C	MAD D
NSU A	BGU A	Durham C	Sheff A
BINUS B	ULV B	WCM C	Carleton A
Hit-u A	Tokai A	A U A	Warwick A
Swarthmore C	Hit-u B	UCV B	Rosario B
UChicago C	Berlin C	UMacau A	UWADU B
Lund A	ANU C	DC Ms A	Tokyo B
HKUST EDT A	DEREE A	UBC B	SDU A
ASAFA B	BFSU A	UWI MONA B	HSE A
A U B	Imperial A	Otago B	Cornell D
DCGA A	CUHKEDT A	EDS UGM A	UCD LnH A
Bates D	TUCN A	DCBayreuth A	UCV A
Lund B	GSU B	DAE A	NWU-PUKKE A
Middlebury B	SKT B	UWI MONA A	Team 399
NUIG B	GODS A	DRUMS B	ITB A
HUJI B	HWS A	WSDU B	KSAL A
arts A	GSU A	CUNY A	NorthwestU A
TAMUQ A	IPB A	OpenU A	UdeM A
Sheff B	BUET B	MSU BD A	Indonesia B
UTECH A	NYU LY A	Stockholm A	UTECH B
UMB A	LEIDEN D	Keio B	BOGUN A
Tec CEM B	MEDUNSA A	U.LISBON A	UCO A
Inner A	CMUQ A	Kyoto B	E.D.S B
KU Nepal A	Koç A	FDU A	Duke B
WCM B	Tilbury A	PCU A	NUDT A
SdDUP A	WSDU A	Titech A	UT MARA C
Berlin B	Tilbury B	Nagoya A	BUET A
