Melbourne B	Bates A	USU E	USU C
UT MARA A	LSE C	UWADU B	Yale A
Utrecht A	Cornell D	USMA A	IITB A
Belgrade B	USU F	Oxford A	USU B
Tel Aviv B	UADS A	Vermont B	AKL A
Tel Aviv A	Cornell B	LEIDEN B	KCL A
UCC Phil A	UNSW A	Cambridge B	UCL B
Durham B	Brown A	Berkeley A	URDU A
Cambridge A	USU D	CDS A	Belgrade C
UCD LawSoc A	Hart House A	Oxford B	Hart House C
Cornell A	Harvard A	UQDS B	NTU A
Indonesia C	ASAFA A	USU A	Stanford A
Stanford E	HSE A	IIUM B	UWODS A
AUDS A	Oxford C	Durham A	NLSIU A
Duke A	Middlebury A	TCD Phil A	NUS A
MDS A	Edinburgh A	GWU A	IIUM A
LSE A	UQDS C	NEU A	DC Ms A
BBU B	GUU A	UT Sydney A	BGU A
Bard A	LEIDEN C	Indonesia A	St Andrews C
Alaska C	SWORDS A	SKT A	LSE B
SMU B	TCD Hist A	YNC A	Melbourne A
MQU A	Morehouse A	Harvard C	TCWM A
MAD A	Yale D	ANU A	Otago A
Penn A	Ateneo A	Bates B	Princeton C
IUT A	Durham C	QDU A	CMUQ A
Yale B	FDS B	CUHKEDT A	UWADU A
ZUD A	Brandeis A	HWS B	Alaska B
Morehouse B	DRUMS A	KOREA A	APU A
Vermont C	BINUS A	ITB A	MAD B
VUW B	McGill B	Cambridge C	Cambridge D
UVic A	St Andrews A	Vermont A	QUTDS A
BPP A	HUJI A	YUU A	UT MARA B
MDU A	Warwick A	Warsaw A	Belgrade A
Brandeis B	UAM A	TAMUQ A	LEIDEN A
Tokyo A	Bates C	Swarthmore B	Oxford D
TCD Hist B	UChicago C	UCT A	GUU B
UdeM A	Alaska A	E.D.S A	RRIS A
EDS UGM A	VUW A	Berlin A	UNSW B
UCL A	Otago B	Stanford B	SNUDA A
UMacau A	BBU A	BIPEDS A	McGill A
IIUM C	Harvard B	Tilbury A	HKUST EDT A
UQDS A	QDU B	EDS UGM B	OpenU A
Zagreb A	Brown B	IBA DU A	Malaya A
Indonesia B	Melbourne C	Bates D	FCC A
UChicago A	HKU A	BRIS A	Taylor's A
UChicago B	USDV B	WDU A	UBC B
UFS A	Princeton A	PEP A	CDS B
Sodales A	Carleton A	Swarthmore A	Lund A
LEIDEN D	Amherst B	BUET A	Hopkins A
USDV A	ANU C	BLCU A	Amherst A
Stanford F	Stanford C	IDC A	ASAFA B
Stanford D	Princeton B	Cornell C	Clemson B
SMU A	LLC A	Brawijaya A	HKU B
TDS A	FDU A	Tec CEM A	UCT B
RRIS B	GWU B	TUCN A	WSDU B
Hawaii A	Sheff A	Tilbury B	NYU LY A
MAD D	Clemson A	Nazarbayev A	TCD Phil B
UoB A	MAD C	Team 399	TDS B
DCBayreuth A	Swarthmore C	D U A	HWS A
Hart House B	UoG A	SUFE B	Point Loma A
DKWien A	Sheff B	UCD LawSoc B	BDS A
GSU A	Stockholm A	UBC A	WSDU A
McGill C	ANU B	Koç A	DLSU A
CUNY A	E.D.S B	Rosario A	NSU A
CUPB A	BINUS B	Tokyo B	Clemson C
Yale C	HKUST EDT B	Hit-u A	DRUMS B
PCU A	Keio B	Kyoto A	Aberdeen A
Berlin C	Lund B	BFSU A	Titech A
SUFE A	UCD LnH A	UTECH A	FDS A
St Andrews B	Middlebury B	wdebating A	DKWien B
SDU A	HKCityU A	SdDUP A	Imperial A
BOGUN A	Warsaw C	Tribhuvan A	HUJI B
ULV B	Keio A	NWU-PUKKE A	BGU B
ECP A	ULV A	SolBridge A	UCL C
UdeS A	Tampere A	A U B	UFH A
U.LISBON A	Singidunum A	Nazarbayev B	IBA DU B
WCM C	NUIG A	DCGA A	Waseda B
PUCP A	Comillas A	DCB A	BUET B
Bauman A	UCV B	Tec CEM B	Nagoya A
KHDS A	TKC A	DEREE A	CardiffUni A
NorthwestU A	WCM A	DKWien C	IPB A
McGill D	NEU B	Duke B	Waseda A
UTECH B	MSU BD A	FDU B	Berlin B
Tokai A	NUDT A	STIPRam A	DAE A
UoN A	MDS B	MEDUNSA A	MQU B
Aalto A	Team 400	Krakow A	SIM A
Technion A	A U A	Warsaw B	Kyushu A
Hit-u B	WCM B	OCAD A	Inner A
UCV A	Kyoto B	KSAL A	Kiel A
UT MARA C	KU Nepal A	UMB A	arts A
SKT B	UWI MONA B	GODS A	GSU B
UCO A	NUIG B	ASDV A	UWI MONA A
Tec CEM C	UFV A	Rosario B	LLA A
