Cambridge C	UT MARA A	Melbourne A	Swarthmore A
GWU A	WDU A	Cornell A	Bates A
BGU B	IITB A	URDU A	UCL A
Carleton A	Bard A	USU C	Yale B
NLSIU A	Cambridge D	Cambridge A	Oxford A
Oxford B	AKL A	LEIDEN C	MAD A
LSE B	USU B	St Andrews C	Brown A
Princeton A	Cambridge B	VUW A	Stanford B
BGU A	SUFE A	Tel Aviv A	KOREA A
NEU A	Yale A	VUW B	UQDS B
UCT A	USU A	Edinburgh A	Clemson A
TCD Phil A	Vermont A	UCD LawSoc A	UT Sydney A
IIUM B	SMU A	Hopkins A	UCD LawSoc B
Hart House C	TCD Phil B	UoN A	Harvard A
Tilbury A	Stanford A	Melbourne B	Amherst B
GUU A	IIUM A	USU E	Hart House A
NUS A	Vermont B	Belgrade C	Oxford C
Durham A	Swarthmore B	LSE A	E.D.S A
MAD B	RRIS A	Stanford C	UQDS C
WSDU A	Duke A	QUTDS A	DRUMS A
LEIDEN B	BPP A	Tel Aviv B	Yale D
USU D	Penn A	MQU A	UWODS A
Harvard C	Belgrade B	UCL B	Cornell B
MAD C	UQDS A	ANU C	QDU A
Ateneo A	AUDS A	Harvard B	UCC Phil A
UWADU A	NSU A	Belgrade A	Sheff B
UWADU B	Indonesia A	Brandeis A	Brawijaya A
Otago A	Princeton C	Yale C	Stockholm A
EDS UGM B	SMU B	BINUS A	DCBayreuth A
SNUDA A	Zagreb A	APU A	Lund B
CDS A	ANU A	UNSW B	Indonesia C
USU F	LSE C	TCWM A	Warwick A
Berkeley A	LEIDEN A	Stanford F	A U B
YUU A	Durham B	Duke B	Melbourne C
HUJI A	McGill C	Alaska B	D U A
YNC A	McGill A	KCL A	McGill B
NTU A	TDS A	BBU A	SKT A
Oxford D	Hart House B	DLSU A	Swarthmore C
Alaska A	Lund A	Vermont C	EDS UGM A
QDU B	MQU B	ULV B	Stanford E
Otago B	Taylor's A	Malaya A	Middlebury A
UCD LnH A	UVic A	IIUM C	Tec CEM A
PEP A	SWORDS A	UADS A	Tokyo A
Middlebury B	UT MARA B	IUT A	Berlin C
Clemson B	MAD D	TCD Hist A	USDV A
UBC A	DRUMS B	Singidunum A	Bates C
DKWien C	Clemson C	Nagoya A	USDV B
BRIS A	Bates D	Princeton B	Nazarbayev A
USMA A	DCGA A	MDS B	ASAFA A
HSE A	Amherst A	GWU B	BBU B
BLCU A	Titech A	Utrecht A	Berlin B
Hawaii A	CardiffUni A	BFSU A	GODS A
CDS B	UCL C	RRIS B	BINUS B
UNSW A	TCD Hist B	Cornell D	UChicago B
SUFE B	Technion A	Sodales A	Keio B
Comillas A	SIM A	LLC A	ANU B
CUHKEDT A	PCU A	NEU B	HKU A
SolBridge A	UCT B	UoB A	Durham C
UBC B	UoG A	GUU B	Cornell C
DC Ms A	Aberdeen A	MDS A	Bauman A
HUJI B	Inner A	ZUD A	HKUST EDT B
BDS A	ASAFA B	Team 399	SdDUP A
Rosario A	UMacau A	UdeM A	Alaska C
FDS B	KHDS A	UChicago C	Tilbury B
Bates B	BUET A	SKT B	Berlin A
BIPEDS A	St Andrews B	HKUST EDT A	Hit-u B
HWS B	UTECH B	Morehouse B	STIPRam A
ITB A	CUNY A	GSU A	TUCN A
OpenU A	FDS A	GSU B	UdeS A
Tokyo B	NorthwestU A	HKU B	IBA DU A
Kyoto A	UChicago A	Waseda B	UFV A
NUDT A	UFH A	ECP A	Brown B
Imperial A	WCM C	Kiel A	PUCP A
Morehouse A	St Andrews A	TDS B	TKC A
UFS A	MDU A	Tampere A	Keio A
DKWien B	Brandeis B	CMUQ A	ULV A
IBA DU B	Warsaw B	NYU LY A	DEREE A
BUET B	WSDU B	DKWien A	Warsaw C
HWS A	Stanford D	SDU A	IDC A
NUIG A	Indonesia B	LEIDEN D	KU Nepal A
FDU A	BOGUN A	Kyoto B	Nazarbayev B
Warsaw A	NWU-PUKKE A	WCM B	Koç A
PLACEHOLDER	ASDV A	UAM A	Tec CEM B
E.D.S B	U.LISBON A	CUPB A	A U A
wdebating A	UWI MONA A	McGill D	DCB A
OCAD A	FDU B	Sheff A	Tribhuvan A
IPB A	Waseda A	Kyushu A	UWI MONA B
TAMUQ A	arts A	WCM A	HKCityU A
Krakow A	UT MARA C	UCO A	Tokai A
KSAL A	Rosario B	Point Loma A	Aalto A
Swing E	LLA A	NUIG B	Swing F
UCV B	FCC A	Tec CEM C	UTECH A
MSU BD A	UMB A	UCV A	DAE A
