Yale D	USU A	UWODS A	UT MARA A
Penn A	Swarthmore A	KCL A	Bates A
IITB A	UBC B	Morehouse A	LSE A
UQDS C	Harvard A	LEIDEN B	USU C
Oxford B	Yale A	AKL A	Cambridge A
Harvard C	Oxford A	Oxford C	Hart House A
UQDS B	GUU A	Cambridge B	Cambridge D
NUS A	Harvard B	Alaska B	Brown A
Tel Aviv A	BPP A	Ateneo A	Vermont C
UCD LawSoc A	USU E	Durham A	Vermont B
IIUM B	Belgrade B	UADS A	Indonesia C
UNSW B	Hopkins A	USU B	MAD B
Stanford A	Cornell A	McGill B	Brandeis A
IIUM A	Cornell B	Hart House C	QUTDS A
UoN A	Duke A	BLCU A	Berkeley A
UCL B	NEU A	NLSIU A	LSE B
VUW B	Melbourne A	McGill C	USU D
TCD Phil A	IUT A	GUU B	LEIDEN C
ULV B	BINUS A	Tel Aviv B	TDS B
UQDS A	DRUMS A	MAD A	UT Sydney A
TDS A	UWADU A	Swarthmore B	Stanford E
PEP A	Stanford F	CDS B	QDU A
Warwick A	FDS B	Princeton C	BGU A
APU A	DCGA A	Keio B	MDU A
GWU A	UCT A	USU F	Stanford B
Yale B	URDU A	Clemson A	VUW A
LEIDEN A	UVic A	McGill A	Swarthmore C
HUJI A	UBC A	ANU A	Princeton B
Belgrade A	Duke B	Tokyo A	HSE A
Brown B	YUU A	HKU A	DKWien A
Otago A	Oxford D	TCD Hist A	Cornell D
Brandeis B	Cambridge C	Melbourne B	St Andrews C
Malaya A	Team 399	E.D.S A	MQU A
SMU A	ASAFA A	UCL A	Middlebury B
Warsaw A	Hart House B	FDS A	BBU A
YNC A	Alaska A	BRIS A	UWADU B
Taylor's A	Bates C	Edinburgh A	ULV A
Yale C	UT MARA B	MQU B	Melbourne C
IIUM C	HUJI B	UoB A	UCL C
Bates D	LEIDEN D	Otago B	QDU B
Zagreb A	EDS UGM A	Stanford C	SKT A
Bates B	Bauman A	USDV B	RRIS B
CDS A	Nagoya A	Vermont A	UdeM A
Alaska C	Bard A	ANU B	WDU A
ANU C	Indonesia A	Inner A	TCD Hist B
UCC Phil A	TCD Phil B	Princeton A	Tampere A
Tilbury B	MDS A	IBA DU A	SWORDS A
Tilbury A	BINUS B	Point Loma A	GWU B
UoG A	BGU B	Clemson B	KOREA A
NTU A	UdeS A	UTECH A	Hawaii A
Belgrade C	Middlebury A	TCWM A	DC Ms A
Berlin A	MAD C	USMA A	UAM A
UCD LawSoc B	UFS A	SolBridge A	ASAFA B
Carleton A	RRIS A	St Andrews B	Stanford D
SUFE B	UNSW A	SIM A	NYU LY A
SMU B	A U B	NSU A	BFSU A
Comillas A	DRUMS B	MAD D	WCM A
UWI MONA B	CardiffUni A	UCT B	GSU B
WSDU A	USDV A	Cornell C	Sodales A
D U A	Sheff B	Morehouse B	EDS UGM B
ZUD A	Tec CEM A	LSE C	St Andrews A
AUDS A	CUNY A	Indonesia B	Lund B
DKWien B	Brawijaya A	UChicago C	Rosario A
HKU B	Stockholm A	BBU B	DLSU A
E.D.S B	Warsaw B	IDC A	Aberdeen A
OpenU A	Amherst A	SKT B	Durham B
ITB A	Krakow A	Rosario B	NUIG A
IBA DU B	STIPRam A	Technion A	UMacau A
A U A	Durham C	Imperial A	wdebating A
UChicago A	MDS B	CMUQ A	LLC A
FCC A	CUPB A	CUHKEDT A	Sheff A
Clemson C	SUFE A	Lund A	BDS A
TUCN A	NWU-PUKKE A	Berlin C	McGill D
HKUST EDT A	WSDU B	Aalto A	Amherst B
Waseda B	HWS B	TKC A	Team 400
Warsaw C	UCV A	Nazarbayev B	FDU A
Tokyo B	ECP A	UCD LnH A	SdDUP A
BUET A	NEU B	Utrecht A	UChicago B
DKWien C	Singidunum A	FDU B	Tec CEM B
SNUDA A	BIPEDS A	Berlin B	HWS A
PCU A	Koç A	IPB A	TAMUQ A
NUDT A	DCB A	DEREE A	Kyoto A
WCM B	KSAL A	BUET B	Titech A
ASDV A	HKUST EDT B	KU Nepal A	BOGUN A
GSU A	HKCityU A	NUIG B	UT MARA C
KHDS A	Nazarbayev A	Keio A	DCBayreuth A
Tec CEM C	NorthwestU A	PUCP A	SDU A
UCO A	OCAD A	UFH A	UCV B
Tokai A	DAE A	Kiel A	LLA A
UFV A	Swing E	U.LISBON A	arts A
UWI MONA A	Waseda A	GODS A	WCM C
Hit-u B	UTECH B	MSU BD A	Kyoto B
Kyushu A	UMB A	Swing F	Tribhuvan A
