Durham A	UT MARA A	UCD LawSoc A	Harvard C
Stanford B	Bates A	Oxford A	Harvard A
QUTDS A	USU C	UdeM A	KCL A
UVic A	IITB A	HUJI A	Edinburgh A
Oxford C	Cambridge A	LSE B	AKL A
GUU A	Tel Aviv A	DRUMS A	UBC B
USU E	Brown A	UWADU A	Yale D
Vermont B	Alaska B	Middlebury A	Cambridge B
UT Sydney A	DC Ms A	Belgrade B	Yale A
LSE A	IIUM B	USU A	Harvard B
Cambridge D	NLSIU A	Oxford B	UCT A
Cornell A	USU B	USU D	Cornell B
SWORDS A	Stanford A	UWADU B	St Andrews A
VUW A	Duke B	IIUM A	Cornell D
Hopkins A	Princeton A	UQDS C	Melbourne B
Melbourne C	Yale B	Middlebury B	Duke A
Hart House A	LEIDEN B	QDU A	IUT A
Indonesia A	Tel Aviv B	Brandeis A	Melbourne A
EDS UGM A	Penn A	LEIDEN C	USDV B
St Andrews C	BBU A	UQDS B	UNSW B
Swarthmore B	Ateneo A	Indonesia C	CDS B
Princeton C	MAD A	UCL A	Swarthmore C
BINUS A	USU F	Bates B	TCD Phil B
SDU A	APU A	ASDV A	CUPB A
ANU A	TCWM A	USDV A	Otago A
WSDU B	Belgrade A	RRIS B	MAD D
Stanford F	TCD Hist B	TDS B	LEIDEN A
HKUST EDT B	YUU A	Bates C	UChicago A
Oxford D	UWODS A	Swarthmore A	URDU A
Bard A	GWU A	UCL B	NEU A
EDS UGM B	Berkeley A	DKWien A	Cambridge C
UT MARA B	Taylor's A	UFS A	TUCN A
TCD Hist A	DLSU A	Malaya A	UCC Phil A
Alaska A	TCD Phil A	Warsaw B	QDU B
Aberdeen A	Berlin A	McGill A	Zagreb A
St Andrews B	Brown B	IIUM C	Nazarbayev A
Vermont A	ASAFA B	Sodales A	CUNY A
NYU LY A	SKT A	UQDS A	Tokyo A
KOREA A	PEP A	WDU A	GUU B
BPP A	Stanford D	NUS A	MAD C
Clemson B	HUJI B	FDS B	MDS A
McGill B	Clemson A	Belgrade C	Stanford C
UChicago B	TDS A	UNSW A	Hawaii A
Vermont C	Cornell C	Yale C	GWU B
USMA A	Hart House C	MAD B	SMU A
FDS A	E.D.S A	NTU A	SolBridge A
Princeton B	Imperial A	Bauman A	Warsaw C
BLCU A	NSU A	ASAFA A	Tampere A
Stanford E	Warwick A	MQU A	VUW B
UADS A	Inner A	BINUS B	Morehouse A
Lund B	Alaska C	Hart House B	Carleton A
UBC A	McGill C	DKWien B	Lund A
ANU B	SUFE B	Tilbury B	BFSU A
DCBayreuth A	YNC A	Amherst B	Clemson C
RRIS A	DKWien C	AUDS A	BIPEDS A
Keio B	HKU A	Technion A	Krakow A
UCT B	IDC A	HKUST EDT A	TAMUQ A
Kyoto A	UCD LawSoc B	UoN A	SIM A
IBA DU A	SMU B	FDU A	TKC A
LSE C	MDU A	HWS B	Morehouse B
Koç A	UChicago C	Tilbury A	NEU B
Tec CEM A	UMacau A	HSE A	Brandeis B
CUHKEDT A	Titech A	Warsaw A	Bates D
Berlin B	UT MARA C	MDS B	D U A
UoG A	Point Loma A	Durham B	Indonesia B
Utrecht A	HKU B	Aalto A	KHDS A
A U B	SKT B	IBA DU B	ITB A
BGU A	WSDU A	Comillas A	DCGA A
Berlin C	SdDUP A	BGU B	Amherst A
LEIDEN D	NUIG A	ULV B	Sheff B
Stockholm A	CDS A	ANU C	UoB A
Rosario A	Tec CEM B	BUET A	ZUD A
BBU B	UAM A	Nagoya A	BRIS A
BDS A	MQU B	DRUMS B	NorthwestU A
UCD LnH A	GSU A	HWS A	Tokyo B
UdeS A	ULV A	Durham C	NWU-PUKKE A
UTECH A	Otago B	IPB A	CardiffUni A
WCM A	Nazarbayev B	Waseda B	E.D.S B
UCL C	McGill D	UTECH B	SUFE A
wdebating A	UFH A	DCB A	CMUQ A
Brawijaya A	UWI MONA A	KSAL A	Singidunum A
arts A	PUCP A	SNUDA A	PCU A
STIPRam A	OCAD A	ECP A	Kyoto B
BOGUN A	DAE A	Sheff A	A U A
Keio A	OpenU A	Waseda A	BUET B
FDU B	UCV B	NUDT A	HKCityU A
GSU B	Rosario B	LLC A	DEREE A
MSU BD A	UFV A	WCM B	Kiel A
NUIG B	KU Nepal A	Tec CEM C	GODS A
UCV A	Hit-u B	UWI MONA B	FCC A
U.LISBON A	Tribhuvan A	LLA A	Kyushu A
WCM C	Tokai A	UCO A	UMB A
