UT MARA A	AKL A	Yale A	Cambridge A
URDU A	Harvard C	Bates A	Durham A
USU C	UQDS C	Melbourne A	BINUS B
MAD C	Lund A	IITB A	Belgrade A
USU A	QDU A	Tel Aviv A	Ateneo A
Alaska B	Brandeis A	Oxford A	MAD A
TCWM A	Cambridge B	Swarthmore C	Cornell B
Brown A	VUW A	UNSW B	Oxford D
Oxford C	Oxford B	Harvard A	IIUM B
USU E	UT Sydney A	Cambridge D	USU B
USU D	LSE B	LSE A	UCD LawSoc A
Swarthmore A	McGill B	Stanford A	HUJI B
NEU A	IIUM A	Hart House A	NLSIU A
St Andrews A	WDU A	Duke A	UQDS A
Melbourne B	LEIDEN C	GUU A	UCL B
LEIDEN B	Vermont A	Stanford D	Penn A
Vermont B	UQDS B	TCD Phil B	Bard A
SWORDS A	LEIDEN A	St Andrews C	Tel Aviv B
Indonesia C	Stanford B	UCT A	UWADU A
Tokyo A	HUJI A	QUTDS A	BINUS A
GUU B	DKWien B	UT MARA B	Princeton C
MDU A	Zagreb A	Alaska C	APU A
Warwick A	ANU A	Otago A	Alaska A
Bates C	UCC Phil A	MDS A	Yale B
Stanford C	UdeM A	YUU A	LEIDEN D
ASAFA B	Berlin B	WSDU A	USU F
Edinburgh A	Bates B	UWODS A	UNSW A
DRUMS A	MQU A	Harvard B	Belgrade B
Cambridge C	Melbourne C	PEP A	LSE C
UADS A	KCL A	Indonesia A	Taylor's A
USDV B	UCL A	SKT A	GWU A
UBC B	Yale D	DC Ms A	Duke B
Hart House B	QDU B	BGU A	FDS A
ASAFA A	NTU A	Morehouse A	McGill A
Bauman A	BLCU A	VUW B	Malaya A
Durham C	Vermont C	BBU A	TDS A
NSU A	IIUM C	UChicago A	USMA A
Hart House C	TCD Hist A	Cornell A	Hopkins A
IUT A	TDS B	CUNY A	Swarthmore B
Middlebury A	Clemson B	RRIS A	Yale C
MAD B	Carleton A	Princeton B	BGU B
Morehouse B	ULV B	BPP A	EDS UGM A
Princeton A	Hawaii A	NEU B	Cornell C
Durham B	SMU A	KOREA A	UVic A
NUIG A	Kyoto A	HKU B	E.D.S A
GWU B	DCBayreuth A	wdebating A	BBU B
DKWien A	Stanford E	Koç A	YNC A
MAD D	Team 399	Bates D	Belgrade C
ANU C	Brandeis B	EDS UGM B	ANU B
McGill C	Berlin C	UAM A	NUS A
TUCN A	UCT B	TCD Phil A	SUFE B
HKU A	HSE A	Aberdeen A	AUDS A
Inner A	UWADU B	NYU LY A	UCD LawSoc B
Warsaw B	BDS A	WSDU B	UBC A
UChicago C	BUET A	Berkeley A	Stockholm A
McGill D	Indonesia B	SMU B	IPB A
Sodales A	CDS B	Cornell D	USDV A
TCD Hist B	Amherst B	Rosario A	HWS B
DRUMS B	IBA DU A	Lund B	Brown B
DLSU A	IBA DU B	Brawijaya A	FDS B
Clemson A	CUHKEDT A	ULV A	UFS A
TKC A	Comillas A	Stanford F	Imperial A
UMacau A	BFSU A	D U A	Waseda B
BUET B	Nagoya A	St Andrews B	UT MARA C
Tec CEM B	LLC A	ITB A	MQU B
RRIS B	Tokyo B	CDS A	Middlebury B
NWU-PUKKE A	Technion A	DKWien C	UoG A
IDC A	UCL C	Amherst A	Otago B
Tampere A	UoB A	SdDUP A	MEDUNSA A
Sheff B	SIM A	Berlin A	Warsaw A
UFH A	A U A	UChicago B	Keio B
HWS A	Clemson C	Warsaw C	HKUST EDT A
Krakow A	GODS A	Point Loma A	Nazarbayev B
BRIS A	FDU B	Nazarbayev A	ASDV A
FDU A	ZUD A	A U B	Rosario B
DAE A	UoN A	SUFE A	UdeS A
DCGA A	SolBridge A	E.D.S B	PUCP A
CUPB A	KHDS A	STIPRam A	OpenU A
BIPEDS A	Tilbury B	Titech A	UWI MONA A
HKCityU A	Tilbury A	arts A	Tec CEM A
CardiffUni A	UCD LnH A	HKUST EDT B	Utrecht A
CMUQ A	UTECH A	SDU A	GSU A
KSAL A	LLA A	BOGUN A	UTECH B
DEREE A	SNUDA A	OCAD A	Keio A
Kiel A	UWI MONA B	NorthwestU A	ECP A
Aalto A	PCU A	Hit-u B	WCM A
MDS B	TAMUQ A	Singidunum A	DCB A
Waseda A	SKT B	UCV B	KU Nepal A
NUIG B	WCM B	FCC A	MSU BD A
Sheff A	U.LISBON A	Tokai A	UCO A
Kyoto B	GSU B	UFV A	UCV A
Hit-u A	WCM C	Kyushu A	Swing A
Tribhuvan A	NUDT A	UMB A	Tec CEM C
