Harvard A	Durham A	UT MARA A	Tel Aviv A
Bates A	UCD LawSoc A	USU E	Oxford A
MQU A	Melbourne B	USU C	UQDS B
McGill A	Yale B	St Andrews A	IITB A
Yale A	AKL A	UWADU A	IIUM A
Cambridge B	Oxford C	Penn A	Stanford A
Cornell B	ANU B	Brown A	ANU A
Cambridge A	USU B	Harvard C	Oxford B
QDU A	LSE B	IIUM B	GUU A
Melbourne A	UCL B	Oxford D	USU A
Duke A	Swarthmore B	Yale D	TCWM A
UCL A	NEU A	Vermont B	UQDS C
USDV A	LSE A	Taylor's A	Alaska B
Brandeis A	Hart House A	GWU A	Vermont A
KCL A	USU D	Hopkins A	Bates B
LEIDEN C	QDU B	IUT A	BPP A
BBU A	GUU B	BLCU A	LEIDEN B
Tel Aviv B	MAD D	SUFE B	ASAFA A
MAD A	Melbourne C	Alaska A	Belgrade A
Team 399	Princeton C	Hawaii A	TCD Hist A
Ateneo A	Indonesia C	Carleton A	Swarthmore A
Duke B	Belgrade C	BINUS A	IIUM C
BFSU A	Sodales A	APU A	DKWien B
UWODS A	Cambridge D	UQDS A	Harvard B
Stanford D	NLSIU A	UT Sydney A	Stanford B
Belgrade B	QUTDS A	VUW A	URDU A
LEIDEN A	UBC B	Cambridge C	YNC A
USU F	Edinburgh A	UWADU B	DRUMS A
CDS B	Swarthmore C	UVic A	YUU A
CUNY A	UCT A	HSE A	Indonesia A
TCD Phil B	FDS A	SKT A	HUJI A
Berkeley A	Malaya A	Tokyo B	UADS A
Lund A	DKWien A	Morehouse B	Princeton A
McGill B	Otago A	TCD Hist B	PEP A
WDU A	Princeton B	Brandeis B	Clemson B
Amherst B	Stanford C	MAD C	McGill C
LSE C	GWU B	UBC A	ANU C
HUJI B	Rosario A	SWORDS A	Cornell A
ULV A	USDV B	Berlin B	DRUMS B
TDS B	BGU A	TDS A	Bates C
Cornell D	BBU B	SMU A	CUHKEDT A
E.D.S A	Waseda B	Tec CEM B	WSDU A
Cornell C	UNSW B	UoG A	IBA DU A
UNSW A	NUS A	DC Ms A	CDS A
BINUS B	Yale C	UCC Phil A	Hart House C
EDS UGM A	IDC A	UCD LawSoc B	Hart House B
Imperial A	AUDS A	Warwick A	TCD Phil A
RRIS A	MAD B	Kyoto A	NTU A
UT MARA B	IPB A	Vermont C	UCT B
Inner A	EDS UGM B	Stanford E	Bauman A
SIM A	Tokyo A	DCGA A	NSU A
STIPRam A	St Andrews C	BDS A	HKU A
Morehouse A	Keio B	Stockholm A	Middlebury A
UFS A	TUCN A	NWU-PUKKE A	KOREA A
Nazarbayev B	BUET B	ZUD A	SMU B
FDS B	Durham B	Bard A	Koç A
NEU B	HKUST EDT A	Brown B	Comillas A
LLC A	Aberdeen A	DLSU A	Warsaw B
VUW B	NYU LY A	TAMUQ A	Alaska C
SUFE A	Lund B	CardiffUni A	Nagoya A
UAM A	Middlebury B	ASAFA B	HKU B
HWS B	UChicago B	DCBayreuth A	UChicago C
UoB A	Bates D	UCL C	Stanford F
SolBridge A	UChicago A	UMacau A	Tilbury B
D U A	TKC A	Tec CEM A	KSAL A
KU Nepal A	USMA A	NUIG A	St Andrews B
SdDUP A	ITB A	KHDS A	Brawijaya A
MDS A	ULV B	MDU A	Tilbury A
Otago B	RRIS B	LEIDEN D	IBA DU B
BGU B	Tampere A	UWI MONA A	Berlin C
UdeM A	arts A	OpenU A	DKWien C
Indonesia B	Warsaw C	A U A	BUET A
ECP A	BRIS A	Sheff B	Durham C
FDU B	HWS A	Zagreb A	MDS B
NorthwestU A	wdebating A	Clemson A	Berlin A
Amherst A	Kiel A	BIPEDS A	UoN A
DCB A	E.D.S B	Clemson C	UFV A
MQU B	UCV A	GSU A	UFH A
PUCP A	Utrecht A	CUPB A	SNUDA A
Titech A	BOGUN A	HKCityU A	NUIG B
Nazarbayev A	FDU A	Krakow A	WSDU B
Technion A	CMUQ A	PCU A	UCD LnH A
UT MARA C	WCM A	DAE A	Point Loma A
ASDV A	Keio A	NUDT A	SKT B
Rosario B	Sheff A	McGill D	UCV B
GODS A	SDU A	Aalto A	UWI MONA B
Singidunum A	UCO A	GSU B	A U B
UTECH B	Warsaw A	UdeS A	HKUST EDT B
LLA A	Hit-u A	Tribhuvan A	UTECH A
Swing A	FCC A	Waseda A	Tokai A
U.LISBON A	MEDUNSA A	Hit-u B	OCAD A
Kyoto B	DEREE A	Tec CEM C	WCM B
UMB A	Kyushu A	WCM C	MSU BD A
