Harvard C	UT MARA A	GUU A	Oxford A
UQDS B	Harvard B	Yale B	USU C
Brown A	Yale D	Bates A	Vermont A
HUJI A	IITB A	URDU A	UT Sydney A
Durham A	Oxford B	Cambridge A	AKL A
LSE B	Cambridge B	Belgrade A	Melbourne A
USU A	Tel Aviv A	NLSIU A	USU D
Cambridge D	Harvard A	USU B	UWADU A
Oxford C	IIUM B	Hart House A	USU E
Duke A	Yale A	Stanford B	VUW A
UCD LawSoc A	UWODS A	MAD A	Alaska B
TCD Hist A	KCL A	Stanford A	ANU A
IUT A	UQDS C	Princeton C	Cambridge C
IIUM A	Hopkins A	Brandeis A	UCL B
Otago A	LSE A	Clemson B	Hart House B
Tel Aviv B	UQDS A	Ateneo A	TCWM A
Princeton B	Taylor's A	QUTDS A	LEIDEN B
SUFE B	Swarthmore B	GWU B	LEIDEN C
YUU A	QDU A	Indonesia C	Indonesia A
Oxford D	Morehouse B	YNC A	APU A
PEP A	NUS A	Melbourne C	Penn A
UADS A	Warwick A	BINUS A	UCT A
USU F	Yale C	QDU B	Princeton A
Vermont B	UNSW B	LEIDEN A	Melbourne B
NTU A	UCL A	SWORDS A	Team 399
IBA DU A	Swarthmore A	BBU A	BINUS B
MQU A	Bates C	Bates B	McGill A
Otago B	Alaska A	MAD C	RRIS A
Swarthmore C	USDV B	Cornell B	DC Ms A
SKT A	GWU A	DRUMS A	Durham B
Stanford E	Belgrade B	Tokyo A	Stanford D
ASAFA A	Carleton A	Malaya A	DRUMS B
Vermont C	IIUM C	TCD Hist B	MAD B
FDS B	BPP A	UVic A	McGill B
Belgrade C	Hawaii A	Lund A	ANU B
Berlin C	TDS A	UCT B	Brown B
HKU A	Stanford C	Cornell A	Hart House C
UNSW A	MDU A	FDS A	E.D.S A
AUDS A	WDU A	UBC B	BLCU A
St Andrews A	CUNY A	NEU A	UCD LawSoc B
SMU A	Middlebury A	USDV A	DKWien B
UBC A	UWADU B	McGill C	Tilbury A
GUU B	UoB A	Imperial A	TCD Phil B
HSE A	Alaska C	NSU A	DKWien A
Waseda B	Lund B	EDS UGM A	St Andrews C
ULV A	LSE C	NEU B	UCC Phil A
UChicago A	BGU B	MAD D	OpenU A
CDS A	Bard A	CUHKEDT A	Edinburgh A
Keio B	SMU B	Aberdeen A	Durham C
Cornell C	KOREA A	Bauman A	CDS B
Sodales A	Middlebury B	Berkeley A	IBA DU B
RRIS B	UChicago C	Brandeis B	ITB A
Duke B	IPB A	HUJI B	Tokyo B
Nagoya A	Bates D	TDS B	Rosario A
ANU C	DLSU A	UoG A	WSDU A
ZUD A	TCD Phil A	DCGA A	BFSU A
Amherst B	DKWien C	EDS UGM B	UMacau A
St Andrews B	UFS A	Berlin B	Koç A
Comillas A	D U A	BGU A	BIPEDS A
MDS A	HWS B	HKU B	IDC A
UCD LnH A	VUW B	Tampere A	BDS A
Sheff B	Cornell D	BUET A	FDU B
Nazarbayev A	ASAFA B	Kyoto A	Morehouse A
SUFE A	UWI MONA A	Kiel A	GSU A
UdeM A	Stanford F	Tec CEM A	Krakow A
Tilbury B	Warsaw B	TUCN A	E.D.S B
SolBridge A	Brawijaya A	A U B	NYU LY A
Point Loma A	BRIS A	Titech A	HWS A
UChicago B	Stockholm A	BBU B	Warsaw C
NorthwestU A	Tec CEM B	SIM A	UT MARA B
STIPRam A	NUIG A	Nazarbayev B	Technion A
LEIDEN D	Utrecht A	Sheff A	Inner A
HKUST EDT A	Clemson A	Indonesia B	ULV B
Keio A	Aalto A	BUET B	FDU A
BOGUN A	UTECH B	DCBayreuth A	MDS B
CardiffUni A	NWU-PUKKE A	SNUDA A	arts A
DCB A	ECP A	LLC A	UdeS A
wdebating A	Amherst A	McGill D	UFH A
TAMUQ A	KU Nepal A	UCL C	WCM A
SdDUP A	UAM A	PCU A	TKC A
HKCityU A	Swing A	Berlin A	Singidunum A
A U A	KHDS A	UFV A	Zagreb A
SKT B	CMUQ A	UT MARA C	Hit-u B
Rosario B	USMA A	WSDU B	UoN A
CUPB A	SDU A	KSAL A	MQU B
UCV A	Kyoto B	Warsaw A	PUCP A
GODS A	DEREE A	DAE A	GSU B
UCV B	NUIG B	Hit-u A	Waseda A
UTECH A	ASDV A	MEDUNSA A	Clemson C
UWI MONA B	HKUST EDT B	OCAD A	NUDT A
FCC A	LLA A	UCO A	U.LISBON A
Kyushu A	Tec CEM C	Tribhuvan A	WCM C
UMB A	MSU BD A	WCM B	Tokai A
