ENL	ESL	EFL	Team	Team Points	Speaker Points	#1	#2	#3	#4	#5	#6	#7	#8	#9
1			Oxford B	22	1493	3	3	3	3	0	3	2	3	2
2			UT MARA A	22	1492	3	2	2	3	3	2	2	2	3
3			AKL A	22	1480	3	3	3	2	2	3	0	3	3
4			Oxford A	21	1496	3	3	3	2	1	1	3	3	2
5			Oxford C	21	1492	3	3	2	3	3	1	0	3	3
6			Harvard A	21	1487	3	2	1	3	3	2	3	1	3
7			Cambridge A	21	1477	3	3	3	3	3	2	3	0	1
8			Hart House A	20	1485	3	3	2	3	0	2	2	3	2
9			Durham A	20	1483	3	3	1	3	2	3	2	3	0
10			Yale A	20	1481	3	2	3	3	1	3	1	1	3
10			USU B	20	1481	3	3	1	1	3	3	3	1	2
12			GUU A	20	1464	3	2	3	1	2	2	3	3	1
13			Cambridge B	20	1463	2	3	2	2	1	2	3	2	3
14			Melbourne A	20	1444	2	2	3	1	2	2	3	3	2
15	1		Tel Aviv A	20	1442	2	3	0	3	3	3	3	0	3
16			Harvard C	19	1483	2	3	3	3	2	1	3	2	0
17			USU A	19	1482	1	3	3	3	2	2	1	2	2
18	2		IIUM A	19	1464	2	3	3	0	2	3	3	0	3
19			Bates A	19	1461	3	2	2	2	3	3	1	0	3
20	3		IIUM B	19	1454	3	1	2	3	3	3	1	2	1
20			UWADU A	19	1454	0	3	2	3	3	2	3	2	1
22			USU C	19	1453	3	2	1	3	0	3	2	2	3
23			UQDS C	19	1448	2	3	1	3	1	2	1	3	3
24			UCD LawSoc A	19	1447	3	3	1	3	3	0	2	1	3
25			Duke A	19	1424	2	3	1	0	3	3	2	3	2
26			Cambridge D	18	1463	3	3	3	0	3	2	1	3	0
27			USU E	18	1452	3	2	3	2	1	3	2	2	0
28			USU D	18	1451	3	3	1	1	3	2	1	3	1
29			UQDS B	18	1449	3	2	3	1	0	2	3	3	1
29			MAD A	18	1449	3	2	3	1	1	3	1	2	2
31			USU F	18	1448	3	3	0	3	0	0	3	3	3
32			Yale B	18	1447	3	0	3	2	1	1	3	3	2
32			LSE B	18	1447	3	1	3	3	3	0	3	1	1
34			Ateneo A	18	1443	3	1	2	2	2	3	0	2	3
35			Brown A	18	1441	1	3	3	2	2	1	1	3	2
36			Stanford A	18	1440	2	2	1	3	1	2	3	1	3
37			Penn A	18	1438	3	1	3	2	1	2	3	0	3
38			QDU A	18	1432	1	2	3	2	3	3	2	0	2
39			Brandeis A	18	1429	1	2	2	3	2	3	2	1	2
40			QUTDS A	18	1428	1	3	2	2	1	1	3	2	3
41			Princeton C	18	1424	1	3	1	2	3	0	3	3	2
42			IITB A	18	1423	0	3	3	3	0	2	2	2	3
43	4		LEIDEN A	18	1407	1	1	3	2	1	2	3	2	3
44	5		YUU A	18	1398	3	1	0	1	2	2	3	3	3
45			NLSIU A	17	1453	3	3	3	1	2	1	1	3	0
45			Stanford B	17	1453	1	3	3	3	2	0	2	2	1
47			LSE A	17	1444	2	3	2	2	3	1	0	1	3
47			ANU A	17	1444	2	3	1	1	3	1	2	2	2
49	6		LEIDEN C	17	1443	2	3	3	0	2	3	0	1	3
49			Indonesia C	17	1443	3	1	2	3	1	2	1	3	1
51			Yale D	17	1441	2	3	2	3	1	0	3	2	1
52	7		LEIDEN B	17	1440	2	3	2	2	2	1	0	3	2
53			UCL B	17	1439	3	2	3	2	0	3	2	1	1
54			Vermont B	17	1437	3	3	2	2	0	1	2	2	2
55			Cornell B	17	1434	2	3	3	0	3	1	1	1	3
55			VUW A	17	1434	1	3	3	1	2	2	2	3	0
55			Harvard B	17	1434	1	2	3	3	3	0	3	2	0
58			GWU A	17	1429	3	2	2	3	1	0	3	0	3
59	8		Belgrade A	17	1425	2	1	2	2	1	3	3	3	0
60			Cambridge C	17	1424	3	3	1	0	1	3	2	3	1
61	9		Tel Aviv B	17	1423	3	3	1	0	3	0	2	3	2
61			QDU B	17	1423	1	2	2	0	3	2	3	2	2
61			Oxford D	17	1423	2	2	1	3	3	1	3	0	2
64			UCT A	17	1419	2	2	3	2	3	0	0	2	3
65			UCL A	17	1414	3	1	2	1	3	1	2	1	3
65			Melbourne C	17	1414	1	1	2	2	3	2	3	1	2
65			UWODS A	17	1414	2	2	3	3	0	2	3	1	1
68	10		HUJI A	17	1413	2	2	2	1	2	1	2	3	2
68			Alaska A	17	1413	2	2	1	1	2	3	3	0	3
70			McGill A	17	1406	0	3	3	1	0	3	3	1	3
71	11		BBU A	17	1405	0	3	2	1	3	0	3	2	3
72	12		APU A	17	1386	2	1	1	1	0	3	3	3	3
73			NEU A	16	1441	3	2	3	2	1	2	0	0	3
74	13		Belgrade B	16	1440	3	3	2	1	2	1	1	0	3
75			KCL A	16	1437	2	3	1	3	0	2	3	1	1
76			Princeton A	16	1434	1	3	3	0	3	0	2	3	1
77			Melbourne B	16	1429	3	2	0	2	3	3	1	1	1
78			Vermont A	16	1428	3	1	3	0	2	3	2	2	0
79			Swarthmore A	16	1423	1	3	3	2	2	0	2	1	2
80			Hawaii A	16	1422	0	1	1	3	3	2	3	0	3
80			URDU A	16	1422	1	3	2	2	3	3	0	1	1
82			Hopkins A	16	1421	3	0	3	2	2	1	3	2	0
83			DRUMS A	16	1414	2	1	3	3	2	1	0	2	2
84			TDS A	16	1413	2	0	3	3	0	1	2	2	3
84			BPP A	16	1413	1	3	3	1	1	1	3	0	3
86	14		IUT A	16	1412	3	0	2	3	3	0	2	3	0
87	15	1	PEP A	16	1411	3	1	2	2	1	2	1	3	1
88			Alaska B	16	1410	2	1	3	3	1	3	0	3	0
89			Bates C	16	1407	3	1	0	2	1	3	1	3	2
90			UQDS A	16	1406	3	0	3	3	0	3	3	0	1
91	16	2	BINUS A	16	1405	2	1	1	3	2	1	1	3	2
92			Princeton B	16	1404	2	1	1	3	0	3	2	3	1
93			Stanford C	16	1401	3	0	3	1	1	1	2	2	3
94			Clemson B	16	1400	1	2	2	1	2	1	3	2	2
95			SMU A	16	1398	2	1	3	1	1	1	1	3	3
96			E.D.S A	16	1397	3	1	3	0	0	1	2	3	3
97			USDV B	16	1391	2	2	0	3	3	1	0	3	2
97			GWU B	16	1391	0	2	2	2	2	0	3	3	2
99			WDU A	16	1387	3	1	3	0	2	3	0	1	3
99			SWORDS A	16	1387	1	3	2	0	3	1	1	3	2
101			ASAFA A	16	1377	1	3	0	3	0	3	2	1	3
102			TCWM A	15	1445	3	2	1	2	1	3	2	1	0
