YALE B	STANFORD G	HARVARD A	OSAKA A
UADS B	VIENNA C	WARWICK A	PRINCETON A
TEL AVIV A	COMILLAS A	ULV A	DUKE C
USU B	KHNUE A	VERMONT A	CAMBRIDGE A
VIC A	STANFORD A	BELGRADE B	BROWN A
IBA-DU A	LMU A	MIDDLEBURY C	LSE B
GUU A	USU C	DLSU A	UVIC A
SWARTHMORE B	DARTMOUTH A	HAWAII A	OXFORD A
HARVARD C	OXFORD B	UWI MONA B	HOPKINS A
UOFK A	PRINCETON B	WATERLOO A	IIUM A
UCC PHIL B	UNSW B	YOGYAKARTA A	DURHAM A
YALE A	ANU A	IIUM B	TEC CEM B
USFQ A	CAMBRIDGE C	ATENEO A	CAMBRIDGE B
YALE D	DUKE A	USU A	CAPE TOWN C
UCC PHIL A	UNAL B	CAPE TOWN B	MALAYA A
UWI MONA A	USFQ B	VERMONT C	YALE E
RRIS A	TEC CEM A	UNSW A	STANFORD F
BINUS A	UBA A	UWA A	ROSARIO B
USU D	STANFORD E	KINDAI A	UFH A
BELGRADE A	CANTERBURY A	NUIG A	UQ A
TEL AVIV B	LMU B	UWO A	UCV B
CORNELL A	STANFORD C	BATES A	YALE C
LSE A	UNSW C	HKUST A	CARLETON B
ALASKA A	HARVARD B	SNU A	UMAC A
ROSARIO C	HSE A	VIENNA D	MONTREAL A
TCD PHIL A	HWS A	CORNELL C	MDU A
MONASH A	BATES D	UFM A	BRANDEIS Z
IBERO LEON A	UDES A	HEBREW A	AU A
WSDU A	SWARTHMORE A	OXFORD D	UTECH JAMAICA A
LAVAL A	INDONESIA C	HAWAII B	CORRIENTE A
SNU B	BUDS A	TSINGHUA B	ITESM MRL A
CAU A	MIDDLEBURY B	WILLIAM & MARY A	EDINBURGH A
QDU A	SOLBRIDGE A	NU A	UOW A
HART HOUSE C	UBC B	ROCHESTER A	UCD L&H A
TEL AVIV C	UFMG A	OXFORD C	HART HOUSE A
BARD A	ITS A	UNPAD A	ROSARIO A
UFRJ A	QUT A	HARVARD D	OPENU A
CMUQ A	PRINCETON D	CARLETON A	MOREHOUSE C
UCLA A	CHITTAGONG A	UTS A	SUFE A
MOREHOUSE A	TCD HIST B	OSAKA B	GUU B
NWU-PUKKE A	CHICAGO C	CAPE TOWN A	PENN A
ULV C	GW B	BATES C	NORTHWESTU B
DALHOUSIE A	TUFTS A	KATHMANDU A	CAMBRIDGE D
PENN B	COLGATE AF	CUPB A	MCGILL A
LIBRE A	INDONESIA D	LINFIELD B	MUNICH A
MACQUARIE A	BATES B	BROWN B	UCD LAW A
TSINGHUA A	HWS B	FORDHAM B	BERLIN A
BIRMINGHAM A	TCD HIST A	UBC A	MONASH C
ITAM A	UCV A	ALASKA B	ANU B
CHICAGO B	GUU C	AU B	NU B
DURHAM B	BEIHANG A	INDONESIA A	AUCKLAND A
UVA A	WCM A	BERKELEY B	STANFORD D
KOREA A	ROCHESTER C	UGM A	WHEATON B
WSDU C	DLSU B	STANFORD B	UFS A
UTECH JAMAICA B	BEIHANG C	WSDU B	NUS A
MONTREAL B	COLGATE CG	VIENNA A	BERKELEY A
COMILLAS B	MCGILL C	PRINCETON C	ALASKA C
INDONESIA B	QDU B	FORDHAM A	UVA B
STANFORD I	ST ANDREWS B	MONASH B	HSU B
GW A	WHEATON A	COLGATE SM	UADS A
UCL A	SUFE B	HELSINKI A	SPLIT A
SWARTHMORE C	KINGS A	ITHACA A	AMHERST A
TCD PHIL B	UT MARA A	CANTERBURY B	CUNY A
ST ANDREWS A	LIBRE B	WCM B	GUELPH A
ROCHESTER B	MOREHOUSE B	UNIVERSITY X	BRANDEIS X
VASSAR A	DENVER A	CHICAGO A	TU A
UQ B	CORNELL D	CORNELL B	KOC A
LINFIELD A	ULV B	HART HOUSE B	DUKE B
PORTO A	UTECH JAMAICA C	TEL AVIV D	WITS A
CUPB B	EDINBURGH B	UG A	LUC A
UNAM FESC A	DAV A	ITAM B	BEIHANG B
BRAWIJAYA A	UNMALANG A	KNEU A	KYOTO A
WATSON A	BIPEDS A	HSU A	MCGILL B
UNIANDES A	MIDDLEBURY A	UNAL A	MCGILL D
STANFORD H	DARTMOUTH B	QDU C	TEC CEM C
TEC CSF A	F&M A	MSU A	NORTHWESTU A
VIENNA B	COLGATE MS	WILLAMETTE A	UDLAP A
UOW B	KYUSHU A	INNER TEMPLE A	VERMONT B
