ALASKA B	CHICAGO A	WITS A	HARVARD A
LUC A	PRINCETON A	CARLETON B	F&M A
TCD HIST A	USU B	USU D	UVA A
CUNY A	HART HOUSE B	MONASH A	TEL AVIV A
EDINBURGH B	EDINBURGH A	AUCKLAND A	STANFORD A
OXFORD A	DURHAM A	YALE E	SWARTHMORE C
CAPE TOWN A	HEBREW A	HARVARD B	OXFORD B
QUT A	QDU C	CHICAGO C	USU C
STANFORD D	BINUS A	AU A	IBA-DU A
VIENNA A	IIUM A	TUFTS A	WILLAMETTE A
BROWN A	UNIVERSITY X	CAMBRIDGE C	YALE A
MALAYA A	TEL AVIV B	VIENNA B	UNSW C
USU A	TCD PHIL A	SNU B	ITAM B
GUU B	CAMBRIDGE A	BRANDEIS Z	ATENEO A
UNSW A	UGM A	NUS A	BROWN B
BERLIN A	UTS A	DARTMOUTH B	UWA A
MDU A	DLSU A	BUDS A	CORNELL B
YALE C	PENN B	YALE B	KINGS A
DARTMOUTH A	UMAC A	BELGRADE A	UBA A
MUNICH A	PRINCETON C	CORRIENTE A	YALE D
MCGILL A	STANFORD B	ANU A	MSU A
MIDDLEBURY A	BARD A	MOREHOUSE A	STANFORD C
DLSU B	MONTREAL A	KOC A	ITAM A
TEC CEM A	UTECH JAMAICA B	VIC A	BATES C
MIDDLEBURY B	OPENU A	UNMALANG A	OXFORD D
COLGATE AF	UNIANDES A	LSE A	TCD HIST B
SWARTHMORE A	UCD L&H A	SOLBRIDGE A	GW A
OXFORD C	HARVARD D	ST ANDREWS B	WARWICK A
GW B	BRANDEIS X	CAMBRIDGE B	ST ANDREWS A
HART HOUSE A	UCLA A	HART HOUSE C	HARVARD C
COLGATE MS	HOPKINS A	LMU A	INDONESIA A
BEIHANG B	WILLIAM & MARY A	LSE B	CAPE TOWN B
MCGILL D	DURHAM B	NU B	CARLETON A
STANFORD E	ROSARIO A	BRAWIJAYA A	INDONESIA D
LMU B	TEL AVIV C	DALHOUSIE A	VIENNA D
COMILLAS A	STANFORD H	SUFE A	STANFORD I
GUU C	UWI MONA A	CORNELL A	HWS B
COLGATE SM	BIRMINGHAM A	QDU A	DAV A
CORNELL C	WATERLOO A	VIENNA C	UQ B
UCD LAW A	GUU A	VERMONT B	TSINGHUA B
UQ A	MCGILL B	QDU B	KNEU A
HSE A	AU B	CAMBRIDGE D	PRINCETON B
MCGILL C	UCL A	GUELPH A	UWO A
VERMONT C	ALASKA A	ULV B	CANTERBURY A
UVA B	FORDHAM B	MACQUARIE A	IIUM B
DUKE B	ROCHESTER A	MOREHOUSE C	WATSON A
BERKELEY B	UFS A	DENVER A	STANFORD G
PENN A	NORTHWESTU B	STANFORD F	VERMONT A
TU A	IBERO LEON A	UNAM FESC A	UADS B
YOGYAKARTA A	UWI MONA B	ROSARIO B	KYUSHU A
UTECH JAMAICA A	USFQ A	BATES D	BATES B
HSU B	UCV B	NWU-PUKKE A	COMILLAS B
BERKELEY A	UOW B	PRINCETON D	HELSINKI A
UOW A	INNER TEMPLE A	SWARTHMORE B	WSDU A
UTECH JAMAICA C	UADS A	TCD PHIL B	INDONESIA C
DUKE A	UCC PHIL B	AMHERST A	INDONESIA B
LIBRE B	BATES A	UNAL B	ROCHESTER C
TEL AVIV D	KINDAI A	ALASKA C	UDES A
BELGRADE B	ITESM MRL A	HWS A	HKUST A
MONASH B	UBC A	UNSW B	MOREHOUSE B
COLGATE CG	LAVAL A	ITS A	UFM A
ANU B	WSDU B	LIBRE A	UCC PHIL A
WHEATON A	HAWAII A	CHICAGO B	FORDHAM A
TEC CEM B	LINFIELD A	KYOTO A	NU A
DUKE C	HSU A	VASSAR A	KOREA A
UG A	NORTHWESTU A	SUFE B	UT MARA A
ULV A	UOFK A	CUPB B	CORNELL D
UBC B	WCM B	ROSARIO C	UFRJ A
UNAL A	CAU A	RRIS A	ROCHESTER B
UDLAP A	CUPB A	BEIHANG A	TSINGHUA A
MIDDLEBURY C	CAPE TOWN C	ULV C	TEC CSF A
BEIHANG C	OSAKA B	BIPEDS A	WCM A
ITHACA A	CANTERBURY B	PORTO A	MONTREAL B
UCV A	WHEATON B	UFMG A	USFQ B
SPLIT A	HAWAII B	MONASH C	SNU A
TEC CEM C	UFH A	CHITTAGONG A	KHNUE A
NUIG A	UVIC A	OSAKA A	CMUQ A
UNPAD A	WSDU C	LINFIELD B	KATHMANDU A
