HARVARD A	HELSINKI A	USU C	MDU A
PRINCETON A	GW A	MIDDLEBURY A	ALASKA A
ANU A	TEL AVIV A	MUNICH A	HARVARD B
UCD L&H A	BROWN B	EDINBURGH A	USU B
UGM A	BERKELEY B	STANFORD A	HART HOUSE C
CAMBRIDGE B	OXFORD A	BERLIN A	OXFORD C
HARVARD D	UOW A	IBA-DU A	HSE A
LSE B	CORNELL A	OXFORD B	BRAWIJAYA A
IIUM A	IIUM B	USFQ B	GUU A
DURHAM A	ST ANDREWS A	DURHAM B	STANFORD E
CARLETON A	CARLETON B	YALE A	UOW B
CAMBRIDGE A	USU D	MCGILL B	UNSW A
VERMONT A	SWARTHMORE B	TCD HIST B	USU A
QDU B	MALAYA A	CUNY A	MOREHOUSE A
CAMBRIDGE C	GUELPH A	UQ B	UNIANDES A
UWO A	YALE E	YALE D	CORNELL C
PRINCETON B	UQ A	STANFORD C	TEL AVIV B
WITS A	HART HOUSE A	UWA A	VIENNA A
HART HOUSE B	VIC A	YALE C	UCL A
TUFTS A	YALE B	INDONESIA B	ST ANDREWS B
BRANDEIS X	UG A	UBC B	BELGRADE A
DLSU A	NUIG A	KHNUE A	INNER TEMPLE A
HEBREW A	VASSAR A	MONTREAL A	BUDS A
UNSW B	TCD PHIL B	TCD PHIL A	MACQUARIE A
OXFORD D	MCGILL A	TCD HIST A	WILLIAM & MARY A
QDU C	VIENNA D	KOREA A	MONASH A
CORNELL D	BEIHANG B	DLSU B	LSE A
UMAC A	LUC A	NORTHWESTU A	UCV A
STANFORD B	KOC A	UNSW C	SOLBRIDGE A
CAPE TOWN B	CORRIENTE A	BERKELEY A	EDINBURGH B
CANTERBURY B	SWARTHMORE C	HARVARD C	PRINCETON C
HOPKINS A	KNEU A	ROSARIO A	OSAKA B
UT MARA A	CORNELL B	TEL AVIV C	QUT A
ATENEO A	QDU A	STANFORD I	ROCHESTER A
UADS A	NU B	BROWN A	PRINCETON D
SUFE A	KATHMANDU A	STANFORD G	BELGRADE B
AU B	UCC PHIL A	STANFORD D	PENN B
UBC A	ALASKA C	DARTMOUTH A	GW B
HAWAII B	DUKE B	SWARTHMORE A	BARD A
BRANDEIS Z	CAPE TOWN A	DUKE A	BIRMINGHAM A
ROCHESTER C	NU A	COMILLAS A	DENVER A
FORDHAM B	UNPAD A	GUU B	MIDDLEBURY C
HSU A	UCD LAW A	UFH A	LAVAL A
INDONESIA A	VERMONT B	UADS B	TEL AVIV D
CUPB A	NUS A	GUU C	NWU-PUKKE A
CAPE TOWN C	ALASKA B	MCGILL C	TEC CEM A
HWS A	PENN A	MIDDLEBURY B	CHICAGO B
WATERLOO A	CAMBRIDGE D	BATES B	BATES A
MOREHOUSE C	COLGATE SM	UFS A	COLGATE MS
ROSARIO B	ROCHESTER B	UVIC A	WCM B
CHICAGO A	VERMONT C	UVA B	ITS A
INDONESIA C	BATES C	DUKE C	UTS A
UWI MONA B	AU A	F&M A	SNU B
CANTERBURY A	WARWICK A	ANU B	VIENNA B
INDONESIA D	ULV A	UCLA A	UWI MONA A
MONASH C	ITAM B	BINUS A	LIBRE A
DARTMOUTH B	AUCKLAND A	MOREHOUSE B	CAU A
MSU A	UVA A	WSDU C	COLGATE CG
BEIHANG A	COMILLAS B	WSDU A	KINDAI A
WILLAMETTE A	CHICAGO C	AMHERST A	DALHOUSIE A
STANFORD F	MCGILL D	TU A	ITHACA A
WCM A	TEC CEM B	UTECH JAMAICA C	ULV B
OPENU A	MONASH B	ITAM A	STANFORD H
KINGS A	FORDHAM A	LIBRE B	UTECH JAMAICA B
HKUST A	SPLIT A	BATES D	HAWAII A
SUFE B	RRIS A	UCC PHIL B	YOGYAKARTA A
VIENNA C	UDLAP A	HWS B	LMU A
DAV A	TSINGHUA B	WATSON A	ULV C
WSDU B	ROSARIO C	UBA A	PORTO A
UNMALANG A	UNAM FESC A	COLGATE AF	BIPEDS A
NORTHWESTU B	UTECH JAMAICA A	LMU B	UNIVERSITY X
KYOTO A	UNAL A	TEC CEM C	IBERO LEON A
UCV B	TSINGHUA A	USFQ A	LINFIELD B
KYUSHU A	UFRJ A	ITESM MRL A	WHEATON A
UFMG A	UFM A	UDES A	LINFIELD A
WHEATON B	CMUQ A	MONTREAL B	UNAL B
OSAKA A	HSU B	UOFK A	CHITTAGONG A
SNU A	CUPB B	TEC CSF A	BEIHANG C
