EDINBURGH A	HARVARD A	TEL AVIV A	TEL AVIV B
STANFORD A	WITS A	PRINCETON A	UBC A
USU B	BERKELEY A	ALASKA A	STANFORD B
STANFORD C	CAMBRIDGE B	OXFORD A	HEBREW A
USU C	STANFORD D	UCD L&H A	SWARTHMORE A
OXFORD B	ATENEO A	ST ANDREWS A	HART HOUSE B
WARWICK A	IBA-DU A	UCC PHIL A	SWARTHMORE B
INNER TEMPLE A	ULV C	IIUM A	LIBRE B
YALE C	UNSW A	DURHAM A	MUNICH A
BUDS A	YALE A	QUT A	HARVARD D
CORRIENTE A	DUKE C	HOPKINS A	USU A
HARVARD B	OXFORD C	UQ A	CAMBRIDGE A
WILLIAM & MARY A	CARLETON A	BRANDEIS X	CAMBRIDGE C
KNEU A	OSAKA A	MALAYA A	FORDHAM B
YALE E	QDU A	HART HOUSE A	UGM A
UWA A	MACQUARIE A	UOW A	CHICAGO A
YALE D	CUNY A	MDU A	YALE B
NU A	ITS A	USU D	TCD HIST A
MONTREAL A	BELGRADE A	PENN A	NUIG A
UVIC A	GUU B	WCM A	DLSU A
UNSW C	CAPE TOWN B	MCGILL A	TCD PHIL A
CORNELL B	LSE A	ALASKA B	MIDDLEBURY A
BROWN B	BROWN A	GUU C	ANU A
CHICAGO C	MONASH A	EDINBURGH B	UWI MONA B
UMAC A	WSDU A	GUU A	DARTMOUTH B
BATES A	LSE B	UCD LAW A	VIC A
KOC A	OXFORD D	COLGATE CG	HSU A
UTS A	HARVARD C	UCL A	CORNELL A
SOLBRIDGE A	VERMONT A	INDONESIA C	VASSAR A
DENVER A	MONASH C	SWARTHMORE C	TEL AVIV C
ROSARIO A	STANFORD F	UADS A	VERMONT C
TCD HIST B	SUFE A	MONASH B	USFQ A
AU A	UADS B	PRINCETON B	TUFTS A
IIUM B	BRANDEIS Z	GW B	DURHAM B
ROCHESTER A	MOREHOUSE A	CORNELL D	CAPE TOWN A
NU B	CORNELL C	MCGILL D	BINUS A
CARLETON B	UQ B	DUKE B	UG A
GUELPH A	SNU B	COLGATE MS	COMILLAS A
FORDHAM A	SNU A	PENN B	VIENNA C
MCGILL B	MSU A	BATES B	QDU B
HELSINKI A	BERLIN A	UVA A	QDU C
NUS A	VIENNA A	KINGS A	TCD PHIL B
STANFORD E	UWO A	CAPE TOWN C	DARTMOUTH A
UFS A	INDONESIA A	HSE A	ULV A
F&M A	NWU-PUKKE A	TEC CEM A	CANTERBURY B
KHNUE A	ROSARIO B	UTECH JAMAICA A	MCGILL C
AU B	TEL AVIV D	GW A	HWS A
ST ANDREWS B	VIENNA B	BARD A	BERKELEY B
BATES C	HART HOUSE C	ALASKA C	RRIS A
CAMBRIDGE D	INDONESIA B	AUCKLAND A	WSDU B
STANFORD G	UVA B	WCM B	DUKE A
UFH A	LINFIELD A	INDONESIA D	UCC PHIL B
MOREHOUSE B	ITAM A	UOW B	UNSW B
NORTHWESTU A	MOREHOUSE C	BEIHANG B	BEIHANG A
VERMONT B	KOREA A	CANTERBURY A	UTECH JAMAICA C
ULV B	KYOTO A	TEC CEM B	PRINCETON C
VIENNA D	CHICAGO B	KYUSHU A	DLSU B
OSAKA B	WILLAMETTE A	BIRMINGHAM A	HAWAII B
HWS B	STANFORD I	UT MARA A	CUPB A
UNIVERSITY X	AMHERST A	UWI MONA A	MIDDLEBURY B
PRINCETON D	CMUQ A	HSU B	UBC B
USFQ B	TEC CEM C	COMILLAS B	WATERLOO A
LAVAL A	BELGRADE B	STANFORD H	CUPB B
LMU A	WATSON A	UTECH JAMAICA B	COLGATE SM
SWING B	PORTO A	UCV B	LMU B
UDES A	BRAWIJAYA A	ROCHESTER C	UNMALANG A
ITAM B	OPENU A	DAV A	WSDU C
HAWAII A	ANU B	CAU A	COLGATE AF
SPLIT A	DALHOUSIE A	NORTHWESTU B	WHEATON B
KINDAI A	LIBRE A	TSINGHUA A	SUFE B
BIPEDS A	MIDDLEBURY C	UFRJ A	ROSARIO C
KATHMANDU A	MONTREAL B	UDLAP A	UNAL A
UNAL B	SWING A	BEIHANG C	ITESM MRL A
UBA A	TU A	LUC A	UNPAD A
UNIANDES A	ITHACA A	ROCHESTER B	UFMG A
UFM A	HKUST A	UCV A	UOFK A
LINFIELD B	TEC CSF A	WHEATON A	TSINGHUA B
CHITTAGONG A	YOGYAKARTA A	IBERO LEON A	UNAM FESC A
