STANFORD B	YALE C	HARVARD A	YALE A
QDU C	PENN A	PRINCETON A	QDU A
DURHAM A	MACQUARIE A	TEL AVIV A	OXFORD A
TEL AVIV B	UWA A	USU B	ATENEO A
STANFORD A	USU A	CAMBRIDGE A	YALE B
IBA-DU A	UNSW B	UOW A	OXFORD C
ALASKA A	DURHAM B	OXFORD B	USU C
IIUM A	KOC A	UOW B	HARVARD B
BINUS A	MONASH A	STANFORD E	CAMBRIDGE C
KINGS A	CORNELL B	MALAYA A	CHICAGO C
NU A	CORNELL A	UNSW A	LSE A
BATES A	GW B	YALE E	HELSINKI A
AMHERST A	UCC PHIL A	UMAC A	USU D
MOREHOUSE C	HART HOUSE A	BELGRADE A	DUKE A
DLSU A	STANFORD I	UNSW C	ST ANDREWS B
CAPE TOWN B	YALE D	STANFORD C	UCD L&H A
TCD PHIL A	MDU A	ANU A	UADS B
BUDS A	VIENNA A	MONTREAL A	BARD A
UQ A	HEBREW A	HARVARD C	AU A
IIUM B	CAPE TOWN A	BERLIN A	VIC A
KOREA A	OXFORD D	OSAKA A	ITAM B
HARVARD D	QDU B	CAMBRIDGE B	EDINBURGH A
MIDDLEBURY A	GW A	UGM A	CORRIENTE A
HOPKINS A	INNER TEMPLE A	STANFORD G	CORNELL C
SWARTHMORE B	DENVER A	NWU-PUKKE A	SOLBRIDGE A
CAMBRIDGE D	BATES B	BROWN A	MSU A
F&M A	TUFTS A	QUT A	TEL AVIV C
ROSARIO A	AUCKLAND A	UWO A	WATERLOO A
KNEU A	NORTHWESTU B	CARLETON A	UG A
WCM B	VIENNA D	SUFE A	FORDHAM B
WITS A	MUNICH A	VASSAR A	BERKELEY A
SWARTHMORE C	GUU B	STANFORD F	BROWN B
GUU A	SWARTHMORE A	CHICAGO A	DARTMOUTH A
ROCHESTER C	UWI MONA A	WILLIAM & MARY A	PENN B
HART HOUSE C	INDONESIA D	PRINCETON B	CARLETON B
UCD LAW A	WCM A	NUS A	PRINCETON D
COMILLAS A	DLSU B	OPENU A	UWI MONA B
DUKE C	HART HOUSE B	MCGILL A	INDONESIA A
TCD HIST B	UQ B	ULV A	ALASKA B
CANTERBURY A	VERMONT C	TEL AVIV D	MOREHOUSE A
ALASKA C	TCD HIST A	STANFORD D	LSE B
UFS A	BRANDEIS X	UVA A	UBC A
SNU B	MOREHOUSE B	ROCHESTER A	UBC B
HWS B	NUIG A	LUC A	GUU C
ROSARIO B	BATES C	MCGILL D	UCV A
WARWICK A	CUNY A	INDONESIA C	ITAM A
UNMALANG A	ST ANDREWS A	UTS A	MONASH B
UVIC A	HAWAII B	HWS A	CHICAGO B
ULV B	BEIHANG B	UNIANDES A	UCL A
ITS A	PRINCETON C	VIENNA B	TCD PHIL B
NU B	RRIS A	BERKELEY B	BRAWIJAYA A
UVA B	UADS A	TEC CEM C	MONASH C
INDONESIA B	KINDAI A	COLGATE CG	UNIVERSITY X
EDINBURGH B	WSDU A	ANU B	MCGILL C
CANTERBURY B	ROSARIO C	ULV C	VERMONT A
HSE A	WATSON A	VERMONT B	BEIHANG A
BIRMINGHAM A	COLGATE MS	LAVAL A	USFQ B
DUKE B	WHEATON A	CMUQ A	HSU A
CAPE TOWN C	SNU A	UCC PHIL B	MCGILL B
CORNELL D	HAWAII A	BELGRADE B	AU B
UBA A	WILLAMETTE A	DARTMOUTH B	UTECH JAMAICA A
TU A	UDLAP A	CUPB A	UT MARA A
COLGATE SM	CAU A	HKUST A	MIDDLEBURY B
TSINGHUA A	LIBRE B	MIDDLEBURY C	TEC CEM A
UFM A	UDES A	ROCHESTER B	VIENNA C
HSU B	KHNUE A	SWING B	IBERO LEON A
MONTREAL B	COMILLAS B	DALHOUSIE A	SWING A
CHITTAGONG A	UFH A	LIBRE A	KYUSHU A
SUFE B	LMU A	KYOTO A	UOFK A
DAV A	UTECH JAMAICA B	SPLIT A	NORTHWESTU A
WSDU B	UTECH JAMAICA C	LINFIELD A	COLGATE AF
OSAKA B	LMU B	UNPAD A	USFQ A
UFMG A	BIPEDS A	TEC CEM B	STANFORD H
CUPB B	UNAM FESC A	KATHMANDU A	UCLA A
WSDU C	GUELPH A	FORDHAM A	TSINGHUA B
UNAL B	TEC CSF A	UNAL A	UCV B
UFRJ A	LINFIELD B	WHEATON B	ITHACA A
ITESM MRL A	YOGYAKARTA A	PORTO A	BEIHANG C
