DURHAM A	14	2,1,1,1	1
TEL AVIV A	14	1,1,2,1	1
TEL AVIV B	14	2,1,0,2	1
HARVARD A	13	1,1,2,1	1
OXFORD A	13	1,1,1,2	1
STANFORD A	13	2,1,1,1	1
UCD L&H A	13	1,1,1,2	1
USU B	13	2,1,1,1	1
EDINBURGH A	12	1,1,1,2	1
OXFORD B	12	1,1,2,1	1
OXFORD C	12	1,1,1,2	1
PRINCETON A	12	1,1,2,1	1
TCD PHIL A	12	2,1,1,1	1
UNSW A	12	1,1,2,1	1
USU A	12	1,1,1,2	1
YALE C	12	2,1,1,1	1
ANU A	11	1,1,2,1	1
BARD A	11	1,1,1,2	1
CORNELL A	11	1,2,1,1	1
GW A	11	1,2,1,1	1
HARVARD C	11	1,1,2,1	1
HARVARD D	11	2,1,1,1	1
IBA-DU A	11	2,1,1,1	1
INDONESIA A	11	1,1,1,2	1
MACQUARIE A	11	1,2,1,1	1
MONASH A	11	1,2,1,1	1
MUNICH A	11	1,1,1,2	1
PENN A	11	1,2,1,1	1
STANFORD C	11	1,1,2,1	1
SWARTHMORE C	11	2,1,1,1	1
UCC PHIL A	11	1,2,1,1	1
USU C	11	1,1,1,2	1
UWA A	11	1,1,2,1	1
VIC A	11	1,1,1,2	1
YALE A	11	1,1,1,2	1
YALE B	11	1,1,1,2	1
YALE D	11	2,1,1,1	1
ALASKA A	10	2,1,1,1	1
ATENEO A	10	1,1,1,2	1
BROWN A	10	1,1,2,1	1
BUDS A	10	2,1,1,1	1
CAMBRIDGE A	10	1,1,1,2	1
CAMBRIDGE B	10	1,1,2,1	1
CAMBRIDGE C	10	1,1,1,2	1
CAPE TOWN B	10	2,1,1,1	1
GUU B	10	1,2,1,1	1
HART HOUSE B	10	1,2,1,1	1
IIUM A	10	2,1,1,1	1
IIUM B	10	2,1,1,1	1
MALAYA A	10	1,1,2,1	1
MIDDLEBURY A	10	2,1,1,1	1
MOREHOUSE A	10	1,1,1,2	1
MOREHOUSE C	10	2,1,1,1	1
NU A	10	2,1,1,1	1
QDU C	10	2,1,1,1	1
STANFORD B	10	2,1,1,1	1
SWARTHMORE A	10	1,2,1,1	1
TCD HIST A	10	1,2,1,1	1
TEL AVIV C	10	1,1,1,2	1
UFS A	10	2,1,1,1	1
UNSW B	10	1,2,1,1	1
UNSW C	10	1,1,2,1	1
UQ A	10	2,1,1,1	1
USU D	10	1,1,2,1	1
UTS A	10	1,1,2,1	1
WARWICK A	10	2,1,1,1	1
WITS A	10	2,1,1,1	1
ALASKA B	9	1,1,2,1	1
ALASKA C	9	1,1,2,1	1
BERKELEY A	9	1,1,1,2	1
CAMBRIDGE D	9	2,1,1,1	1
CAPE TOWN A	9	1,2,1,1	1
CARLETON B	9	1,1,1,2	1
CORRIENTE A	9	1,1,1,2	1
CUNY A	9	1,2,1,1	1
DLSU A	9	2,1,1,1	1
DUKE C	9	2,1,1,1	1
DURHAM B	9	1,2,1,1	1
GUU A	9	2,1,1,1	1
GUU C	9	1,1,2,1	1
HART HOUSE A	9	1,2,1,1	1
HARVARD B	9	1,1,1,2	1
HEBREW A	9	1,2,1,1	1
HOPKINS A	9	2,1,1,1	1
HWS A	9	1,1,2,1	1
KINGS A	9	2,1,1,1	1
LSE A	9	1,1,1,2	1
MCGILL C	9	1,1,1,2	1
MDU A	9	1,1,1,2	1
MONASH B	9	1,1,2,1	1
MONTREAL A	9	1,1,2,1	1
OXFORD D	9	1,2,1,1	1
PENN B	9	1,1,1,2	1
PRINCETON C	9	0,2,1,2	1
QDU A	9	1,2,1,1	1
QDU B	9	1,2,1,1	1
QUT A	9	1,1,2,1	1
ROCHESTER A	9	1,1,2,1	1
SOLBRIDGE A	9	1,1,1,2	1
STANFORD F	9	1,1,2,1	1
TEL AVIV D	9	1,1,2,1	1
UADS B	9	1,1,1,2	1
UCL A	9	1,1,1,2	1
UMAC A	9	2,1,1,1	1
UOW A	9	1,1,2,1	1
UQ B	9	1,2,1,1	1
UVA A	9	1,1,2,1	1
UWO A	9	1,1,2,1	1
YALE E	9	1,1,2,1	1
ANU B	8	1,1,2,1	1
AU A	8	1,1,1,2	1
AUCKLAND A	8	0,2,2,1	1
BATES B	8	0,2,2,1	1
BERLIN A	8	1,1,2,1	1
BINUS A	8	2,1,1,1	1
BROWN B	8	1,1,1,2	1
CANTERBURY A	8	2,1,1,1	1
CARLETON A	8	1,1,2,1	1
COMILLAS A	8	2,1,1,1	1
CORNELL B	8	1,2,1,1	1
CORNELL C	8	1,1,1,2	1
CORNELL D	8	2,1,1,1	1
DARTMOUTH A	8	1,1,1,2	1
DUKE A	8	1,1,1,2	1
GW B	8	1,2,1,1	1
HWS B	8	2,1,1,1	1
INDONESIA B	8	2,1,1,1	1
ITAM A	8	1,1,1,2	1
ITAM B	8	1,1,1,2	1
KOC A	8	1,2,1,1	1
LSE B	8	1,1,1,2	1
MCGILL A	8	1,1,2,1	1
MCGILL B	8	1,1,1,2	1
MOREHOUSE B	8	1,2,1,1	1
NU B	8	2,1,1,1	1
NWU-PUKKE A	8	1,1,2,1	1
PRINCETON B	8	1,1,2,1	1
ST ANDREWS A	8	1,2,1,1	1
ST ANDREWS B	8	1,1,1,2	1
STANFORD E	8	2,1,1,1	1
TCD PHIL B	8	1,1,1,2	1
TUFTS A	8	1,2,1,1	1
UBC A	8	1,1,1,2	1
UCD LAW A	8	2,1,1,1	1
UGM A	8	1,1,2,1	1
UVA B	8	2,1,1,1	1
UVIC A	8	2,1,1,1	1
VASSAR A	8	1,1,2,1	1
VERMONT A	8	1,1,1,2	1
VERMONT B	8	1,1,2,1	1
VIENNA A	8	1,2,1,1	1
WILLAMETTE A	8	1,2,1,1	1
WILLIAM & MARY A	8	1,1,2,1	1
AMHERST A	7	1,1,2,1	1
BATES C	7	1,2,1,1	1
BEIHANG B	7	1,2,1,1	1
BELGRADE A	7	1,1,2,1	1
BELGRADE B	7	1,1,2,1	1
BERKELEY B	7	1,1,2,1	1
BIRMINGHAM A	7	2,1,1,1	1
BRANDEIS X	7	1,2,1,1	1
CAPE TOWN C	7	2,1,1,1	1
CHICAGO A	7	1,1,2,1	1
CHICAGO B	7	1,1,1,2	1
CHICAGO C	7	1,2,1,1	1
DENVER A	7	1,2,1,1	1
DUKE B	7	2,1,1,1	1
EDINBURGH B	7	2,1,1,1	1
F&M A	7	2,1,1,1	1
HART HOUSE C	7	2,1,1,1	1
HELSINKI A	7	1,1,1,2	1
HSE A	7	2,1,1,1	1
INDONESIA C	7	1,1,2,1	1
KNEU A	7	2,1,1,1	1
KOREA A	7	2,1,1,1	1
LIBRE B	7	1,2,1,1	1
LINFIELD A	7	1,2,1,1	1
LUC A	7	1,1,2,1	1
MONASH C	7	1,1,1,2	1
MSU A	7	1,1,1,2	1
OPENU A	7	1,2,1,1	1
PRINCETON D	7	1,1,1,2	1
ROCHESTER C	7	2,1,1,1	1
ROSARIO A	7	2,1,1,1	1
SNU B	7	2,1,1,1	1
SPLIT A	7	2,1,1,1	1
STANFORD D	7	1,1,2,1	1
STANFORD G	7	1,1,2,1	1
STANFORD I	7	1,2,1,1	1
SUFE A	7	1,1,2,1	1
TCD HIST B	7	2,1,1,1	1
UBA A	7	2,1,1,1	1
ULV B	7	2,1,1,1	1
ULV C	7	1,1,2,1	1
UNIVERSITY X	7	1,1,1,2	1
UNMALANG A	7	2,1,1,1	1
UOW B	7	1,1,2,1	1
UT MARA A	7	1,1,1,2	1
VERMONT C	7	1,2,1,1	1
VIENNA B	7	1,1,2,1	1
VIENNA C	7	1,1,1,2	1
BATES A	6	2,1,1,1	1
BRANDEIS Z	6	1,1,1,1	1
CANTERBURY B	6	2,1,1,1	1
CMUQ A	6	1,2,1,1	1
COLGATE AF	6	1,1,1,2	1
COLGATE CG	6	1,1,2,1	1
DALHOUSIE A	6	1,1,2,1	1
DARTMOUTH B	6	1,1,2,1	1
DLSU B	6	1,2,1,1	1
GUELPH A	6	1,2,1,1	1
HAWAII A	6	1,2,1,1	1
HAWAII B	6	1,2,1,1	1
HKUST A	6	1,1,2,1	1
INDONESIA D	6	1,2,1,1	1
INNER TEMPLE A	6	1,2,1,1	1
ITS A	6	1,2,1,1	1
KYUSHU A	6	1,1,1,2	1
LAVAL A	6	2,1,1,1	1
NUIG A	6	1,2,1,1	1
NUS A	6	1,1,2,1	1
OSAKA A	6	1,1,2,1	1
ROCHESTER B	6	1,1,2,1	1
ROSARIO B	6	2,1,1,1	1
RRIS A	6	1,2,1,1	1
SWARTHMORE B	6	2,1,1,1	1
SWING B	6	1,0,1,0	0
TEC CEM A	6	1,1,1,2	1
TEC CEM C	6	1,1,2,1	1
UBC B	6	1,1,1,2	1
UCC PHIL B	6	1,1,2,1	1
UDLAP A	6	1,2,1,1	1
UFMG A	6	2,1,1,1	1
UG A	6	1,1,1,2	1
ULV A	6	1,1,2,1	1
UNPAD A	6	1,1,2,1	1
UTECH JAMAICA B	6	1,2,1,1	1
UWI MONA A	6	1,2,1,1	1
VIENNA D	6	1,2,1,1	1
WATERLOO A	6	1,1,1,2	1
WATSON A	6	1,2,1,1	1
WSDU A	6	1,2,1,1	1
AU B	5	2,1,1,1	1
BATES D	5	0,1,2,0	0
BEIHANG A	5	1,1,1,2	1
BRAWIJAYA A	5	1,1,1,2	1
COLGATE MS	5	1,2,1,1	1
COLGATE SM	5	2,1,1,1	1
CUPB A	5	1,1,2,1	1
DAV A	5	2,1,1,1	1
FORDHAM A	5	1,1,2,1	1
HSU A	5	1,1,1,2	1
KHNUE A	5	1,2,1,1	1
KINDAI A	5	1,2,1,1	1
LIBRE A	5	1,1,2,1	1
LMU B	5	1,2,1,1	1
NORTHWESTU B	5	1,2,1,1	1
ROSARIO C	5	1,2,1,1	1
SNU A	5	1,2,1,1	1
SUFE B	5	2,1,1,1	1
SWING A	5	0,1,0,1	1
TEC CEM B	5	1,1,2,1	1
TSINGHUA A	5	2,1,1,1	1
UADS A	5	1,2,1,1	1
UCV A	5	1,1,1,2	1
UFM A	5	2,1,1,1	1
UFRJ A	5	2,1,1,1	1
UNAM FESC A	5	1,2,1,1	1
UNIANDES A	5	2,1,1,1	1
UTECH JAMAICA A	5	1,1,1,2	1
UWI MONA B	5	1,1,1,2	1
WCM A	5	1,2,1,1	1
WCM B	5	1,1,2,1	1
WSDU B	5	2,1,1,1	1
BEIHANG C	4	1,1,1,2	1
CAU A	4	1,2,1,1	1
CHITTAGONG A	4	2,1,1,1	1
FORDHAM B	4	1,1,1,2	1
IBERO LEON A	4	1,1,1,2	1
LMU A	4	1,2,1,1	1
MCGILL D	4	1,1,2,1	1
MIDDLEBURY B	4	1,1,1,2	1
MIDDLEBURY C	4	1,1,2,1	1
MONTREAL B	4	2,1,1,1	1
NORTHWESTU A	4	1,1,1,2	1
OSAKA B	4	2,1,1,1	1
STANFORD H	4	1,1,1,2	1
TU A	4	2,1,1,1	1
UCLA A	4	1,1,1,1	1
UDES A	4	1,2,1,1	1
UNAL A	4	1,1,2,1	1
UNAL B	4	2,1,1,1	1
USFQ B	4	1,1,1,2	1
UTECH JAMAICA C	4	1,2,1,1	1
WHEATON A	4	1,2,1,1	1
WHEATON B	4	1,1,1,2	1
WSDU C	4	2,1,1,1	1
BIPEDS A	3	1,2,1,1	1
COMILLAS B	3	1,2,1,1	1
HSU B	3	2,1,1,1	1
KATHMANDU A	3	1,1,2,1	1
KYOTO A	3	1,1,2,1	1
LINFIELD B	3	1,1,2,1	1
