YALE B	EDINBURGH A	PENN A	HARVARD A
MACQUARIE A	UFS A	USU B	PRINCETON A
TEL AVIV A	UCD L&H A	USU A	DURHAM A
OXFORD C	OXFORD B	STANFORD A	HARVARD D
INDONESIA A	TEL AVIV B	OXFORD A	GW A
UWA A	MONTREAL A	IBA-DU A	DLSU A
QUT A	IIUM A	HARVARD B	ALASKA C
USU C	VIC A	QDU C	STANFORD B
YALE A	CAPE TOWN B	NU A	SWARTHMORE A
MONASH A	BROWN A	MUNICH A	MALAYA A
CAMBRIDGE C	YALE C	ALASKA A	STANFORD C
YALE E	CAMBRIDGE A	HOPKINS A	CAMBRIDGE D
UCC PHIL A	UNSW A	YALE D	ANU A
UWO A	ROCHESTER A	MIDDLEBURY A	USU D
DARTMOUTH A	BELGRADE A	CAPE TOWN A	IIUM B
CUNY A	UGM A	CORNELL A	TCD PHIL A
AUCKLAND A	MOREHOUSE A	UVA B	UMAC A
HEBREW A	UBC A	MONASH C	DUKE C
OXFORD D	VERMONT A	BRANDEIS X	HAWAII B
CHICAGO C	BERKELEY B	LSE A	UTECH JAMAICA B
HARVARD C	UOW A	BUDS A	HART HOUSE B
QDU B	CAMBRIDGE B	TCD HIST A	QDU A
UADS B	CORRIENTE A	PRINCETON D	PRINCETON B
RRIS A	SOLBRIDGE A	DUKE B	STANFORD D
PENN B	ROSARIO A	ATENEO A	BIRMINGHAM A
CARLETON A	HELSINKI A	MDU A	WITS A
TEL AVIV C	UCD LAW A	WARWICK A	ST ANDREWS A
STANFORD H	UCC PHIL B	BRANDEIS Z	SUFE A
LSE B	MONASH B	CARLETON B	NWU-PUKKE A
UNSW C	CORNELL D	ST ANDREWS B	HART HOUSE A
WILLAMETTE A	BINUS A	TUFTS A	UVA A
CORNELL C	BARD A	MCGILL B	KINGS A
TCD PHIL B	KNEU A	LIBRE B	GUU B
UQ B	STANFORD F	UBC B	COMILLAS A
AU A	ANU B	GW B	LINFIELD A
TEL AVIV D	UQ A	BERKELEY A	BERLIN A
ALASKA B	UTS A	SWARTHMORE C	UNSW B
PRINCETON C	STANFORD G	HART HOUSE C	DURHAM B
WILLIAM & MARY A	CANTERBURY A	UCL A	STANFORD E
HWS A	NUS A	SWARTHMORE B	EDINBURGH B
BATES B	GUU C	BATES A	CANTERBURY B
SWING A	UOW B	KOC A	VIENNA A
DENVER A	SUFE B	UFM A	ROSARIO B
DLSU B	NU B	SNU B	VASSAR A
BROWN B	CHICAGO A	DUKE A	GUU A
ITS A	INDONESIA B	CAPE TOWN C	AMHERST A
UCLA A	FORDHAM A	INDONESIA D	SPLIT A
MCGILL C	HSE A	MOREHOUSE C	VERMONT C
WCM B	UNMALANG A	F&M A	WSDU A
ULV A	TCD HIST B	COLGATE SM	DARTMOUTH B
TEC CEM C	ULV B	UNAL B	LUC A
COLGATE AF	CHICAGO B	BRAWIJAYA A	HKUST A
VIENNA C	INDONESIA C	HAWAII A	STANFORD I
BELGRADE B	TSINGHUA A	MOREHOUSE B	LAVAL A
UG A	MSU A	TEC CEM A	COLGATE CG
OPENU A	VERMONT B	UWI MONA A	WCM A
COLGATE MS	SWING B	AU B	VIENNA D
BEIHANG B	UBA A	UDES A	LIBRE A
MIDDLEBURY B	UT MARA A	UNAM FESC A	DALHOUSIE A
BATES C	WATERLOO A	UNIVERSITY X	ULV C
FORDHAM B	UNAL A	TSINGHUA B	WATSON A
UWI MONA B	KATHMANDU A	BEIHANG A	DAV A
PORTO A	CUPB A	CAU A	BATES D
VIENNA B	KOREA A	ROSARIO C	CORNELL B
ITAM B	HWS B	ITAM A	OSAKA A
UTECH JAMAICA A	WSDU C	UDLAP A	ROCHESTER C
CMUQ A	USFQ A	GUELPH A	KYOTO A
ROCHESTER B	KYUSHU A	UADS A	UTECH JAMAICA C
USFQ B	TU A	INNER TEMPLE A	WHEATON A
NUIG A	UFMG A	SNU A	TEC CEM B
LMU B	UNIANDES A	KINDAI A	UNPAD A
NORTHWESTU B	UCV A	LMU A	COMILLAS B
MCGILL D	WSDU B	UFRJ A	KHNUE A
HSU A	CHITTAGONG A	BIPEDS A	MONTREAL B
MIDDLEBURY C	ITHACA A	NORTHWESTU A	OSAKA B
UFH A	WHEATON B	UCV B	YOGYAKARTA A
IBERO LEON A	UOFK A	BEIHANG C	CUPB B
TEC CSF A	ITESM MRL A	LINFIELD B	HSU B
