EDINBURGH A	HARVARD A	OXFORD C	TEL AVIV B
USU A	TCD PHIL A	YALE B	PRINCETON A
UCD L&H A	TEL AVIV A	DURHAM A	STANFORD A
OXFORD B	USU B	GW A	IBA-DU A
SWARTHMORE A	OXFORD A	MALAYA A	YALE C
BARD A	USU C	TEL AVIV C	BERLIN A
TCD HIST A	IIUM A	VIC A	MIDDLEBURY A
CAMBRIDGE C	HARVARD C	USU D	YALE A
MUNICH A	ANU A	CAMBRIDGE A	CAMBRIDGE B
UVA A	YALE E	INDONESIA A	BUDS A
DURHAM B	LSE A	BELGRADE A	UNSW A
CORNELL A	UCL A	DLSU A	HOPKINS A
BERKELEY A	UWA A	STANFORD B	UWO A
MONTREAL A	CARLETON B	CORNELL D	UTS A
ROCHESTER A	STANFORD C	HARVARD D	MACQUARIE A
HART HOUSE A	YALE D	CAPE TOWN B	PENN A
HART HOUSE B	CARLETON A	UFS A	MONASH A
UOW A	UVA B	UNSW C	OXFORD D
ALASKA C	IIUM B	BIRMINGHAM A	HEBREW A
BRANDEIS X	UMAC A	VIENNA A	CANTERBURY A
BRANDEIS Z	BATES A	CORRIENTE A	MONASH B
SOLBRIDGE A	WITS A	VERMONT A	DLSU B
NWU-PUKKE A	HARVARD B	QDU A	BROWN A
PRINCETON B	ATENEO A	CORNELL C	KOREA A
WSDU A	DUKE A	ROSARIO A	TEC CEM C
HAWAII B	TEC CEM A	SUFE A	UNAL B
AUCKLAND A	NU A	GUU B	ALASKA A
TUFTS A	ALASKA B	HSE A	TEL AVIV D
STANFORD D	COMILLAS A	PRINCETON C	WARWICK A
UNMALANG A	EDINBURGH B	KINGS A	CAPE TOWN A
ST ANDREWS A	MOREHOUSE C	UCD LAW A	MOREHOUSE B
COLGATE CG	QDU C	RRIS A	GW B
MDU A	PENN B	UQ A	UWI MONA A
VERMONT C	WILLIAM & MARY A	ITS A	NU B
UGM A	CAMBRIDGE D	QDU B	CHICAGO A
MCGILL B	TCD PHIL B	CUNY A	NUS A
UADS B	HART HOUSE C	WILLAMETTE A	CAPE TOWN C
UT MARA A	VASSAR A	LSE B	GUU C
VERMONT B	DUKE C	MOREHOUSE A	ULV A
PRINCETON D	ROSARIO B	VIENNA D	BATES B
HELSINKI A	SWARTHMORE C	BINUS A	UCC PHIL A
ST ANDREWS B	QUT A	HWS B	BERKELEY B
UNSW B	BROWN B	TCD HIST B	INDONESIA C
INDONESIA D	ULV C	UQ B	UBA A
LIBRE B	VIENNA C	STANFORD E	VIENNA B
CORNELL B	SWARTHMORE B	DARTMOUTH A	INDONESIA B
UOW B	AU A	CHICAGO C	BELGRADE B
HKUST A	HWS A	USFQ B	OPENU A
WATSON A	GUU A	CANTERBURY B	LMU B
UBC A	KNEU A	MCGILL C	STANFORD F
CHICAGO B	UTECH JAMAICA A	ITAM B	STANFORD G
AMHERST A	DUKE B	KYOTO A	AU B
ULV B	SPLIT A	LINFIELD A	KOC A
HAWAII A	ROCHESTER C	UBC B	SNU B
WATERLOO A	DALHOUSIE A	UDES A	DENVER A
BATES D	MONASH C	STANFORD I	UFMG A
SWING A	TEC CEM B	MSU A	SWING B
OSAKA A	BEIHANG A	LAVAL A	F&M A
UTECH JAMAICA B	DARTMOUTH B	UCLA A	ANU B
UNAM FESC A	STANFORD H	COLGATE MS	BEIHANG B
UADS A	MIDDLEBURY B	BATES C	ROSARIO C
WSDU B	ROCHESTER B	UCV A	COLGATE SM
UCC PHIL B	DAV A	FORDHAM B	TSINGHUA A
UNIANDES A	BRAWIJAYA A	MONTREAL B	INNER TEMPLE A
WCM B	ITAM A	WCM A	UFM A
LIBRE A	COLGATE AF	NUIG A	UDLAP A
LMU A	WHEATON A	KYUSHU A	NORTHWESTU B
FORDHAM A	NORTHWESTU A	UTECH JAMAICA C	KINDAI A
UNIVERSITY X	MCGILL D	HSU B	CAU A
LUC A	UWI MONA B	WHEATON B	SNU A
COMILLAS B	TSINGHUA B	UOFK A	GUELPH A
USFQ A	UG A	SUFE B	CHITTAGONG A
CUPB A	WSDU C	CMUQ A	TU A
UNPAD A	OSAKA B	KHNUE A	BIPEDS A
MIDDLEBURY C	HSU A	UFH A	UFRJ A
KATHMANDU A	BEIHANG C	YOGYAKARTA A	UNAL A
UCV B	IBERO LEON A	TEC CSF A	PORTO A
ITHACA A	CUPB B	ITESM MRL A	LINFIELD B
