OXFORD B	CAMBRIDGE C	USU B	HARVARD A
USU C	PRINCETON A	OXFORD C	HARVARD D
OXFORD A	DURHAM A	TEL AVIV B	TEL AVIV A
STANFORD A	CAMBRIDGE A	EDINBURGH A	YALE E
SWARTHMORE A	IBA-DU A	MONTREAL A	MONASH A
ALASKA A	YALE B	ATENEO A	IIUM A
CAMBRIDGE B	YALE A	BROWN A	PENN A
HARVARD B	MALAYA A	YALE D	ANU A
MACQUARIE A	QDU A	BERLIN A	USU A
UNSW A	BATES A	BARD A	UNSW C
YALE C	USU D	TCD PHIL A	UCD L&H A
SWARTHMORE C	GUU B	NUS A	UWA A
CUNY A	UFS A	UCC PHIL A	DLSU A
QDU B	ROSARIO A	INDONESIA D	BELGRADE A
HEBREW A	STANFORD C	UTS A	INDONESIA A
HARVARD C	TUFTS A	PRINCETON B	OXFORD D
MUNICH A	CAPE TOWN B	CORRIENTE A	VIC A
CORNELL A	LSE A	WARWICK A	WILLIAM & MARY A
UMAC A	TEL AVIV D	UCL A	HELSINKI A
HOPKINS A	BUDS A	CARLETON B	ALASKA B
DUKE C	SOLBRIDGE A	UNSW B	VASSAR A
UGM A	CARLETON A	TEL AVIV C	GW A
WSDU A	SUFE A	HAWAII A	F&M A
ROCHESTER A	CAMBRIDGE D	HART HOUSE A	HSE A
TCD HIST A	UCD LAW A	UVA A	QUT A
NU B	GUU C	PENN B	MCGILL C
DURHAM B	CORNELL C	BERKELEY A	TCD HIST B
STANFORD D	GW B	NWU-PUKKE A	BIRMINGHAM A
VIENNA A	HART HOUSE C	CAPE TOWN A	AUCKLAND A
VERMONT C	COMILLAS A	QDU C	BRANDEIS Z
CORNELL D	BROWN B	WITS A	LSE B
UQ B	UWO A	IIUM B	PRINCETON C
HART HOUSE B	AU A	MIDDLEBURY A	UQ A
NU A	BATES B	KNEU A	TCD PHIL B
EDINBURGH B	MOREHOUSE A	VIENNA C	UOW A
STANFORD G	BERKELEY B	UADS B	SWARTHMORE B
ROSARIO B	TSINGHUA A	MONASH C	BRANDEIS X
CAPE TOWN C	UVA B	DARTMOUTH B	GUU A
PRINCETON D	ST ANDREWS B	UBC A	DUKE B
CORNELL B	HWS A	ITS A	MCGILL B
STANFORD E	SWING B	MONASH B	ITAM B
WATERLOO A	STANFORD B	MDU A	COLGATE CG
CHICAGO A	ALASKA C	BINUS A	KOREA A
BELGRADE B	ST ANDREWS A	UNMALANG A	CANTERBURY A
COLGATE SM	INDONESIA B	RRIS A	WCM B
WILLAMETTE A	CHICAGO C	HAWAII B	UWI MONA A
LMU B	VIENNA B	MOREHOUSE B	DUKE A
MSU A	BATES D	HWS B	VERMONT A
INDONESIA C	STANFORD F	UTECH JAMAICA B	BEIHANG B
USFQ B	MIDDLEBURY B	MOREHOUSE C	ULV C
VERMONT B	INNER TEMPLE A	KINGS A	ULV B
CHICAGO B	SNU B	DENVER A	LAVAL A
NORTHWESTU A	KOC A	TEC CEM C	AU B
COLGATE AF	TEC CEM A	UWI MONA B	KYOTO A
DALHOUSIE A	WATSON A	OPENU A	FORDHAM A
VIENNA D	UBA A	DARTMOUTH A	UOW B
WCM A	UBC B	BRAWIJAYA A	TEC CEM B
MCGILL D	UG A	DLSU B	UT MARA A
UTECH JAMAICA A	ULV A	ROCHESTER B	UCLA A
DAV A	BEIHANG A	TSINGHUA B	LIBRE B
ANU B	MONTREAL B	WSDU C	CANTERBURY B
CHITTAGONG A	ROCHESTER C	WSDU B	CUPB A
UDLAP A	UDES A	UCV A	STANFORD H
UNAL A	OSAKA A	COMILLAS B	ROSARIO C
STANFORD I	HKUST A	SWING A	SUFE B
BIPEDS A	UNAL B	UCC PHIL B	ITAM A
KYUSHU A	LINFIELD A	AMHERST A	UNIVERSITY X
LMU A	UTECH JAMAICA C	UNIANDES A	UFMG A
UADS A	UFM A	CAU A	OSAKA B
SNU A	UFRJ A	LUC A	KATHMANDU A
COLGATE MS	UOFK A	UNAM FESC A	FORDHAM B
LIBRE A	KINDAI A	SPLIT A	PORTO A
USFQ A	UNPAD A	TU A	NORTHWESTU B
NUIG A	YOGYAKARTA A	WHEATON B	UFH A
GUELPH A	MIDDLEBURY C	HSU B	CMUQ A
KHNUE A	CUPB B	WHEATON A	BEIHANG C
TEC CSF A	UCV B	IBERO LEON A	HSU A
ITESM MRL A	ITHACA A	SWING C	LINFIELD B
