Stanford HK	Stanford EL	USC LR	Stony Brook EO
Stanford ST	Mount Holyoke KS	Harvard BD	Fordham HM
Minerva HM	Bates SGD	Columbia DE	Stanford LM
Queen's DP	Tufts CS	Stony Brook NZ	Harvard HW
USC HH	Wesleyan AE	Brown GS	George Washington BW
Columbia/Boston IP	Stanford AF	Harvard KJ	Swarthmore MP
GWU KD	King's JK	Cornell RL	Middlebury MF
Cornell SJ	Brown DN	Tufts SL	George Washington SV
Middlebury KW	Penn JT	Cornell YL	Hopkins YZ
Fordham OBG	Swarthmore SW	Princeton ZM	Cornell BB
GWU AL	Brown CT	St. John DS	West Point JR
Alaska EE	Harvard CY	Middlebury/Penn SR	Hawaii DH
Colgate AF	Denver MF	McGill WA	Stanford KW
West Point HN	American MO	McGill HA	Alaska OS
Bard RS	Princeton PH	Swarthmore JK	Brown SQ
Columbia TS	Harvard HB	West Point GH	Hawaii BG
Columbia YB	Vassar LP	Carleton GA	Bates HL
Duke NS	Princeton WA	Hart House MY	Fordham KB
Northeastern OP	Clemson KS	Duke FM	Stanford GL
Hart House GL	Tufts BH	Bard BC	McGill XK
Smith SC	East Carolina GB	Penn KW	Vermont OS
McGill LL	Vermont SW	Stanford DM	Stanford AS
Swarthmore HJ	Vassar DP	Louisiana Tech MF	Clemson CP
Stony Brook CJ	Rochester KP	Harvard CZ	Stony Brook HP
Bates HM	Vermont HT	Fordham AA	Stanford DG
Swarthmore DH	King's CS	Hart House LZ	Bates DS
Northeastern SZ	Amherst/Penn JL	Bard KL	McGill KP
Cornell LB	Hart House MS	Amherst GM	Stanford LW
Louisiana Tech MM	HWS MN	Vermont DN	Amherst CS
Clemson SS	McGill BS	Vermont GT	Stanford CM
Sodales OR	Berkeley AB	Bates SZ	Stanford CK
CUNY OR	Rochester AT	SYSU A	King's CL
Duke EH	Loyola Marymount CG	Northeastern SS	Bates WM
St. John BN	Harvard HY	Swarthmore CS	Berkeley WS
HWS GM	Duke GS	Fordham NH	Columbia HC
USC HA	Brown GH	Swarthmore/CUNY AN	USC KN
Denver MP	Vassar DS	Swarthmore/Brandeis CC	McGill MR
Rochester FM	Harvard AP	East Carolina VG	Brown HR
Brandeis HL	Loyola Marymount DS	Queen's DS	Fordham RMB
Sodales HN	Middlebury IIS LM	CUNY AF	St. John MT
Vermont VQ	Duke SY	JHU-SAIS XG	Vassar BK
Stanford AC	Colgate MZ	Tufts DH	Poly Prep HS GW
Vermont PS	GWU GK	Stanford MW	St. John GH
Columbia KB	Colgate BH	Wesleyan IW	Fordham PY
Clemson HM	Mount Holyoke BB	East Carolina MC	CUNY FC
