Stanford EL	Vermont GT	Denver MF	Rochester FM
Hopkins YZ	George Washington BW	Alaska OS	Harvard BD
Bates SGD	Hart House GL	Berkeley WS	Louisiana Tech MF
Vassar LP	Swarthmore MP	Stanford AS	Brown GH
Berkeley AB	Northeastern SZ	Vermont OS	Cornell RL
Tufts CS	Clemson CP	GWU AL	Penn JT
Bard KL	Fordham OBG	Queen's DP	Brown GS
George Washington SV	Stanford LW	Stanford GL	Rochester AT
Harvard HW	Bates DS	Columbia TS	Duke SY
Middlebury IIS LM	Cornell BB	Hawaii DH	Brown CT
Harvard HB	Swarthmore/Brandeis CC	GWU KD	Bard BC
McGill WA	Swarthmore DH	Fordham RMB	USC LR
Stanford CK	Brown SQ	Wesleyan AE	Columbia/Boston IP
HWS MN	Columbia DE	Vermont PS	American MO
Harvard CY	Bates HL	Vermont SW	Duke GS
Princeton ZM	Smith SC	Alaska EE	USC HH
Vermont HT	Bates WM	Columbia HC	Queen's DS
St. John GH	Swarthmore JK	Columbia KB	Harvard CZ
Rochester KP	Northeastern SS	Vermont VQ	Tufts SL
Wesleyan IW	Fordham KB	Harvard HY	Swarthmore SW
King's CL	Cornell LB	Clemson HM	Bates HM
West Point JR	Swarthmore HJ	McGill LL	King's CS
Stanford AF	Northeastern OP	Vassar BK	McGill HA
Amherst/Penn JL	Poly Prep HS GW	Fordham HM	Clemson KS
GWU GK	Carleton GA	Stanford LM	Princeton PH
Stanford KW	Stanford MW	St. John MT	East Carolina MC
Stanford DM	Duke FM	West Point HN	HWS GM
JHU-SAIS XG	Middlebury/Penn SR	Columbia YB	Cornell SJ
Mount Holyoke BB	Sodales OR	Clemson SS	Hart House MY
Princeton WA	Denver MP	Amherst CS	Colgate MZ
Brown HR	Vermont DN	Brown DN	Swarthmore/CUNY AN
USC KN	Penn KW	McGill BS	Sodales HN
Stanford CM	Stanford DG	Hawaii BG	Mount Holyoke KS
Harvard AP	Cornell YL	McGill XK	Loyola Marymount DS
Fordham PY	Duke EH	Stanford ST	Hart House LZ
McGill MR	Fordham NH	Loyola Marymount CG	Tufts DH
Bates SZ	SYSU A	King's JK	Amherst GM
Harvard KJ	Swing 2	USC HA	Louisiana Tech MM
Vassar DS	St. John BN	Vassar DP	Swing 1
CUNY AF	Minerva HM	Stanford HK	Fordham AA
Colgate BH	Duke NS	McGill KP	Swarthmore CS
West Point GH	St. John DS	Middlebury MF	Brandeis HL
Tufts BH	CUNY OR	Stanford AC	Colgate AF
East Carolina VG	Middlebury KW	Bard RS	East Carolina GB
