Harvard BD	Harvard CZ	George Washington SV	Denver MP
Hawaii DH	Harvard HW	Bates SGD	Stanford EL
Swarthmore MP	Cornell RL	Vermont HT	Tufts CS
George Washington BW	Tufts SL	American MO	Swarthmore JK
Fordham RMB	Brown GS	Poly Prep HS GW	Stanford MW
Stanford AS	Vermont OS	Bates HM	Harvard HB
Bates WM	Columbia TS	Brown SQ	Hart House GL
Brown CT	Stanford GL	Bates HL	Princeton WA
Rochester AT	St. John GH	Cornell BB	Harvard HY
McGill BS	Amherst CS	King's CS	Alaska EE
Duke GS	St. John MT	Hopkins YZ	Bard RS
Colgate MZ	McGill WA	Brandeis HL	Columbia DE
Queen's DS	Columbia/Boston IP	Colgate BH	Northeastern SZ
Louisiana Tech MF	McGill HA	HWS MN	Bates SZ
Hawaii BG	Columbia HC	Fordham KB	SYSU A
Swarthmore/Brandeis CC	GWU AL	Swarthmore HJ	Duke FM
Clemson KS	Sodales HN	Amherst/Penn JL	Rochester KP
Bates DS	Rochester FM	Swarthmore SW	Swarthmore DH
McGill XK	Brown HR	Penn JT	Clemson SS
Mount Holyoke KS	Tufts DH	King's CL	Carleton GA
Swarthmore/CUNY AN	Bard BC	Stanford KW	Harvard CY
USC LR	Alaska OS	Brown GH	Denver MF
Fordham AA	Cornell SJ	Middlebury IIS LM	Loyola Marymount CG
Vassar DP	Wesleyan IW	Stanford AF	GWU KD
Princeton PH	USC KN	Duke SY	Queen's DP
Stanford LW	Fordham HM	Stanford CK	Cornell LB
Vermont GT	Swarthmore CS	Vassar LP	Columbia KB
Hart House LZ	Berkeley WS	Berkeley AB	Cornell YL
Wesleyan AE	East Carolina VG	Stanford DG	Vermont DN
Penn KW	USC HA	McGill MR	Vermont PS
Fordham NH	Vassar BK	Harvard AP	Clemson HM
CUNY FC	Colgate AF	USC HH	Northeastern SS
Amherst GM	Vermont VQ	Duke EH	West Point HN
Middlebury/Penn SR	Hart House MY	Minerva HM	Princeton ZM
Clemson CP	McGill LL	Tufts BH	Vermont SW
Brown DN	Columbia YB	St. John BN	Smith SC
Middlebury MF	Stanford LM	Swing 1	Duke NS
King's JK	West Point GH	Northeastern OP	Bard KL
McGill KP	Stanford CM	West Point JR	Harvard KJ
Loyola Marymount DS	HWS GM	Middlebury KW	Stanford HK
Louisiana Tech MM	JHU-SAIS XG	Mount Holyoke BB	GWU GK
St. John DS	CUNY AF	CUNY OR	Stanford DM
East Carolina MC	Stanford AC	Sodales OR	Stanford ST
East Carolina GB	Fordham PY	Fordham OBG	Vassar DS
