Tufts SL	Harvard BD	Stanford EL	Bates SGD
Harvard HB	Swarthmore DH	Tufts CS	Princeton WA
Carleton GA	George Washington SV	Swarthmore MP	Columbia TS
Cornell RL	Columbia/Boston IP	Rochester KP	Harvard CY
McGill HA	Alaska EE	George Washington BW	Vermont OS
Bard BC	Queen's DS	Brown GS	Vermont VQ
Brown SQ	Alaska OS	Rochester AT	Sodales HN
Bates HL	Hawaii DH	Denver MP	Swarthmore SW
American MO	Clemson SS	Duke GS	McGill WA
Amherst CS	Colgate AF	Brown CT	Cornell SJ
Cornell BB	King's CL	Hart House GL	HWS MN
Vermont SW	Hopkins YZ	Colgate MZ	McGill BS
Cornell YL	Stanford AS	Cornell LB	Vermont GT
Penn JT	Hawaii BG	Northeastern SZ	Vermont HT
Denver MF	Stanford KW	Harvard HW	Stanford AF
Harvard CZ	Queen's DP	Rochester FM	Swarthmore HJ
Northeastern SS	Hart House MY	Stanford GL	Fordham KB
Columbia DE	Bates HM	Clemson KS	Vassar LP
King's CS	Stanford CK	Harvard HY	McGill LL
Duke FM	Louisiana Tech MF	Duke NS	Penn KW
Tufts DH	McGill XK	USC KN	Amherst/Penn JL
St. John MT	Stanford ST	Stanford LW	Fordham OBG
Brown GH	Berkeley WS	Vermont DN	Fordham NH
Swarthmore JK	Bard RS	Bates WM	Middlebury IIS LM
Columbia HC	Harvard KJ	Princeton PH	Brown DN
Hart House LZ	GWU KD	West Point HN	Stanford AC
Poly Prep HS GW	USC LR	Bates DS	Harvard AP
Fordham HM	Swarthmore/CUNY AN	St. John GH	USC HA
Stanford DG	Middlebury MF	Fordham PY	West Point GH
Wesleyan AE	Stanford HK	Princeton ZM	Swarthmore/Brandeis CC
Swing 1	USC HH	Bates SZ	Colgate BH
Loyola Marymount CG	Columbia KB	Brown HR	Northeastern OP
Stanford MW	McGill KP	Berkeley AB	East Carolina VG
Duke SY	Stanford DM	Louisiana Tech MM	GWU AL
SYSU A	Bard KL	CUNY FC	Tufts BH
Stanford LM	Vermont PS	Stanford CM	St. John BN
Swarthmore CS	Fordham AA	Amherst GM	Vassar DP
JHU-SAIS XG	Fordham RMB	Loyola Marymount DS	Middlebury/Penn SR
Sodales OR	West Point JR	GWU GK	Columbia YB
Swing 2	Clemson HM	Smith SC	Minerva HM
Vassar BK	Brandeis HL	HWS GM	Wesleyan IW
Duke EH	East Carolina MC	Clemson CP	CUNY OR
St. John DS	McGill MR	Vassar DS	Middlebury KW
Mount Holyoke BB	CUNY AF	East Carolina GB	King's JK
