Bates SGD	11	1,1,1,1	1
Columbia TS	11	1,1,1,1	1
Stanford EL	11	1,1,1,1	1
Tufts CS	11	1,1,1,1	1
Alaska OS	10	0,2,1,1	1
Bates HL	10	1,1,1,1	1
Columbia/Boston IP	10	1,2,0,1	1
George Washington BW	10	1,1,1,1	1
Harvard BD	10	1,1,1,1	1
Harvard HB	10	2,1,0,1	1
Swarthmore MP	10	1,1,1,1	1
Alaska EE	9	1,1,1,1	1
Brown SQ	9	1,1,1,1	1
Cornell RL	9	1,1,1,1	1
Cornell SJ	9	1,1,0,2	1
George Washington SV	9	1,1,1,1	1
Hart House GL	9	1,1,1,1	1
Harvard CZ	9	1,1,1,1	1
Harvard HW	9	1,1,1,1	1
Hawaii DH	9	1,1,1,1	1
McGill WA	9	1,1,1,1	1
Princeton WA	9	1,1,0,2	1
Stanford AS	9	1,1,1,1	1
Vermont HT	9	1,1,1,1	1
Berkeley WS	8	0,2,1,1	1
Brown CT	8	1,1,1,1	1
Brown GS	8	0,1,2,1	1
Clemson SS	8	1,1,1,1	1
Columbia DE	8	1,1,1,1	1
Cornell BB	8	1,1,1,1	1
Cornell YL	8	1,1,1,1	1
Denver MF	8	1,1,1,1	1
Duke FM	8	1,1,1,1	1
McGill XK	8	1,1,1,1	1
Penn JT	8	1,1,1,1	1
Rochester FM	8	1,1,1,1	1
Rochester KP	8	1,1,1,1	1
Sodales HN	8	1,1,0,2	1
Stanford CK	8	1,1,1,1	1
Stanford GL	8	0,1,2,1	1
Swarthmore DH	8	1,2,0,1	1
Swarthmore JK	8	1,1,1,1	1
Swarthmore SW	8	0,1,1,2	1
Tufts SL	8	1,1,1,1	1
Vermont OS	8	0,1,1,2	1
American MO	7	1,1,1,1	1
Amherst CS	7	1,1,1,1	1
Bates DS	7	1,1,1,1	1
Bates HM	7	1,1,1,1	1
Bates SZ	7	1,0,2,1	1
Bates WM	7	1,1,1,1	1
Brown GH	7	1,1,1,1	1
Carleton GA	7	1,1,1,1	1
Columbia HC	7	1,1,1,1	1
Denver MP	7	1,1,1,1	1
Duke NS	7	1,1,1,1	1
Fordham HM	7	1,1,1,1	1
HWS MN	7	1,1,1,1	1
Hart House LZ	7	2,0,1,1	1
Harvard CY	7	1,1,0,2	1
Hopkins YZ	7	1,1,1,1	1
King's CS	7	1,1,1,1	1
McGill HA	7	1,1,1,1	1
Northeastern OP	7	1,1,1,1	1
Northeastern SS	7	1,1,1,1	1
Northeastern SZ	7	1,1,1,1	1
Queen's DP	7	1,1,1,1	1
Queen's DS	7	1,1,1,1	1
Rochester AT	7	1,1,1,1	1
Stanford HK	7	1,1,1,1	1
Stanford KW	7	1,1,1,1	1
USC KN	7	1,1,1,1	1
Vermont GT	7	1,1,1,1	1
Amherst/Penn JL	6	1,1,1,1	1
Bard BC	6	1,1,1,1	1
Berkeley AB	6	1,1,2,0	1
Brandeis HL	6	1,1,1,1	1
Brown HR	6	1,1,1,1	1
Clemson KS	6	1,1,1,1	1
Colgate AF	6	1,2,0,1	1
Cornell LB	6	1,1,1,1	1
Duke GS	6	1,1,1,1	1
Fordham KB	6	0,1,1,2	1
Fordham NH	6	1,1,1,1	1
GWU AL	6	1,1,1,1	1
Harvard AP	6	1,1,1,1	1
Harvard HY	6	0,1,2,1	1
Hawaii BG	6	1,1,1,1	1
King's CL	6	1,1,1,1	1
Louisiana Tech MF	6	1,1,1,1	1
Middlebury IIS LM	6	1,1,1,1	1
Princeton PH	6	1,1,1,1	1
Princeton ZM	6	1,0,2,1	1
Stanford AF	6	1,1,1,1	1
Stanford LW	6	1,1,1,1	1
Swarthmore CS	6	1,1,1,1	1
Swarthmore HJ	6	1,1,1,1	1
Swarthmore/CUNY AN	6	1,1,1,1	1
Swing 1	6	1,0,1,1	1
Tufts BH	6	1,1,1,1	1
Vermont PS	6	1,1,1,1	1
Vermont SW	6	1,1,1,1	1
West Point HN	6	1,0,2,1	1
Amherst GM	5	1,0,2,1	1
Bard RS	5	1,1,1,1	1
Brown DN	5	1,1,1,1	1
Columbia KB	5	1,1,1,1	1
Duke EH	5	2,1,1,0	1
GWU KD	5	1,1,1,1	1
Hart House MY	5	0,2,1,1	1
McGill BS	5	1,1,1,1	1
McGill KP	5	1,1,1,1	1
McGill LL	5	1,1,1,1	1
Middlebury/Penn SR	5	1,1,1,1	1
Penn KW	5	1,1,1,1	1
SYSU A	5	1,1,1,1	1
Smith SC	5	1,1,1,1	1
St. John BN	5	1,1,1,1	1
St. John GH	5	1,1,1,1	1
St. John MT	5	1,1,1,1	1
Stanford DG	5	1,1,1,1	1
Stanford DM	5	1,1,1,1	1
Swing 2	5	1,1,0,0	1
Tufts DH	5	1,1,1,1	1
USC HH	5	1,1,1,1	1
USC LR	5	1,1,1,1	1
Vassar LP	5	1,1,1,1	1
Vermont DN	5	0,1,2,1	1
Vermont VQ	5	1,1,1,1	1
Wesleyan AE	5	2,1,1,0	1
Bard KL	4	1,1,1,1	1
CUNY OR	4	1,1,1,1	1
Clemson HM	4	1,1,1,1	1
Colgate BH	4	1,1,1,1	1
Colgate MZ	4	1,1,1,1	1
Duke SY	4	1,1,1,1	1
East Carolina VG	4	1,1,1,1	1
Fordham OBG	4	1,1,1,1	1
HWS GM	4	1,1,1,1	1
Harvard KJ	4	1,1,1,1	1
King's JK	4	1,1,1,1	1
Loyola Marymount CG	4	1,1,1,1	1
Loyola Marymount DS	4	1,1,1,1	1
Middlebury KW	4	1,1,1,1	0
Middlebury MF	4	1,1,1,1	1
Mount Holyoke KS	4	1,1,0,1	0
Poly Prep HS GW	4	1,1,1,1	1
Stanford AC	4	1,1,1,1	1
Stanford LM	4	1,1,1,1	1
Swarthmore/Brandeis CC	4	1,1,1,1	1
USC HA	4	1,1,1,1	1
Vassar BK	4	1,1,1,1	1
Vassar DP	4	1,1,1,1	1
West Point JR	4	1,1,1,1	1
CUNY FC	3	1,0,1,1	1
Clemson CP	3	1,1,1,1	1
Columbia YB	3	1,1,1,1	1
Fordham AA	3	1,1,1,1	1
JHU-SAIS XG	3	2,1,1,0	1
Louisiana Tech MM	3	2,0,1,1	1
Minerva HM	3	1,1,1,1	1
Stanford MW	3	1,1,1,1	1
Stanford ST	3	1,1,1,1	1
Vassar DS	3	1,1,1,1	1
Wesleyan IW	3	1,1,1,1	1
West Point GH	3	1,1,1,1	1
East Carolina GB	2	1,1,1,1	1
East Carolina MC	2	1,1,1,1	1
Fordham PY	2	1,1,1,1	1
Fordham RMB	2	1,1,1,1	1
Sodales OR	2	2,1,1,0	1
St. John DS	2	2,1,1,0	1
Stanford CM	2	1,1,1,1	1
GWU GK	1	1,1,1,1	1
McGill MR	1	1,1,1,1	1
Mount Holyoke BB	1	2,1,1,0	1
Stony Brook CJ	1	1,0,0,0	0
Stony Brook EO	1	0,0,0,1	0
Stony Brook NZ	1	0,0,1,0	0
CUNY AF	0	1,2,1,0	1
Hart House MS	0	0,1,0,0	0
Stony Brook HP	0	0,0,0,1	0
Swing 3	0	0,0,0,0	1
