Bates SGD	Columbia TS	Stanford EL	Tufts CS
Alaska OS	Harvard BD	Columbia/Boston IP	Vermont HT
George Washington BW	Bates HL	Harvard HB	Swarthmore MP
George Washington SV	Cornell RL	Cornell SJ	Hart House GL
Brown GS	Cornell YL	Rochester FM	Rochester KP
Brown SQ	Hawaii DH	Alaska EE	Stanford AS
Harvard CZ	Harvard HW	Princeton WA	McGill WA
Brown CT	Cornell BB	Sodales HN	Columbia DE
Fordham HM	Bates SZ	Northeastern SZ	Hopkins YZ
Bates HM	Northeastern SS	American MO	Amherst CS
USC KN	Hart House LZ	Tufts SL	Brown GH
Stanford GL	Vermont OS	Swarthmore DH	Berkeley WS
McGill HA	Queen's DP	Bates WM	HWS MN
Duke GS	Middlebury IIS LM	Swarthmore HJ	Harvard HY
Fordham KB	Swing 1	Vermont SW	Tufts BH
Stanford CK	Swarthmore SW	Duke FM	McGill XK
Clemson SS	Penn JT	Denver MF	Swarthmore JK
Swarthmore CS	West Point HN	Harvard CY	Stanford LW
Columbia HC	Denver MP	Carleton GA	Rochester AT
Bates DS	Duke NS	Stanford HK	Vermont GT
Stanford KW	King's CS	Northeastern OP	Queen's DS
Stanford AF	Cornell LB	Colgate AF	Swing 2
Amherst/Penn JL	Bard BC	King's CL	Berkeley AB
Swarthmore/CUNY AN	Clemson KS	Fordham NH	Hawaii BG
Brown HR	Vermont PS	Princeton PH	Louisiana Tech MF
Brandeis HL	Princeton ZM	Harvard AP	GWU AL
Vermont DN	SYSU A	St. John MT	St. John BN
Vassar BK	Brown DN	Stanford DG	Harvard KJ
McGill KP	Smith SC	Vassar LP	Wesleyan AE
Penn KW	McGill LL	Bard RS	McGill BS
Hart House MY	Tufts DH	Loyola Marymount DS	Columbia KB
USC LR	Vermont VQ	USC HH	Stanford DM
Middlebury MF	Swarthmore/Brandeis CC	CUNY OR	Stanford LM
Vassar DP	Loyola Marymount CG	Bard KL	Clemson HM
GWU KD	Amherst GM	St. John GH	Duke EH
Duke SY	Colgate MZ	King's JK	HWS GM
Fordham OBG	Fordham RMB	USC HA	Poly Prep HS GW
Fordham AA	Clemson CP	Wesleyan IW	Columbia YB
Vassar DS	Louisiana Tech MM	Stanford MW	Stanford ST
Fordham PY	East Carolina GB	Stanford CM	St. John DS
McGill MR	East Carolina MC	Sodales OR	JHU-SAIS XG
East Carolina VG	Colgate BH	West Point JR	Stanford AC
West Point GH	CUNY FC	Minerva HM	Middlebury/Penn SR
Swing 3	Mount Holyoke BB	GWU GK	CUNY AF
