Columbia TS	Stanford EL	Harvard BD	Swarthmore MP
Cornell RL	Bates SGD	Harvard HW	Brown SQ
Tufts CS	McGill WA	Clemson SS	Bates HL
Tufts SL	Brown GS	Alaska OS	Brown CT
Vermont HT	George Washington BW	Stanford CK	George Washington SV
Stanford GL	Rochester FM	Harvard HB	Alaska EE
Penn JT	Cornell SJ	Columbia DE	American MO
Princeton WA	Carleton GA	Hopkins YZ	Columbia/Boston IP
Vermont OS	Vermont GT	Hawaii DH	Denver MF
Cornell BB	McGill XK	McGill HA	Stanford KW
Queen's DP	Stanford AS	Queen's DS	Bates DS
Columbia KB	Fordham KB	Clemson KS	Vassar LP
Harvard CY	Swarthmore HJ	USC KN	Berkeley AB
Princeton ZM	Bates HM	Columbia HC	Swarthmore DH
Princeton PH	Stanford LW	Harvard CZ	Cornell YL
Swarthmore SW	Hart House GL	Fordham HM	Cornell LB
St. John GH	Harvard AP	Sodales HN	Northeastern SZ
King's CS	Duke FM	Brown GH	Vermont DN
Brown DN	Rochester KP	Swarthmore JK	Middlebury IIS LM
McGill BS	Louisiana Tech MF	HWS MN	Vermont SW
Berkeley WS	USC LR	Amherst/Penn JL	Stanford HK
Hawaii BG	Hart House LZ	Rochester AT	Stanford AF
Duke NS	Stanford LM	Northeastern SS	Bates WM
Stanford MW	USC HA	Duke EH	Swarthmore/CUNY AN
West Point HN	Brown HR	Denver MP	West Point JR
Stanford DG	USC HH	Vassar DP	St. John MT
Harvard HY	King's CL	Middlebury/Penn SR	Bates SZ
GWU AL	HWS GM	Penn KW	Northeastern OP
Swarthmore/Brandeis CC	GWU KD	Vermont PS	Sodales OR
Fordham NH	McGill KP	Bard BC	Swarthmore CS
Tufts DH	Loyola Marymount DS	Colgate AF	Colgate MZ
Tufts BH	Brandeis HL	Columbia YB	Vermont VQ
St. John BN	Minerva HM	Duke GS	Loyola Marymount CG
Hart House MY	Stanford AC	JHU-SAIS XG	McGill LL
Stanford CM	Middlebury MF	Vassar DS	Clemson CP
Wesleyan IW	Clemson HM	SYSU A	Bard RS
Harvard KJ	Poly Prep HS GW	Wesleyan AE	CUNY OR
Stanford DM	Duke SY	Amherst GM	Colgate BH
Stanford ST	St. John DS	Vassar BK	Fordham RMB
Bard KL	King's JK	Fordham OBG	West Point GH
CUNY FC	Fordham PY	CUNY AF	Fordham AA
GWU GK	Louisiana Tech MM	McGill MR	Mount Holyoke BB
